Nom,Preu,Estat,Var. per cent,Var. en euros,Volum en euros,Capitalizacio (milions euros),Per,Rent./Div,Hora
ACERINOX,"12,17",baixada,"-1,93%","-0,24","30.254.049,83","3.369,40","16,39","3,63%",17:38
ACS,"33,06",pujada,"+1,71%","0,56","31.696.853,23","10.405,96","13,50","3,60%",17:38
DIA,"4,15",baixada,"-3,91%","-0,17","63.835.482,49","2.558,92","10,85","4,75%",17:38
FERROVIAL,"18,33",pujada,"+3,24%","0,58","48.901.324,23","13.544,30","33,90","3,17%",17:38
GAMESA,"11,29",pujada,"+4,25%","0,46","40.523.895,21","7.713,95","11,74","1,42%",17:38
INDITEX,"31,48",pujada,"+2,88%","0,88","120.889.494,20","97.691,46","28,17","2,39%",17:38
REPSOL,"15,47",pujada,"+0,95%","0,15","65.349.917,78","23.628,82","10,92","5,23%",17:38
SANTANDER,"5,81",pujada,"+3,21%","0,18","540.910.455,88","93.644,87","11,95","3,93%",17:38
TECNICAS REUNIDAS,"26,71",pujada,"+2,57%","0,67","20.429.847,12","1.498,01","10,50","5,47%",17:38
TELEFONICA,"8,80",baixada,"-0,55%","-0,05","350.616.055,09","44.428,40","12,31","4,51%",17:38
