Nom,Preu,Estat,Var. per cent,Var. en euros,Volum en euros,Capitalizacio (milions euros),Per,Rent./Div,Hora
A DOMINGUEZ,"4,92",pujada,"+1,44%","0,07","7.334,62","45,64","0,00","0,00%",17:38
ABENGOA,"0,03",baixada,"-3,03%","-0,00","1.367.960,84","55,67","0,00","0,00%",17:38
ABENGOA CL.B,"0,01",baixada,"-8,33%","-0,00","3.405.715,17","206,39","0,00","0,00%",17:38
ABERTIS,"18,90",pujada,"+0,29%","0,06","138.020.575,38","18.668,69","20,32","3,99%",17:38
ACCIONA,"67,89",baixada,"-0,26%","-0,18","13.090.544,10","3.899,38","15,64","4,34%",17:38
ACERINOX,"12,17",baixada,"-1,93%","-0,24","30.254.049,83","3.369,40","16,39","3,63%",17:38
ACS,"33,06",pujada,"+1,71%","0,56","31.696.853,23","10.405,96","13,50","3,60%",17:38
ADVEO,"2,66",pujada,"+0,38%","0,01","114.061,21","57,84","17,10","0,00%",17:38
AENA,"154,00",pujada,"+2,63%","3,95","38.759.185,10","23.040,00","19,18","2,63%",17:38
AIRBUS,"85,80",pujada,"+2,94%","2,45","439.927,80","65.829,74","24,74","1,77%",17:38
ALANTRA,"12,26",pujada,"+0,00%","0,00","17.308,48","437,10","11,54","7,61%",17:38
ALBA,"48,79",pujada,"+0,89%","0,43","458.148,14","2.854,95","7,15","2,00%",17:38
ALMIRALL,"8,11",pujada,"+0,62%","0,05","4.747.364,08","1.437,22","0,00","2,35%",17:38
AMADEUS,"57,54",pujada,"+2,17%","1,22","56.396.744,93","25.350,78","24,38","1,86%",17:38
AMPER,"0,19",pujada,"+0,00%","0,00","1.210.615,39","160,72","0,00","0,00%",17:38
APPLUS SERVICES,"11,42",pujada,"+1,24%","0,14","3.065.452,09","1.768,49","17,98","1,12%",17:38
ARCELORMITTAL,"25,47",pujada,"+0,20%","0,05","24.605.980,84","25.905,26","0,00","0,00%",17:38
AXIA REAL ESTATE,"16,01",pujada,"+1,91%","0,30","1.582.923,08","1.263,02","45,40","1,73%",17:38
AZKOYEN,"8,00",pujada,"+3,05%","0,24","79.020,31","201,61","17,72","0,00%",17:38
Atresmedia,"8,63",pujada,"+1,41%","0,12","2.652.114,56","1.944,62","13,40","6,20%",17:38
BANKIA,"4,09",pujada,"+1,21%","0,05","35.368.187,06","11.848,45","14,14","3,09%",17:38
BANKINTER,"8,06",pujada,"+1,32%","0,11","23.265.863,75","7.280,82","15,28","3,22%",17:38
BARON DE LEY,"112,00",pujada,"+0,00%","0,00","40.208,00","465,57","20,11","0,00%",17:38
BBVA,"7,39",pujada,"+1,79%","0,13","234.253.355,03","49.655,75","11,53","3,42%",17:38
BIOSEARCH,"0,48",pujada,"+0,00%","0,00","25.259,46","27,70","0,00","0,00%",17:38
BME,"28,530",pujada,"+0,40%","0,115","3.496.215,90","2.395,59","15,02","6,34%",17:38
CAIXABANK,"3,95",pujada,"+1,75%","0,07","212.654.390,91","24.027,44","13,61","3,64%",17:38
CELLNEX TELECOM,"20,86",pujada,"+0,58%","0,12","14.997.894,77","4.869,98","70,34","0,48%",17:38
CEMENTOS PORTLAND,"5,97",pujada,"+0,00%","0,00","0,00","305,54","0,00","0,00%",23/02
CIE AUTOMOTIVE,"24,41",pujada,"+1,29%","0,31","4.708.279,50","3.143,73","14,40","2,14%",17:38
