Numero,Nom,Simbol,Cap de mercat,Preu,Oferta circulant,Volum 24 hores,% 1h,% 2h,% 7d
55,Civic,CVC,"$113,912,908",$0.334841,"340,200,000*","$2,374,970",-3.74%,1.68%,-6.57%
56,Gnosis,GNO,"$113,059,205",$102.35,"1,104,590*","$890,840",2.25%,-8.22%,-15.37%
57,Blocknet,BLOCK,"$108,142,938",$22.35,"4,838,394*","$90,965",0.58%,3.54%,-7.33%
58,BitcoinDark,BTCD,"$107,889,107",$83.71,"1,288,862","$100,320",0.30%,-4.72%,-8.47%
59,FunFair,FUN,"$104,664,800",$0.026166,"4,000,000,000*","$1,194,550",1.62%,0.43%,-5.91%
60,MCAP,MCAP,"$100,807,148",$2.63,"38,295,641*","$718,083",1.69%,11.47%,-2.80%
61,Regalcoin,REC,"$99,073,294",$35.26,"2,810,000","$13,529,200",2.28%,1.96%,187.05%
62,Lykke,LKK,"$98,669,536",$0.367125,"268,762,781*","$366,112",0.68%,4.70%,10.61%
63,Byteball Bytes,GBYTE,"$97,937,543",$167.73,"583,896*","$597,753",1.56%,-2.48%,-16.19%
64,0x,ZRX,"$92,876,000",$0.185752,"500,000,000*","$2,430,370",-0.36%,-8.16%,2.95%
65,Status,SNT,"$90,621,273",$0.026112,"3,470,483,788*","$2,200,490",1.47%,-2.13%,-5.16%
66,Bancor,BNT,"$89,767,998",$2.20,"40,772,871*","$760,881",-0.24%,0.04%,0.51%
67,DigiByte,DGB,"$89,177,981",$0.010201,"8,742,253,657","$4,838,060",-1.29%,-11.23%,-22.89%
68,Nexus,NXS,"$86,438,753",$1.63,"53,043,903","$705,772",0.44%,0.64%,3.06%
69,SingularDTV,SNGLS,"$84,930,000",$0.141550,"600,000,000*","$873,653",2.44%,-6.96%,-16.06%
70,Bytom,BTM,"$81,199,108",$0.082269,"987,000,000*","$145,498",2.46%,4.51%,-15.44%
71,Aeternity,AE,"$78,685,887",$0.337678,"233,020,472*","$366,232",0.45%,-3.29%,-8.32%
72,Syscoin,SYS,"$78,140,418",$0.147956,"528,132,808","$1,052,490",0.10%,-1.43%,-2.61%
73,Bitdeal,BDL,"$76,772,280",$0.491469,"156,209,812","$259,201",1.82%,11.24%,19.40%
74,GXShares,GXS,"$74,753,913",$1.85,"40,510,000*","$415,450",0.22%,-2.18%,-8.95%
75,Verge,XVG,"$72,820,587",$0.005163,"14,104,371,308","$2,282,270",-2.94%,-9.07%,-17.22%
76,Monaco,MCO,"$72,434,074",$7.38,"9,814,875*","$2,850,650",0.17%,-8.47%,1.69%
77,Metaverse ETP,ETP,"$66,317,214",$2.93,"22,600,000","$24,077,400",-6.53%,8.28%,132.75%
78,Centra,CTR,"$65,419,264",$0.962048,"68,000,000*","$884,692",0.74%,-5.88%,-15.12%
