Nom,Preu,Estat,Var. per cent,Var. en euros,Volum en euros,Capitalizacio (milions euros),Per,Rent./Div,Hora
ABERTIS,"18,80",pujada,"+0,19%","0,04","28.824.949,62","18.643,93","19,83","4,16%",1/12
ACCIONA,"67,76",baixada,"-0,72%","-0,49","11.198.159,08","3.888,50","15,44","4,30%",1/12
ACERINOX,"11,07",baixada,"-1,99%","-0,23","15.057.228,55","3.069,87","15,42","3,94%",1/12
ACS,"31,98",baixada,"-1,60%","-0,52","26.922.814,03","10.124,33","13,42","3,63%",1/12
AENA,"166,50",baixada,"-0,39%","-0,65","33.903.168,20","25.215,00","20,12","2,51%",1/12
AMADEUS,"60,35",baixada,"-0,36%","-0,22","36.080.314,55","26.654,08","26,42","1,72%",1/12
ARCELORMITTAL,"25,50",pujada,"+0,43%","0,11","20.019.442,26","26.528,62","0,00","0,00%",1/12
BANKIA,"4,03",baixada,"-0,15%","-0,01","31.515.254,56","11.701,61","13,63","3,25%",1/12
BANKINTER,"7,98",baixada,"-1,60%","-0,13","11.818.307,06","7.240,37","14,70","3,34%",1/12
BBVA,"7,07",baixada,"-1,50%","-0,11","144.319.269,31","47.575,37","11,23","3,65%",1/12
CAIXABANK,"3,87",baixada,"-3,01%","-0,12","79.221.272,77","23.602,75","12,86","3,72%",1/12
CELLNEX TELECOM,"20,40",baixada,"-1,35%","-0,28","15.657.080,58","4.749,51","70,20","0,48%",1/12
DIA,"4,09",pujada,"+3,52%","0,14","35.524.956,84","2.552,07","10,67","4,93%",1/12
ENAGAS,"24,56",baixada,"-0,41%","-0,10","23.318.031,29","5.869,28","12,22","6,17%",1/12
ENDESA,"18,56",baixada,"-0,93%","-0,18","27.900.903,24","19.729,85","14,62","7,08%",1/12
FERROVIAL,"18,18",baixada,"-1,73%","-0,32","33.300.092,22","13.485,14","33,90","3,17%",1/12
GAS NATURAL,"18,64",baixada,"-0,77%","-0,15","22.018.769,76","18.757,92","14,76","5,49%",1/12
GRIFOLS,"23,83",baixada,"-2,08%","-0,51","20.526.692,33","10.295,30","24,91","1,41%",1/12
IAG (IBERIA),"6,92",baixada,"-0,40%","-0,03","16.435.531,11","14.943,72","6,53","4,06%",1/12
IBERDROLA,"6,58",baixada,"-1,44%","-0,10","73.555.233,98","41.891,44","15,69","5,13%",1/12
INDITEX,"29,57",baixada,"-0,57%","-0,17","108.522.654,86","92.938,56","26,80","2,51%",1/12
INDRA,"10,95",baixada,"-4,37%","-0,50","31.444.086,87","1.955,56","16,35","0,00%",1/12
INM. COLONIAL,"8,00",pujada,"+0,79%","0,06","11.395.124,00","3.140,15","34,20","2,42%",1/12
MAPFRE,"2,79",baixada,"-1,34%","-0,04","18.288.435,81","8.616,59","12,83","5,27%",1/12
MEDIASET,"9,667",baixada,"-1,21%","-0,118","12.303.292,96","3.260,44","16,17","5,87%",1/12
MELIA HOTELS INTL,"11,08",baixada,"-1,07%","-0,12","5.613.218,16","2.558,86","22,93","1,16%",1/12
MERLIN PROP.,"11,01",baixada,"-0,41%","-0,05","11.751.252,09","5.188,62","19,15","4,14%",1/12
REE,"18,76",baixada,"-1,26%","-0,24","23.471.338,30","10.145,25","14,85","5,00%",1/12
REPSOL,"15,35",baixada,"-0,49%","-0,08","72.595.772,18","23.560,08","10,36","5,33%",1/12
SABADELL,"1,66",baixada,"-1,66%","-0,03","19.960.021,73","9.498,32","11,78","3,64%",1/12
SANTANDER,"5,50",baixada,"-2,48%","-0,14","263.076.236,11","90.233,37","12,19","3,90%",1/12
SIEMENS GAMESA,"10,49",baixada,"-0,29%","-0,03","34.527.520,50","7.209,90","9,87","1,74%",1/12
TECNICAS REUNIDAS,"25,38",baixada,"-0,94%","-0,24","12.365.051,93","1.425,35","21,15","5,84%",1/12
TELEFONICA,"8,56",baixada,"-0,50%","-0,04","107.661.817,67","43.380,54","11,69","4,69%",1/12
VISCOFAN,"53,29",baixada,"-0,98%","-0,53","4.878.568,17","2.490,50","19,62","2,79%",1/12
