Nom,Preu,Estat,Var. per cent,Var. en euros,Volum en euros,Capitalizacio (milions euros),Per,Rent./Div,Hora
ABERTIS,"17,48",pujada,"+0,29%","0,05","14.874.643,07","17.331,67","18,48","4,40%",10:38
ACCIONA,"68,78",pujada,"+0,88%","0,60","1.532.136,53","3.937,17","15,26","4,38%",10:38
ACERINOX,"12,28",pujada,"+1,20%","0,15","2.703.786,99","3.401,15","15,42","3,75%",10:38
ACS,"31,35",pujada,"+0,84%","0,26","1.993.731,51","9.900,92","12,65","3,87%",10:38
AENA,"151,55",baixada,"-0,16%","-0,25","1.103.384,65","22.755,00","18,96","2,67%",10:38
AMADEUS,"57,14",baixada,"-0,52%","-0,30","4.022.586,10","25.083,09","24,27","1,85%",10:38
ARCELORMITTAL,"23,50",pujada,"+2,42%","0,56","14.182.903,57","24.014,74","0,00","0,00%",10:38
BANKIA,"4,03",baixada,"-0,07%","-0,00","1.476.053,75","11.612,35","13,80","3,18%",10:38
BANKINTER,"7,92",baixada,"-0,18%","-0,01","1.001.396,25","7.137,90","14,79","3,32%",10:38
BBVA,"7,38",pujada,"+0,16%","0,01","13.043.968,51","49.249,01","11,46","3,42%",10:38
CAIXABANK,"4,07",baixada,"-0,17%","-0,01","5.993.142,85","24.368,38","14,00","3,44%",10:38
CELLNEX TELECOM,"20,47",pujada,"+0,84%","0,17","2.546.593,27","4.741,40","64,20","0,53%",10:38
DIA,"4,43",pujada,"+1,14%","0,05","2.389.292,54","2.750,64","11,26","4,40%",10:38
ENAGAS,"24,28",baixada,"-0,02%","-0,01","2.480.401,24","5.792,89","11,94","6,26%",10:37
ENDESA,"19,59",pujada,"+0,36%","0,07","2.954.853,02","20.725,07","14,69","7,13%",10:37
FERROVIAL,"18,83",pujada,"+1,02%","0,19","3.386.385,48","13.921,46","33,90","3,17%",10:39
GAMESA,"12,60",pujada,"+0,32%","0,04","4.413.421,53","8.568,78","12,94","1,55%",10:38
GAS NATURAL,"18,70",pujada,"+0,73%","0,14","1.200.944,85","18.657,85","14,13","5,46%",10:37
GRIFOLS,"24,37",pujada,"+0,47%","0,12","305.772,55","10.399,70","24,50","1,45%",10:37
IAG (IBERIA),"6,99",pujada,"+0,16%","0,01","2.072.968,15","14.894,66","6,96","3,88%",10:38
IBERDROLA,"6,78",pujada,"+0,27%","0,02","6.472.868,64","42.801,16","14,86","5,03%",10:38
INDITEX,"31,27",baixada,"-0,41%","-0,13","12.254.389,81","97.597,96","28,13","2,39%",10:38
INDRA,"13,29",pujada,"+0,19%","0,03","367.239,34","2.351,27","19,14","0,00%",10:37
INM. COLONIAL,"8,01",baixada,"-0,40%","-0,03","1.289.075,29","3.157,03","33,70","2,45%",10:38
MAPFRE,"2,69",pujada,"+0,56%","0,02","1.634.155,64","8.277,84","10,63","5,24%",10:38
MEDIASET,"9,532",pujada,"+0,69%","0,065","524.714,40","3.196,80","16,22","5,87%",10:36
MELIA HOTELS INTL,"12,34",pujada,"+0,28%","0,04","344.271,93","2.835,65","23,12","1,22%",10:37
MERLIN PROP.,"11,21",baixada,"-0,13%","-0,02","1.401.309,96","5.252,04","19,03","3,99%",10:38
REE,"18,28",pujada,"+0,38%","0,07","2.635.341,32","9.890,94","14,17","5,24%",10:38
REPSOL,"15,48",pujada,"+0,81%","0,13","9.834.856,86","23.674,64","10,99","5,24%",10:39
SABADELL,"1,69",pujada,"+1,19%","0,02","3.835.350,38","9.508,14","11,84","3,62%",10:37
SANTANDER,"5,62",baixada,"-0,16%","-0,01","25.089.751,58","90.388,63","12,29","3,81%",10:39
TECNICAS REUNIDAS,"25,92",pujada,"+1,61%","0,41","1.734.863,09","1.448,54","10,49","5,40%",10:38
TELEFONICA,"9,19",pujada,"+0,29%","0,03","10.505.891,12","46.156,37","12,35","4,44%",10:38
VISCOFAN,"51,16",pujada,"+0,27%","0,14","726.943,82","2.384,71","19,04","2,83%",10:37
