Nom,Preu,Estat,Var. per cent,Var. en euros,Volum en euros,Capitalizacio (milions euros),Per,Rent./Div,Hora
Reig Jofre,"2,59",baixada,"-3,29%","-0,09","10,36","166,09","23,74","1,26%",09:00
SABADELL,"1,69",pujada,"+1,02%","0,02","3.716.987,55","9.508,14","11,84","3,62%",10:34
SACYR,"1,99",pujada,"+1,38%","0,03","397.981,21","1.063,56","7,57","0,00%",10:32
SAETA YIELD,"9,67",pujada,"+1,87%","0,18","491.916,23","782,89","16,10","8,14%",10:27
SANTANDER,"5,61",baixada,"-0,41%","-0,02","24.321.416,46","90.388,63","12,29","3,81%",10:34
SNIACE,"0,17",baixada,"-0,60%","-0,00","18.465,55","57,56","0,00","0,00%",10:31
SOLARIA ENERGIA,"1,38",pujada,"+4,94%","0,07","288.047,81","146,87","20,71","0,00%",10:31
TALGO,"4,27",pujada,"+1,76%","0,07","58.518,54","581,76","9,40","1,81%",10:34
TECNICAS REUNIDAS,"25,92",pujada,"+1,61%","0,41","1.712.046,33","1.448,54","10,49","5,40%",10:34
TECNOCOM TEL ENERG,"4,75",pujada,"+0,00%","0,00","0,00","393,94","27,94","1,81%",19/05
TELEFONICA,"9,18",pujada,"+0,20%","0,02","10.304.664,81","46.156,37","12,35","4,44%",10:34
TELEPIZZA GROUP,"4,93",pujada,"+0,53%","0,03","33.244,84","493,23","14,76","0,51%",10:24
TUBACEX,"2,86",pujada,"+1,24%","0,04","130.347,22","379,65","84,41","0,33%",10:30
TUBOS REUNIDOS,"0,87",pujada,"+2,37%","0,02","26.508,57","151,10","0,00","0,00%",10:12
URBAS,"0,02",pujada,"+0,00%","0,00","0,00","45,64","0,00","0,00%",12/10
VIDRALA,"75,60",baixada,"-0,79%","-0,60","153.530,80","1.873,21","22,71","1,10%",10:31
VISCOFAN,"51,14",pujada,"+0,24%","0,12","715.903,86","2.384,71","19,04","2,83%",10:33
VOCENTO,"1,37",pujada,"+0,74%","0,01","12.382,47","166,84","13,10","0,00%",09:32
ZARDOYA OTIS,"9,11",pujada,"+0,11%","0,01","55.006,80","4.290,63","27,15","3,46%",10:27
