Nom,Preu,Estat,Var. per cent,Var. en euros,Volum en euros,Capitalizacio (milions euros),Per,Rent./Div,Hora
A DOMINGUEZ,"4,91",pujada,"+1,45%","0,07","36.658,50","45,55","0,00","0,00%",12/10
ABENGOA,"0,03",pujada,"+0,00%","0,00","48.774,05","49,12","0,00","0,00%",10:38
ABENGOA CL.B,"0,01",baixada,"-8,33%","-0,00","35.295,68","189,19","0,00","0,00%",10:31
ABERTIS,"17,47",pujada,"+0,20%","0,04","15.122.964,15","17.331,67","18,48","4,40%",10:41
ACCIONA,"68,71",pujada,"+0,78%","0,53","1.558.048,57","3.937,17","15,26","4,38%",10:40
ACERINOX,"12,28",pujada,"+1,20%","0,15","2.703.786,99","3.401,15","15,42","3,75%",10:38
ACS,"31,33",pujada,"+0,79%","0,25","2.016.323,74","9.900,92","12,65","3,87%",10:40
ADVEO,"2,93",pujada,"+5,40%","0,15","51.471,87","61,70","17,60","0,00%",10:29
AENA,"151,35",baixada,"-0,30%","-0,45","1.159.272,10","22.755,00","18,96","2,67%",10:41
AIRBUS,"77,70",baixada,"-0,77%","-0,60","116.056,70","60.176,12","24,51","1,75%",10:30
ALANTRA,"11,80",pujada,"+0,43%","0,05","8.539,70","419,34","11,54","7,61%",12/10
ALBA,"49,61",pujada,"+0,81%","0,40","57.756,58","2.901,01","7,26","1,97%",10:12
ALMIRALL,"8,27",baixada,"-0,12%","-0,01","244.368,46","1.435,49","105,38","2,14%",10:35
AMADEUS,"57,13",baixada,"-0,54%","-0,31","4.038.925,28","25.083,09","24,27","1,85%",10:40
AMPER,"0,21",pujada,"+0,97%","0,00","546.723,92","174,95","0,00","0,00%",10:36
APERAM,"45,84",pujada,"+1,37%","0,62","3.208,80","3.772,21","0,00","0,00%",10:32
APPLUS SERVICES,"10,94",pujada,"+0,18%","0,02","333.863,02","1.706,86","17,35","1,20%",10:40
ARCELORMITTAL,"23,55",pujada,"+2,61%","0,60","14.503.427,79","24.014,74","0,00","0,00%",10:40
