Nom,Preu,Estat,Var. per cent,Var. en euros,Volum en euros,Capitalizacio (milions euros),Per,Rent./Div,Hora
ACERINOX,"11,26",baixada,"-0,79%","-0,09","11.813.287,64","3.118,18","15,46","3,91%",17/11
ACS,"32,77",baixada,"-1,18%","-0,39","17.627.828,62","10.319,43","13,44","3,62%",17/11
DIA,"4,09",baixada,"-0,05%","-0,00","17.065.417,15","2.551,45","10,70","4,92%",17/11
FERROVIAL,"18,17",baixada,"-0,76%","-0,14","26.043.409,72","13.433,37","33,90","3,17%",17/11
INDITEX,"29,27",baixada,"-1,65%","-0,49","146.173.452,93","91.598,40","26,87","2,50%",17/11
REPSOL,"14,91",pujada,"+0,17%","0,03","91.247.291,33","22.857,48","10,97","5,05%",17/11
SANTANDER,"5,48",baixada,"-0,94%","-0,05","238.450.657,30","88.700,44","12,13","3,85%",17/11
SIEMENS GAMESA,"10,37",baixada,"-1,05%","-0,11","24.267.283,42","7.063,46","11,30","1,52%",17/11
TECNICAS REUNIDAS,"23,90",baixada,"-0,08%","-0,02","9.863.738,48","1.340,67","9,57","5,99%",17/11
TELEFONICA,"8,53",baixada,"-0,41%","-0,04","130.457.144,52","43.037,97","11,80","4,64%",17/11
