Nom,Preu,Estat,Var. per cent,Var. en euros,Volum en euros,Capitalizacio (milions euros),Per,Rent./Div,Hora
ACERINOX,"12,60",pujada,"+1,29%","0,16","13.607.627,93","3.474,31","16,39","3,63%",17:38
ACS,"32,71",baixada,"-0,44%","-0,15","13.328.471,76","10.283,24","13,50","3,60%",17:38
DIA,"4,36",baixada,"-0,02%","-0,00","12.667.477,39","2.716,40","10,85","4,75%",17:38
FERROVIAL,"18,00",baixada,"-0,11%","-0,02","34.268.909,25","13.270,68","33,90","3,17%",17:38
GAMESA,"11,00",baixada,"-0,18%","-0,02","21.994.208,21","7.485,77","11,74","1,42%",17:38
INDITEX,"30,92",baixada,"-0,10%","-0,03","68.855.018,86","96.320,13","28,17","2,39%",17:38
REPSOL,"15,46",pujada,"+1,21%","0,19","49.009.823,00","23.590,63","10,92","5,23%",17:38
SANTANDER,"5,63",pujada,"+1,53%","0,09","187.279.226,47","89.698,89","11,95","3,93%",17:38
TECNICAS REUNIDAS,"25,87",baixada,"-1,82%","-0,48","15.360.589,29","1.448,27","10,50","5,47%",17:38
TELEFONICA,"8,83",baixada,"-0,15%","-0,01","96.659.284,11","44.519,08","12,31","4,51%",17:38
