Nom,Preu,Estat,Var. per cent,Var. en euros,Volum en euros,Capitalizacio (milions euros),Per,Rent./Div,Hora
ABERTIS,"18,98",baixada,"-0,45%","-0,09","43.496.697,26","18.792,49","18,70","4,35%",17:00
ACCIONA,"67,40",baixada,"-0,35%","-0,24","4.948.600,78","3.866,74","15,82","4,29%",17:01
ACERINOX,"12,42",pujada,"+0,08%","0,01","3.953.705,90","3.427,38","16,06","3,65%",17:00
ACS,"32,92",baixada,"-1,16%","-0,39","7.476.522,71","10.382,36","12,37","3,85%",17:00
AENA,"152,10",baixada,"-1,01%","-1,55","9.361.043,65","22.785,00","19,04","2,66%",16:59
AMADEUS,"56,56",pujada,"+0,43%","0,24","12.910.986,34","24.789,08","24,64","1,83%",17:00
ARCELORMITTAL,"25,61",pujada,"+1,87%","0,47","24.691.755,59","26.262,92","0,00","0,00%",17:00
BANKIA,"4,04",baixada,"-1,46%","-0,06","11.204.998,38","11.615,23","13,93","3,13%",17:00
BANKINTER,"7,94",baixada,"-1,60%","-0,13","7.915.307,58","7.126,21","14,94","3,28%",17:00
BBVA,"7,19",baixada,"-1,69%","-0,12","75.936.016,36","47.955,44","11,52","3,41%",17:01
CAIXABANK,"3,83",baixada,"-0,67%","-0,03","35.337.397,91","22.849,09","13,84","3,48%",17:00
CELLNEX TELECOM,"20,78",pujada,"+0,14%","0,03","8.871.975,57","4.830,60","68,95","0,49%",17:01
DIA,"4,37",baixada,"-1,20%","-0,05","10.297.545,64","2.702,08","10,42","4,80%",17:00
ENAGAS,"24,12",pujada,"+0,04%","0,01","7.318.288,95","5.755,88","12,38","6,00%",17:00
ENDESA,"19,16",baixada,"-0,31%","-0,06","11.941.848,57","20.280,40","15,82","6,70%",17:00
FERROVIAL,"18,11",baixada,"-1,82%","-0,34","23.998.447,50","13.370,52","33,90","3,17%",17:01
GAMESA,"11,12",baixada,"-1,42%","-0,16","40.299.197,25","7.530,04","13,19","1,28%",17:00
GAS NATURAL,"18,47",pujada,"+0,30%","0,06","10.200.259,97","18.482,73","14,46","5,33%",17:00
GRIFOLS,"24,23",baixada,"-0,35%","-0,09","4.139.322,97","10.282,51","24,20","1,46%",16:57
IAG (IBERIA),"7,36",baixada,"-0,20%","-0,02","9.132.482,66","15.709,46","7,10","3,80%",17:00
IBERDROLA,"6,75",pujada,"+0,78%","0,05","29.227.785,50","42.636,91","15,54","4,87%",17:00
INDITEX,"30,96",baixada,"-0,10%","-0,03","26.239.272,34","96.429,21","28,35","2,37%",17:00
INDRA,"13,49",pujada,"+1,54%","0,21","4.903.464,60","2.376,00","19,41","0,00%",17:00
INM. COLONIAL,"7,67",baixada,"-0,47%","-0,04","7.141.207,54","3.007,11","34,69","2,38%",17:00
MAPFRE,"2,67",baixada,"-0,89%","-0,02","6.129.101,04","8.228,57","12,05","5,49%",17:00
MEDIASET,"9,062",baixada,"-3,24%","-0,303","4.947.343,67","3.075,24","16,41","5,81%",17:00
MELIA HOTELS INTL,"11,70",baixada,"-0,30%","-0,04","3.430.513,27","2.687,49","23,53","1,20%",17:00
MERLIN PROP.,"10,88",pujada,"+0,46%","0,05","5.404.204,10","5.097,01","19,17","3,96%",17:00
REE,"18,21",pujada,"+0,30%","0,06","7.026.485,98","9.853,07","14,72","5,03%",17:01
REPSOL,"15,32",pujada,"+0,20%","0,03","24.648.334,28","23.414,98","11,03","5,18%",16:59
SABADELL,"1,60",baixada,"-1,54%","-0,03","19.543.267,44","9.002,69","12,01","3,57%",17:00
SANTANDER,"5,55",baixada,"-0,86%","-0,05","95.719.815,48","88.977,06","11,84","3,95%",17:00
TECNICAS REUNIDAS,"26,31",pujada,"+2,83%","0,73","12.203.355,09","1.453,30","10,63","5,40%",17:00
TELEFONICA,"8,86",baixada,"-0,06%","-0,01","35.892.776,17","44.765,94","12,63","4,35%",17:00
VISCOFAN,"50,88",baixada,"-0,14%","-0,07","1.608.589,86","2.375,39","19,05","2,83%",16:57
