Nom,Preu,Estat,Var. per cent,Var. en euros,Volum en euros,Capitalizacio (milions euros),Per,Rent./Div,Hora
ACERINOX,"12,42",pujada,"+0,08%","0,01","3.907.249,85","3.427,38","16,06","3,65%",16:56
ACS,"32,93",baixada,"-1,13%","-0,38","7.344.534,01","10.382,36","12,37","3,85%",16:56
DIA,"4,37",baixada,"-1,22%","-0,05","10.219.797,31","2.702,08","10,42","4,80%",16:56
FERROVIAL,"18,11",baixada,"-1,82%","-0,34","23.780.902,12","13.370,52","33,90","3,17%",16:56
GAMESA,"11,13",baixada,"-1,33%","-0,15","39.815.137,20","7.530,04","13,19","1,28%",16:56
INDITEX,"30,94",baixada,"-0,18%","-0,06","25.954.986,27","96.429,21","28,35","2,37%",16:59
REPSOL,"15,33",pujada,"+0,23%","0,04","24.468.140,44","23.414,98","11,03","5,18%",16:56
SANTANDER,"5,55",baixada,"-0,86%","-0,05","95.194.968,53","88.977,06","11,84","3,95%",16:59
TECNICAS REUNIDAS,"26,30",pujada,"+2,79%","0,72","11.864.551,87","1.453,30","10,63","5,40%",16:56
TELEFONICA,"8,86",baixada,"-0,08%","-0,01","35.817.915,34","44.765,94","12,63","4,35%",16:59
