Nom,Preu,Estat,Var. per cent,Var. en euros,Volum en euros,Capitalizacio (milions euros),Per,Rent./Div,Hora
A DOMINGUEZ,"4,81",baixada,"-3,02%","-0,15","27.887,09","46,29","0,00","0,00%",16:15
ABENGOA,"0,03",pujada,"+3,57%","0,00","107.701,74","49,12","0,00","0,00%",16:57
ABENGOA CL.B,"0,01",pujada,"+0,00%","0,00","128.656,19","189,19","0,00","0,00%",16:57
ABERTIS,"18,98",baixada,"-0,42%","-0,08","43.317.813,15","18.792,49","18,70","4,35%",16:59
ACCIONA,"67,39",baixada,"-0,37%","-0,25","4.896.370,49","3.866,74","15,82","4,29%",16:58
ACERINOX,"12,41",pujada,"+0,04%","0,01","3.928.030,57","3.427,38","16,06","3,65%",16:59
ACS,"32,90",baixada,"-1,20%","-0,40","7.381.586,72","10.382,36","12,37","3,85%",16:58
ADVEO,"2,74",baixada,"-0,72%","-0,02","34.015,42","59,55","18,09","0,00%",16:05
AENA,"151,95",baixada,"-1,11%","-1,70","9.288.531,90","22.785,00","19,04","2,66%",16:58
AIRBUS,"81,15",pujada,"+0,62%","0,50","171.562,30","63.312,72","23,66","1,85%",16:49
ALANTRA,"12,00",pujada,"+0,17%","0,02","9.596,99","417,56","11,54","7,61%",12:55
ALBA,"49,33",baixada,"-1,44%","-0,72","243.885,72","2.874,77","7,06","2,02%",16:58
ALMIRALL,"8,14",pujada,"+0,62%","0,05","1.138.657,64","1.409,55","104,50","2,15%",16:56
AMADEUS,"56,50",pujada,"+0,32%","0,18","12.873.283,85","24.789,08","24,64","1,83%",16:57
AMPER,"0,19",baixada,"-0,53%","-0,00","110.960,07","158,21","0,00","0,00%",16:44
APPLUS SERVICES,"11,26",pujada,"+0,99%","0,11","1.243.235,91","1.752,11","18,02","1,14%",16:58
ARCELORMITTAL,"25,65",pujada,"+2,03%","0,51","24.621.903,93","26.262,92","0,00","0,00%",16:57
AXIA REAL ESTATE,"16,12",baixada,"-1,26%","-0,21","1.329.688,28","1.270,93","46,60","1,69%",16:58
AZKOYEN,"8,20",pujada,"+0,55%","0,05","52.360,48","206,53","16,82","0,00%",16:37
Atresmedia,"8,51",baixada,"-2,30%","-0,20","4.628.789,83","1.922,16","13,48","6,29%",16:58
BANKIA,"4,03",baixada,"-1,61%","-0,07","10.936.561,61","11.615,23","13,93","3,13%",16:59
BANKINTER,"7,94",baixada,"-1,56%","-0,13","7.914.021,62","7.126,21","14,94","3,28%",16:59
BARON DE LEY,"113,00",pujada,"+0,89%","1,00","18.530,50","471,59","19,26","0,00%",16:50
BBVA,"7,19",baixada,"-1,69%","-0,12","75.936.016,36","47.955,44","11,52","3,41%",17:01
BIOSEARCH,"0,48",baixada,"-1,04%","-0,01","10.614,61","27,41","0,00","0,00%",16:53
