Nom,Preu,Estat,Var. per cent,Var. en euros,Volum en euros,Capitalizacio (milions euros),Per,Rent./Div,Hora
A DOMINGUEZ,"4,90",pujada,"+0,62%","0,03","38.252,41","46,10","0,00","0,00%",12:41
ABENGOA,"0,03",pujada,"+6,25%","0,00","569.273,74","55,67","0,00","0,00%",15:24
ABENGOA CL.B,"0,01",pujada,"+0,00%","0,00","2.412.413,55","223,58","0,00","0,00%",15:29
ABERTIS,"18,96",pujada,"+0,29%","0,06","35.771.006,26","18.767,73","20,15","4,06%",15:29
ACCIONA,"69,66",pujada,"+1,99%","1,36","7.453.636,09","3.992,71","15,80","4,30%",15:28
ACERINOX,"12,10",pujada,"+1,42%","0,17","8.017.725,07","3.337,66","15,64","3,77%",15:28
ACS,"33,60",pujada,"+2,49%","0,82","12.147.792,51","10.602,62","13,54","3,68%",15:29
ADVEO,"2,72",pujada,"+3,82%","0,10","78.416,51","57,84","16,23","0,00%",14:57
AENA,"154,00",pujada,"+1,62%","2,45","10.829.835,85","23.100,00","18,89","2,68%",15:28
AIRBUS,"85,15",baixada,"-1,79%","-1,55","473.636,85","65.868,46","26,47","1,64%",14:48
ALANTRA,"12,30",pujada,"+0,16%","0,02","35.997,21","437,10","11,54","7,61%",14:47
ALBA,"49,95",pujada,"+3,31%","1,60","187.813,46","2.912,09","6,91","2,07%",15:24
ALMIRALL,"8,43",pujada,"+3,31%","0,27","4.394.801,58","1.442,41","0,00","2,33%",15:28
AMADEUS,"58,07",pujada,"+1,77%","1,01","7.510.646,64","25.469,26","24,59","1,84%",15:28
AMPER,"0,19",pujada,"+4,92%","0,01","588.928,60","158,21","0,00","0,00%",15:25
APPLUS SERVICES,"11,46",pujada,"+1,01%","0,12","2.483.248,08","1.784,87","18,29","1,10%",15:28
ARCELORMITTAL,"25,21",pujada,"+0,70%","0,18","10.512.894,98","25.751,97","0,00","0,00%",15:28
AXIA REAL ESTATE,"16,07",pujada,"+1,68%","0,27","1.433.084,86","1.264,21","43,97","1,79%",15:25
AZKOYEN,"8,07",pujada,"+0,75%","0,06","66.702,36","203,38","17,41","0,00%",15:07
Atresmedia,"8,73",pujada,"+2,22%","0,19","3.473.128,96","1.960,33","13,14","6,32%",15:28
BANKIA,"4,13",pujada,"+2,43%","0,10","13.608.097,68","11.883,00","13,89","3,14%",15:28
BANKINTER,"8,13",pujada,"+2,65%","0,21","12.964.754,79","7.315,87","14,94","3,28%",15:28
BARON DE LEY,"110,95",baixada,"-0,94%","-1,05","2.780,70","461,20","21,37","0,00%",10:48
BBVA,"7,42",pujada,"+3,16%","0,23","117.768.656,34","49.489,05","11,34","3,48%",15:29
BIOSEARCH,"0,51",baixada,"-0,98%","-0,01","26.357,07","29,14","0,00","0,00%",14:16
BME,"28,520",pujada,"+0,14%","0,040","4.006.867,12","2.386,39","15,15","6,32%",15:28
CAIXABANK,"3,99",pujada,"+3,99%","0,15","74.384.639,07","23.824,07","13,23","3,68%",15:28
CELLNEX TELECOM,"21,10",pujada,"+1,27%","0,27","6.397.662,12","4.891,99","70,63","0,48%",15:28
CEMENTOS PORTLAND,"5,97",pujada,"+0,00%","0,00","0,00","305,54","0,00","0,00%",23/02
CIE AUTOMOTIVE,"24,89",pujada,"+1,18%","0,29","1.671.105,76","3.211,46","14,64","2,10%",15:18
CLINICA BAVIERA,"8,25",pujada,"+1,82%","0,15","1.260,00","136,98","23,00","2,38%",27/10
COCA-COLA EUR,"34,80",baixada,"-1,61%","-0,57","4.976,40","16.818,84","16,20","2,42%",15:21
CODERE,"0,38",pujada,"+2,70%","0,01","269.598,40","942,97","0,00","0,00%",15:03
COEMAC,"0,40",pujada,"+0,00%","0,00","45.501,40","79,99","59,43","0,00%",14:47
DEOLEO SA,"0,18",baixada,"-2,70%","-0,01","298.721,86","207,84","16,09","0,00%",15:13
DIA,"4,14",pujada,"+2,05%","0,08","16.222.633,64","2.574,48","10,60","5,05%",15:28
DOGI INTL FABRICS,"3,71",pujada,"+8,10%","0,28","125.004,11","266,42","0,00","0,00%",15:27
DURO FELGUERA,"0,51",pujada,"+2,00%","0,01","223.051,12","81,60","0,00","0,00%",15:22
EBRO FOODS,"20,75",pujada,"+0,46%","0,10","2.359.780,81","3.195,01","17,73","3,15%",15:27
EDREAMS ODIGEO REG,"2,68",pujada,"+4,04%","0,10","235.312,41","289,24","8,73","0,00%",15:13
ELECNOR,"12,20",pujada,"+1,67%","0,20","258.679,17","1.060,53","11,27","2,33%",15:05
ENAGAS,"24,49",pujada,"+1,26%","0,31","15.194.121,89","5.863,31","12,22","6,04%",15:28
ENCE,"4,970",pujada,"+1,74%","0,085","1.466.890,77","1.219,05","14,08","3,28%",15:27
ENDESA,"19,54",pujada,"+2,46%","0,47","11.930.979,39","20.703,90","15,02","6,96%",15:28
ERCROS,"2,78",pujada,"+8,13%","0,21","2.988.657,59","311,30","7,02","0,00%",15:27
EUROPAC,"8,88",pujada,"+4,59%","0,39","1.138.296,30","851,16","11,62","3,48%",15:28
EUSKALTEL,"6,87",pujada,"+1,01%","0,07","2.332.474,53","1.231,94","17,00","5,29%",15:28
FAES FARMA,"2,930",pujada,"+1,74%","0,050","420.918,44","744,50","18,00","1,50%",15:19
FCC,"8,29",baixada,"-0,65%","-0,05","220.729,08","3.133,27","18,40","0,00%",15:16
FERROCARRILES,"34,11",pujada,"+1,43%","0,48","523.737,51","1.174,12","25,60","1,72%",15:16
