Data,Tipus,Nom,Simbol,Preu (Euros),Tipus_cotitzacio
2017-11-19,crypto_moneda,XASAsch,XAS,0.547337741,baixa
2017-11-19,crypto_moneda,ADXAdEx,ADX,0.858245101,baixa
2017-11-19,crypto_moneda,LINKChainLink,LINK,0.140117435,baixa
2017-11-19,crypto_moneda,NXSNexus,NXS,0.883737530,baixa
2017-11-19,crypto_moneda,KINKin,KIN,0.000062032,baixa
2017-11-19,crypto_moneda,MCOMonaco,MCO,4.673611938,normal
2017-11-19,crypto_moneda,LRCLoopring,LRC,0.159291141,baixa
2017-11-19,crypto_moneda,EDGEdgeless,EDG,0.550252375,baixa
2017-11-19,crypto_moneda,NAVNAV Coin,NAV,0.715593719,baixa
2017-11-19,crypto_moneda,FAIRFairCoin,FAIR,0.830194082,baixa
2017-11-19,crypto_moneda,ZENZenCash,ZEN,17.963664793,normal
2017-11-19,crypto_moneda,BAYBitBay,BAY,0.043262351,baixa
2017-11-19,crypto_moneda,ANTAragon,ANT,1.334103771,normal
2017-11-19,crypto_moneda,ZSCZeusshield,ZSC,0.036240886,baixa
2017-11-19,crypto_moneda,DATAStreamr DATAcoin,DATA,0.061631345,baixa
2017-11-19,crypto_moneda,UBQUbiq,UBQ,1.062184531,normal
2017-11-19,crypto_moneda,IOCI/O Coin,IOC,2.421780731,normal
2017-11-19,crypto_moneda,RCNRipio Credit ...,RCN,0.080310498,baixa
2017-11-19,crypto_moneda,WINGSWings,WINGS,0.420981119,baixa
2017-11-19,crypto_moneda,MGOMobileGo,MGO,0.382656651,baixa
2017-11-19,crypto_moneda,RLCiExec RLC,RLC,0.471093285,baixa
2017-11-19,crypto_moneda,MLNMelon,MLN,57.850818310,normal
2017-11-19,crypto_moneda,XCPCounterparty,XCP,13.120103330,normal
2017-11-19,crypto_moneda,PPPPayPie,PPP,0.411914311,baixa
2017-11-19,crypto_moneda,CTRCentra,CTR,0.495945854,baixa
2017-11-19,crypto_moneda,PLRPillar,PLR,0.145754661,baixa
2017-11-19,crypto_moneda,PPCPeercoin,PPC,1.342601247,normal
2017-11-19,crypto_moneda,ACTAchain,ACT,0.109061709,baixa
2017-11-19,crypto_moneda,GRSGroestlcoin,GRS,0.465337945,baixa
2017-11-19,crypto_moneda,AEONAeon,AEON,2.183851396,normal
2017-11-19,crypto_moneda,DCNDentacoin,DCN,0.000097721,baixa
2017-11-19,crypto_moneda,BTXBitcore,BTX,25.823830324,normal
2017-11-19,crypto_moneda,MNXMinexCoin,MNX,10.273448786,normal
2017-11-19,crypto_moneda,TAASTaaS,TAAS,3.747387026,normal
2017-11-19,crypto_moneda,QRLQuantum Resis...,QRL,0.580047926,baixa
2017-11-19,crypto_moneda,BDLBitdeal,BDL,0.169553543,baixa
2017-11-19,crypto_moneda,NEBLNeblio,NEBL,2.353800921,normal
2017-11-19,crypto_moneda,MODModum,MOD,1.665505345,normal
2017-11-19,crypto_moneda,NLC2NoLimitCoin,NLC2,0.140219405,baixa
2017-11-19,crypto_moneda,GRIDGrid+,GRID,0.717729984,baixa
2017-11-19,crypto_moneda,RRevain,R,0.151379140,baixa
2017-11-19,crypto_moneda,VIAViacoin,VIA,1.206641628,normal
2017-11-19,crypto_moneda,SUBSubstratum,SUB,0.122013562,baixa
2017-11-19,crypto_moneda,FTCFeathercoin,FTC,0.146555123,baixa
2017-11-19,crypto_moneda,CLOAKCloakCoin,CLOAK,5.208952941,normal
2017-11-19,crypto_moneda,ASTAirSwap,AST,0.177442600,baixa
2017-11-19,crypto_moneda,OKOKCash,OK,0.362235516,baixa
2017-11-19,crypto_moneda,NLGGulden,NLG,0.074179569,baixa
2017-11-19,crypto_moneda,REQRequest Network,REQ,0.041225506,baixa
2017-11-19,crypto_moneda,SNMSONM,SNM,0.072900698,baixa
2017-11-19,crypto_moneda,EMCEmercoin,EMC,0.633468160,baixa
2017-11-19,crypto_moneda,RDDReddCoin,RDD,0.000890536,baixa
2017-11-19,crypto_moneda,ATBATBCoin,ATB,0.645111402,baixa
2017-11-19,crypto_moneda,CFICofound.it,CFI,0.077361024,baixa
2017-11-19,crypto_moneda,TKNTokenCard,TKN,1.062184531,normal
2017-11-19,crypto_moneda,ENGEnigma,ENG,0.334034942,baixa
2017-11-19,crypto_moneda,LEOLEOcoin,LEO,0.266372088,baixa
2017-11-19,crypto_moneda,MANADecentraland,MANA,0.010903112,baixa
2017-11-19,crypto_moneda,1STFirstBlood,1ST,0.288638025,baixa
2017-11-19,crypto_moneda,ICOSICOS,ICOS,43.413606161,normal
2017-11-19,crypto_moneda,RISERise,RISE,0.214881630,baixa
2017-11-19,crypto_moneda,EVXEverex,EVX,1.461565915,normal
2017-11-19,crypto_moneda,POTPotCoin,POT,0.107962985,baixa
2017-11-19,crypto_moneda,RHOCRChain,RHOC,0.129131898,baixa
2017-11-19,crypto_moneda,XPAXPlay,XPA,0.023326422,baixa
2017-11-19,crypto_moneda,SKYSkycoin,SKY,3.857854217,normal
2017-11-19,crypto_moneda,EMC2Einsteinium,EMC2,0.104268282,baixa
2017-11-19,crypto_moneda,DCTDECENT,DCT,0.438315120,baixa
2017-11-19,crypto_moneda,AMBAmber,AMB,0.150801312,baixa
2017-11-19,crypto_moneda,MDAMoeda Loyalty...,MDA,1.096174436,normal
2017-11-19,crypto_moneda,PRGParagon,PRG,0.329103006,baixa
2017-11-19,crypto_moneda,DMDDiamond,DMD,8.378511582,normal
2017-11-19,crypto_moneda,RPXRed Pulse,RPX,0.038621879,baixa
2017-11-19,crypto_moneda,SANSantiment Net...,SAN,0.344271851,baixa
2017-11-19,crypto_moneda,DNTdistrict0x,DNT,0.034441121,baixa
2017-11-19,crypto_moneda,NMCNamecoin,NMC,1.325606295,normal
2017-11-19,crypto_moneda,TRSTWeTrust,TRST,0.212100406,baixa
2017-11-19,crypto_moneda,EDOEidoo,EDO,1.809962441,normal
2017-11-19,crypto_moneda,STXStox,STX,0.436071787,baixa
2017-11-19,crypto_moneda,XELElastic,XEL,0.218601825,baixa
2017-11-19,crypto_moneda,XAURXaurum,XAUR,0.147030982,baixa
2017-11-19,crypto_moneda,IONION,ION,1.036692102,normal
2017-11-19,crypto_moneda,CNDCindicator,CND,0.012714774,baixa
2017-11-19,crypto_moneda,LBCLBRY Credits,LBC,0.159788243,baixa
2017-11-19,crypto_moneda,TNTTierion,TNT,0.041885760,baixa
2017-11-19,crypto_moneda,CRWCrown,CRW,1.087676960,normal
2017-11-19,crypto_moneda,SIBSIBCoin,SIB,1.096174436,normal
2017-11-19,crypto_moneda,SLRSolarCoin,SLR,0.446308696,baixa
2017-11-19,crypto_moneda,VIBViberate,VIB,0.102442175,baixa
2017-11-19,crypto_moneda,BLKBlackCoin,BLK,0.213132850,baixa
2017-11-19,crypto_moneda,XRBRaiBlocks,XRB,0.121589538,baixa
2017-11-19,crypto_moneda,TIPSFedoraCoin,TIPS,0.000036539,baixa
2017-11-19,crypto_moneda,DICEEtheroll,DICE,2.294318588,normal
2017-11-19,crypto_moneda,RBYRubycoin,RBY,0.641247599,baixa
2017-11-19,crypto_moneda,SAFEXSafe Exchange...,SAFEX,0.007447188,baixa
2017-11-19,crypto_moneda,DRTDomRaider,DRT,0.026921704,baixa
2017-11-19,crypto_moneda,CDTCoinDash,CDT,0.028247311,baixa
2017-11-19,crypto_moneda,SMARTSmartCash,SMART,0.049551333,baixa
2017-11-19,crypto_moneda,PEPECASHPepe Cash,PEPECASH,0.021995717,baixa
2017-11-19,crypto_moneda,ENJEnjin Coin,ENJ,0.020240988,baixa
2017-11-19,crypto_moneda,TRIGTriggers,TRIG,0.470482317,baixa
2017-11-19,crypto_moneda,TOAToaCoin,TOA,0.008656379,baixa
2017-11-19,crypto_moneda,CSNOBitDice,CSNO,0.212316242,baixa
2017-11-19,crypto_moneda,TIMEChronobank,TIME,20.487415239,normal
2017-11-19,crypto_moneda,ALISALIS,ALIS,0.374336772,baixa
2017-11-19,crypto_moneda,SOARSoarcoin,SOAR,0.019799969,baixa
2017-11-19,crypto_moneda,COBCobinhood,COB,0.056596591,baixa
2017-11-19,crypto_moneda,SWTSwarm City,SWT,1.767475060,normal
2017-11-19,crypto_moneda,AGRSAgoras Tokens,AGRS,0.324451488,baixa
2017-11-19,crypto_moneda,TCCThe ChampCoin,TCC,0.082479903,baixa
2017-11-19,crypto_moneda,MSPMothership,MSP,0.096939209,baixa
2017-11-19,crypto_moneda,GRCGridCoin,GRC,0.034407131,baixa
2017-11-19,crypto_moneda,HMQHumaniq,HMQ,0.081999796,baixa
2017-11-19,crypto_moneda,XDNDigitalNote,XDN,0.001871144,baixa
2017-11-19,crypto_moneda,DBIXDubaiCoin,DBIX,8.387009059,normal
2017-11-19,crypto_moneda,CLAMClams,CLAM,4.648119509,normal
2017-11-19,crypto_moneda,XRLRialto,XRL,0.148271613,baixa
2017-11-19,crypto_moneda,SHIFTShift,SHIFT,1.104671912,normal
2017-11-19,crypto_moneda,EXPExpanse,EXP,1.580530583,normal
2017-11-19,crypto_moneda,VRCVeriCoin,VRC,0.408822930,baixa
2017-11-19,crypto_moneda,AVTAventus,AVT,2.064886729,normal
2017-11-19,crypto_moneda,MTHMonetha,MTH,0.056977278,baixa
2017-11-19,crypto_moneda,NMRNumeraire,NMR,9.891062355,normal
2017-11-19,crypto_moneda,BSDBitSend,BSD,0.717487806,baixa
2017-11-19,crypto_moneda,MERMercury,MER,0.122989922,baixa
2017-11-19,crypto_moneda,BMCBlackmoon Crypto,BMC,0.405985622,baixa
2017-11-19,crypto_moneda,GUPMatchpool,GUP,0.161082409,baixa
2017-11-19,crypto_moneda,SLSSaluS,SLS,11.836984416,normal
2017-11-19,crypto_moneda,DLTAgrello,DLT,0.138349960,baixa
2017-11-19,crypto_moneda,GOLOSGolos,GOLOS,0.094796995,baixa
2017-11-19,crypto_moneda,POEPo.et,POE,0.005457079,baixa
2017-11-19,crypto_moneda,XWCWhiteCoin,XWC,0.047030132,baixa
2017-11-19,crypto_moneda,DIMEDimecoin,DIME,0.000022093,baixa
2017-11-19,crypto_moneda,MUEMonetaryUnit,MUE,0.088561547,baixa
2017-11-19,crypto_moneda,HTML5HTMLCOIN,HTML5,0.000275318,baixa
2017-11-19,crypto_moneda,RADSRadium,RADS,3.288523309,normal
2017-11-19,crypto_moneda,MCAPMCAP,MCAP,0.286884995,baixa
2017-11-19,crypto_moneda,ECNE-coin,ECN,2.430278207,normal
2017-11-19,crypto_moneda,AMPSynereo,AMP,0.133351745,baixa
2017-11-19,crypto_moneda,OMNIOmni,OMNI,19.204296325,normal
2017-11-19,crypto_moneda,BTDXBitcloud,BTDX,0.710633742,baixa
2017-11-19,crypto_moneda,IFTInvestFeed,IFT,0.055802927,baixa
2017-11-19,crypto_moneda,ENRGEnergycoin,ENRG,0.086852705,baixa
2017-11-19,crypto_moneda,NEOSNeosCoin,NEOS,2.914634354,normal
2017-11-19,crypto_moneda,PLBTPolybius,PLBT,2.710694924,normal
2017-11-19,crypto_moneda,BCAPBCAP,BCAP,1.011199674,normal
2017-11-19,crypto_moneda,PSTPrimas,PST,0.191030914,baixa
2017-11-19,crypto_moneda,XVCVcash,XVC,0.632093268,baixa
2017-11-19,crypto_moneda,UNOUnobtanium,UNO,49.047432915,normal
2017-11-19,crypto_moneda,NETNimiq,NET,0.926224911,baixa
2017-11-19,crypto_moneda,ADTadToken,ADT,0.016156252,baixa
2017-11-19,crypto_moneda,ARTMaecenas,ART,0.320195952,baixa
2017-11-19,crypto_moneda,TXTransferCoin,TX,1.546540678,normal
2017-11-19,crypto_moneda,CRDNCCredence Coin,CRDNC,2.787172210,normal
2017-11-19,crypto_moneda,NXCNexium,NXC,0.139402797,baixa
2017-11-19,crypto_moneda,BURSTBurst,BURST,0.005125678,baixa
2017-11-19,crypto_moneda,PTOYPatientory,PTOY,0.131184038,baixa
2017-11-19,crypto_moneda,LUNLunyr,LUN,3.993813838,normal
2017-11-19,crypto_moneda,MYSTMysterium,MYST,0.471487568,baixa
2017-11-19,crypto_moneda,WCTWaves Communi...,WCT,0.917727435,baixa
2017-11-19,crypto_moneda,LMCLoMoCoin,LMC,0.040727554,baixa
2017-11-19,crypto_moneda,PZMPRIZM,PZM,0.849747625,baixa
2017-11-19,crypto_moneda,CMPCompcoin,CMP,2.039394300,normal
2017-11-19,crypto_moneda,CATBlockCAT,CAT,1.198144151,normal
2017-11-19,crypto_moneda,MOONMooncoin,MOON,0.000039088,baixa
2017-11-19,crypto_moneda,WGRWagerr,WGR,0.047961455,baixa
2017-11-19,crypto_moneda,KICKKickCoin,KICK,0.027185126,baixa
2017-11-19,crypto_moneda,OCTOracleChain,OCT,0.285781173,baixa
2017-11-19,crypto_moneda,CNTCenturion,CNT,0.116110365,baixa
2017-11-19,crypto_moneda,BETDAO.Casino,BET,0.050616917,baixa
2017-11-19,crypto_moneda,ONXOnix,ONX,0.304406791,baixa
2017-11-19,crypto_moneda,BCPTBlockMason Cr...,BCPT,0.183927873,baixa
2017-11-19,crypto_moneda,OBITSOBITS,OBITS,0.523287334,baixa
2017-11-19,crypto_moneda,XBCBitcoin Plus,XBC,79.740317130,normal
2017-11-19,crypto_moneda,FLOFlorinCoin,FLO,0.057966384,baixa
2017-11-19,crypto_moneda,FRDFarad,FRD,0.050213287,baixa
2017-11-19,crypto_moneda,BQbitqy,BQ,0.003109227,baixa
2017-11-19,crypto_moneda,SPHRSphere,SPHR,2.481263065,normal
2017-11-19,crypto_moneda,DTBDatabits,DTB,0.329166737,baixa
2017-11-19,crypto_moneda,CAGChange,CAG,0.235543244,baixa
2017-11-19,crypto_moneda,VOXVoxels,VOX,0.035075882,baixa
2017-11-19,crypto_moneda,ABJAbjcoin,ABJ,0.892235006,baixa
2017-11-19,crypto_moneda,CVCOINCVCoin,CVCOIN,0.742702367,baixa
2017-11-19,crypto_moneda,OAXOAX,OAX,0.291556058,baixa
2017-11-19,crypto_moneda,HVNHive,HVN,0.019144814,baixa
2017-11-19,crypto_moneda,GAMGambit,GAM,5.973725804,normal
2017-11-19,crypto_moneda,NVCNovacoin,NVC,3.755884502,normal
2017-11-19,crypto_moneda,CSCCasinoCoin,CSC,0.183830152,baixa
2017-11-19,crypto_moneda,IXTiXledger,IXT,0.196799850,baixa
2017-11-19,crypto_moneda,PASCPascal Coin,PASC,0.459274995,baixa
2017-11-19,crypto_moneda,QAUQuantum,QAU,0.089267688,baixa
2017-11-19,crypto_moneda,RVTRivetz,RVT,0.261573563,baixa
2017-11-19,crypto_moneda,BITCNYbitCNY,BITCNY,0.119417583,baixa
2017-11-19,crypto_moneda,INCNTIncent,INCNT,0.146246665,baixa
2017-11-19,crypto_moneda,XBYXTRABYTES,XBY,0.015600517,baixa
2017-11-19,crypto_moneda,GVTGenesis Vision,GVT,1.792967489,normal
2017-11-19,crypto_moneda,EDRE-Dinar Coin,EDR,0.007540660,baixa
2017-11-19,crypto_moneda,PINKPinkCoin,PINK,0.018042691,baixa
2017-11-19,crypto_moneda,KRBKarbowanec,KRB,1.325606295,normal
2017-11-19,crypto_moneda,HEATHEAT,HEAT,0.205768937,baixa
2017-11-19,crypto_moneda,XSPECSpectrecoin,XSPEC,0.296600160,baixa
2017-11-19,crypto_moneda,DRPDCORP,DRP,0.757110688,baixa
2017-11-19,crypto_moneda,MTNCMasternodecoin,MTNC,0.123069798,baixa
2017-11-19,crypto_moneda,BCYBitcrystals,BCY,0.256828572,baixa
2017-11-19,crypto_moneda,ODNObsidian,ODN,0.241026665,baixa
2017-11-19,crypto_moneda,CURECurecoin,CURE,0.245396917,baixa
2017-11-19,crypto_moneda,XSTStealthcoin,XST,0.212366377,baixa
2017-11-19,crypto_moneda,BITBBitBean,BITB,0.002601077,baixa
2017-11-19,crypto_moneda,GLDGoldCoin,GLD,0.139923693,baixa
2017-11-19,crypto_moneda,PLUPluton,PLU,6.568549141,normal
2017-11-19,crypto_moneda,PIXLampix,PIX,0.047652147,baixa
2017-11-19,crypto_moneda,KOREKore,KORE,2.642715114,normal
2017-11-19,crypto_moneda,DYNDynamic,DYN,2.999609116,normal
2017-11-19,crypto_moneda,SUPERSuperCoin,SUPER,0.113801601,baixa
2017-11-19,crypto_moneda,TIXBlocktix,TIX,0.130953757,baixa
2017-11-19,crypto_moneda,SEQSequence,SEQ,0.114664945,baixa
