Nom,Preu,Estat,Var. per cent,Var. en euros,Volum en euros,Capitalizacio (milions euros),Per,Rent./Div,Hora
ABERTIS,"18,65",pujada,"+0,76%","0,14","9.329.799,51","18.490,42","20,15","4,06%",09:26
ACCIONA,"69,93",pujada,"+0,40%","0,28","556.361,71","4.001,87","15,80","4,30%",09:25
ACERINOX,"11,82",baixada,"-2,39%","-0,29","7.530.540,39","3.307,29","15,64","3,77%",09:27
ACS,"33,93",pujada,"+0,98%","0,33","1.454.569,54","10.613,64","13,54","3,68%",09:26
AENA,"154,55",pujada,"+0,39%","0,60","1.311.831,05","23.190,00","18,89","2,68%",09:26
AMADEUS,"58,11",pujada,"+0,38%","0,22","2.775.361,12","25.438,54","24,59","1,84%",09:25
ARCELORMITTAL,"24,95",baixada,"-0,66%","-0,17","2.105.553,71","25.460,73","0,00","0,00%",09:26
BANKIA,"4,10",baixada,"-0,36%","-0,02","1.671.488,53","11.920,44","13,89","3,14%",09:26
BANKINTER,"8,10",baixada,"-0,70%","-0,06","1.869.541,43","7.352,73","14,94","3,28%",09:26
BBVA,"7,42",pujada,"+0,09%","0,01","14.249.745,89","49.475,72","11,34","3,48%",09:26
CAIXABANK,"3,97",pujada,"+1,12%","0,04","10.419.052,79","23.746,31","13,23","3,68%",09:26
CELLNEX TELECOM,"21,25",pujada,"+0,24%","0,05","990.052,68","4.936,01","70,63","0,48%",09:26
DIA,"4,14",pujada,"+0,07%","0,00","997.496,89","2.579,46","10,60","5,05%",09:26
ENAGAS,"24,68",pujada,"+0,88%","0,22","1.198.742,76","5.891,96","12,22","6,04%",09:26
ENDESA,"19,76",pujada,"+0,92%","0,18","3.040.343,38","20.936,82","15,02","6,96%",09:26
FERROVIAL,"18,32",baixada,"-0,19%","-0,04","1.908.532,87","13.570,19","33,90","3,17%",09:26
GAMESA,"11,75",pujada,"+0,04%","0,01","1.338.490,07","8.030,68","13,54","1,42%",09:27
GAS NATURAL,"18,42",pujada,"+0,77%","0,14","1.013.294,68","18.377,66","14,02","5,49%",09:24
GRIFOLS,"26,17",pujada,"+1,34%","0,35","2.128.589,96","11.164,60","24,90","1,41%",09:26
IAG (IBERIA),"7,19",baixada,"-0,29%","-0,02","1.854.351,36","15.400,18","7,14","3,76%",09:26
IBERDROLA,"6,90",pujada,"+0,52%","0,04","8.022.286,60","43.590,85","15,47","4,90%",09:27
INDITEX,"32,04",pujada,"+0,60%","0,19","4.751.409,41","99.701,70","28,42","2,37%",09:27
INDRA,"12,77",baixada,"-1,12%","-0,15","1.335.133,44","2.294,74","19,49","0,00%",09:26
INM. COLONIAL,"8,00",pujada,"+0,14%","0,01","569.315,43","3.149,18","33,26","2,51%",09:26
MAPFRE,"2,77",baixada,"-0,18%","-0,01","1.649.308,40","8.622,75","12,51","5,40%",09:27
MEDIASET,"9,123",baixada,"-0,55%","-0,050","607.791,33","3.083,32","15,53","6,11%",09:26
MELIA HOTELS INTL,"11,66",baixada,"-0,21%","-0,03","639.531,66","2.702,42","22,32","1,28%",09:26
MERLIN PROP.,"11,24",pujada,"+0,99%","0,11","1.132.308,05","5.249,69","18,48","4,20%",09:26
REE,"18,94",pujada,"+0,48%","0,09","1.414.425,78","10.248,06","14,81","5,00%",09:25
REPSOL,"16,07",pujada,"+0,47%","0,08","7.179.927,18","24.468,88","11,10","5,15%",09:26
SABADELL,"1,68",pujada,"+0,06%","0,00","4.695.619,38","9.435,13","11,34","3,78%",09:26
SANTANDER,"5,81",baixada,"-0,22%","-0,01","16.802.519,20","93.500,50","12,30","3,85%",09:26
TECNICAS REUNIDAS,"27,53",pujada,"+0,57%","0,16","1.331.242,87","1.559,50","10,88","5,28%",09:26
TELEFONICA,"8,90",baixada,"-0,09%","-0,01","9.888.688,19","45.007,75","12,07","4,60%",09:26
VISCOFAN,"51,69",pujada,"+2,17%","1,10","1.035.175,37","2.397,29","18,66","2,91%",09:26
