Nom,Preu,Estat,Var. per cent,Var. en euros,Volum en euros,Capitalizacio (milions euros),Per,Rent./Div,Hora
A DOMINGUEZ,"4,98",pujada,"+1,63%","0,08","11.800,27","45,45","0,00","0,00%",12:14
ABENGOA,"0,04",baixada,"-2,78%","-0,00","870.034,62","57,31","0,00","0,00%",12:37
ABENGOA CL.B,"0,01",pujada,"+0,00%","0,00","250.460,31","206,39","0,00","0,00%",12:37
ABERTIS,"18,90",baixada,"-0,18%","-0,04","22.599.217,87","18.708,30","20,32","3,99%",12:38
ACCIONA,"68,36",pujada,"+2,09%","1,40","4.924.099,76","3.925,71","15,64","4,34%",12:35
ACERINOX,"12,49",baixada,"-0,87%","-0,11","4.146.773,05","3.466,03","16,39","3,63%",12:38
ACS,"32,63",baixada,"-0,24%","-0,08","4.081.104,94","10.261,21","13,50","3,60%",12:38
ADVEO,"2,74",baixada,"-0,36%","-0,01","5.269,54","58,48","17,10","0,00%",10:34
AENA,"149,65",baixada,"-2,19%","-3,35","14.376.791,65","22.372,50","19,18","2,63%",12:38
AIRBUS,"84,00",pujada,"+0,78%","0,65","211.742,15","65.171,44","24,74","1,77%",12:37
ALANTRA,"12,35",pujada,"+2,92%","0,35","15.322,94","440,30","11,54","7,61%",12:13
ALBA,"48,26",baixada,"-1,51%","-0,74","215.768,31","2.828,13","7,15","2,00%",12:18
ALMIRALL,"8,16",baixada,"-0,12%","-0,01","1.094.691,21","1.406,09","0,00","2,35%",12:34
AMADEUS,"56,69",pujada,"+0,87%","0,49","4.553.886,91","24.841,74","24,38","1,86%",12:38
AMPER,"0,19",baixada,"-0,52%","-0,00","101.191,11","162,40","0,00","0,00%",12:37
APERAM,"46,65",baixada,"-1,14%","-0,54","13.449,95","3.964,04","0,00","0,00%",11:34
APPLUS SERVICES,"11,29",baixada,"-0,35%","-0,04","879.792,62","1.761,47","17,98","1,12%",12:38
ARCELORMITTAL,"25,45",baixada,"-1,47%","-0,38","6.580.401,47","26.109,64","0,00","0,00%",12:38
AXIA REAL ESTATE,"15,96",baixada,"-0,28%","-0,05","80.623,94","1.260,65","45,40","1,73%",12:37
AZKOYEN,"8,02",baixada,"-0,93%","-0,08","27.105,03","201,99","17,72","0,00%",12:35
Atresmedia,"8,52",baixada,"-0,35%","-0,03","977.922,02","1.915,42","13,40","6,20%",12:38
BANKIA,"4,05",pujada,"+0,00%","0,00","4.100.105,68","11.609,47","14,14","3,09%",12:36
BANKINTER,"8,02",pujada,"+0,73%","0,06","2.522.378,33","7.206,21","15,28","3,22%",12:37
BARON DE LEY,"113,50",pujada,"+1,34%","1,50","1.707,30","465,57","20,11","0,00%",10:40
BAYER,"116,35",baixada,"-2,14%","-2,55","17.452,50","96.463,46","0,00","0,00%",10:35
BBVA,"7,38",pujada,"+1,58%","0,12","51.355.487,99","49.175,66","11,53","3,42%",12:38
BIOSEARCH,"0,49",pujada,"+0,00%","0,00","12.884,72","27,70","0,00","0,00%",11:17
BME,"28,500",pujada,"+0,25%","0,070","1.414.588,72","2.386,39","15,02","6,34%",12:32
CAIXABANK,"3,93",pujada,"+1,68%","0,07","30.178.012,51","23.542,94","13,61","3,64%",12:38
CELLNEX TELECOM,"20,85",pujada,"+0,10%","0,02","3.332.102,27","4.838,70","70,34","0,48%",12:39
CEMENTOS PORTLAND,"5,97",pujada,"+0,00%","0,00","0,00","305,54","0,00","0,00%",23/02
CIE AUTOMOTIVE,"24,22",pujada,"+0,39%","0,10","1.652.769,46","3.121,80","14,40","2,14%",12:37
CLEOP,"1,15",pujada,"+0,00%","0,00","0,00","0,00","0,00","0,00%",24/10
CLINICA BAVIERA,"8,25",baixada,"-1,79%","-0,15","1.864,50","134,54","23,00","2,38%",11:39
CODERE,"0,38",pujada,"+2,70%","0,01","437.292,81","968,46","0,00","0,00%",12:06
COEMAC,"0,40",pujada,"+1,28%","0,01","44.061,13","76,04","59,43","0,00%",24/10
DEOLEO SA,"0,20",baixada,"-2,44%","-0,01","66.221,24","236,71","112,00","0,00%",12:06
DIA,"4,36",baixada,"-0,14%","-0,01","4.896.500,07","2.708,93","10,85","4,75%",12:38
DOGI INTL FABRICS,"3,72",pujada,"+3,13%","0,11","13.372,95","265,70","0,00","0,00%",12:38
DURO FELGUERA,"0,50",pujada,"+0,00%","0,00","59.059,30","81,60","0,00","0,00%",12:27
EBRO FOODS,"20,51",baixada,"-1,58%","-0,33","2.547.567,83","3.144,24","17,30","3,25%",12:26
EDREAMS ODIGEO REG,"2,60",baixada,"-0,19%","-0,01","115.569,99","282,87","8,69","0,00%",12:34
ELECNOR,"12,10",baixada,"-0,82%","-0,10","36.766,06","1.048,35","11,41","2,30%",12:31
ENAGAS,"23,95",baixada,"-0,25%","-0,06","4.153.618,33","5.716,49","12,26","6,06%",12:34
ENCE,"4,920",baixada,"-2,96%","-0,150","2.247.638,71","1.210,43","14,49","3,26%",12:38
ENDESA,"18,86",baixada,"-0,61%","-0,12","8.822.195,57","19.952,18","15,25","6,90%",12:34
ENEL GREEN POWER,"1,93",pujada,"+0,00%","0,00","86.618,27","9.655,00","23,54","1,59%",1/04
ERCROS,"2,59",baixada,"-0,96%","-0,03","709.339,32","290,32","7,02","0,00%",12:38
EUROPAC,"8,30",pujada,"+0,73%","0,06","431.820,94","786,75","12,85","3,71%",12:38
EUSKALTEL,"7,24",pujada,"+0,28%","0,02","578.672,74","1.292,50","18,09","4,89%",12:35
FAES FARMA,"2,955",baixada,"-0,51%","-0,015","524.707,20","757,25","17,64","0,91%",12:33
FCC,"8,46",baixada,"-0,42%","-0,04","112.754,41","3.214,33","17,91","0,00%",12:37
