Nom,Preu,Estat,Var. per cent,Var. en euros,Volum en euros,Capitalizacio (milions euros),Per,Rent./Div,Hora
ACERINOX,"12,55",baixada,"-0,40%","-0,05","3.795.536,64","3.466,03","16,39","3,63%",12:30
ACS,"32,65",baixada,"-0,18%","-0,06","3.998.518,49","10.261,21","13,50","3,60%",12:31
DIA,"4,36",pujada,"+0,00%","0,00","4.799.730,88","2.708,93","10,85","4,75%",12:32
FERROVIAL,"18,00",pujada,"+0,03%","0,01","11.928.618,04","13.296,56","33,90","3,17%",12:32
GAMESA,"10,86",baixada,"-1,23%","-0,14","8.204.460,61","7.438,09","11,74","1,42%",12:33
INDITEX,"30,93",pujada,"+0,02%","0,01","15.151.510,41","96.288,96","28,17","2,39%",12:32
REPSOL,"15,46",pujada,"+0,00%","0,00","10.033.921,23","23.628,82","10,92","5,23%",12:31
SANTANDER,"5,71",pujada,"+1,51%","0,09","117.903.429,49","91.703,96","11,95","3,93%",12:32
TECNICAS REUNIDAS,"25,98",pujada,"+0,44%","0,12","3.637.565,47","1.455,81","10,50","5,47%",12:29
TELEFONICA,"8,94",pujada,"+1,33%","0,12","32.753.608,06","44.871,73","12,31","4,51%",12:33
