Numero,Nom,Simbol,Cap de mercat,Preu,Oferta circulant,Volum 24 hores,% 1h,% 2h,% 7d
1,Bitcoin,BTC,"$93,229,082,097",$5606.23,"16,629,550","$1,833,480,000",-0.44%,-0.69%,15.93%
2,Ethereum,ETH,"$30,083,896,891",$316.15,"95,157,939","$481,543,000",-1.27%,-5.43%,4.65%
3,Ripple,XRP,"$8,590,182,756",$0.222939,"38,531,538,922*","$384,368,000",-5.53%,-12.86%,-14.05%
4,Bitcoin Cash,BCH,"$6,067,843,449",$363.29,"16,702,663","$909,602,000",0.93%,16.26%,13.92%
5,Litecoin,LTC,"$3,227,381,240",$60.42,"53,419,932","$201,962,000",-0.32%,-6.14%,18.76%
6,Dash,DASH,"$2,290,740,038",$300.33,"7,627,334","$43,206,900",-0.26%,-0.53%,3.47%
7,NEM,XEM,"$1,963,593,000",$0.218177,"8,999,999,999*","$4,968,250",-0.27%,-0.81%,3.76%
8,NEO,NEO,"$1,582,025,000",$31.64,"50,000,000*","$72,365,200",0.62%,12.18%,5.77%
9,Monero,XMR,"$1,398,649,206",$91.83,"15,231,533","$42,617,000",-0.65%,-3.24%,5.68%
10,BitConnect,BCC,"$1,394,266,492",$193.80,"7,194,432","$13,953,400",-0.52%,-1.77%,18.80%
11,IOTA,MIOTA,"$1,215,961,113",$0.437470,"2,779,530,283*","$7,055,470",-1.05%,-2.29%,-8.30%
12,Ethereum Classic,ETC,"$1,147,089,251",$11.88,"96,557,147","$72,888,000",-0.69%,0.20%,2.57%
13,OmiseGO,OMG,"$790,058,037",$8.04,"98,312,024*","$23,117,700",-1.29%,2.72%,-0.72%
14,Qtum,QTUM,"$717,345,600",$12.16,"59,000,000*","$53,687,900",2.35%,8.77%,0.20%
15,Cardano,ADA,"$702,517,311",$0.027096,"25,927,070,538*","$7,313,760",-2.17%,-7.23%,25.11%
16,Stellar Lumens,XLM,"$700,695,670",$0.042242,"16,587,810,833*","$135,846,000",-1.09%,8.75%,127.13%
17,Lisk,LSK,"$582,485,601",$5.12,"113,667,260*","$7,637,890",2.34%,4.99%,5.24%
18,Zcash,ZEC,"$564,528,505",$233.27,"2,420,106","$58,796,700",-0.31%,0.19%,-1.65%
19,Tether,USDT,"$437,787,200",$1.00,"437,061,677*","$212,236,000",0.02%,0.79%,0.22%
20,Waves,WAVES,"$393,785,000",$3.94,"100,000,000*","$5,233,330",-0.23%,-2.08%,-4.07%
21,Hshare,HSR,"$357,741,040",$10.60,"33,736,424","$17,544,800",-0.48%,-4.23%,11.95%
22,Stratis,STRAT,"$295,924,098",$3.00,"98,585,829*","$6,013,660",-0.39%,2.37%,-12.26%
23,Ark,ARK,"$276,705,025",$2.82,"97,981,284*","$1,715,750",2.47%,2.84%,7.46%
24,Steem,STEEM,"$257,343,279",$1.05,"244,035,996","$1,030,480",0.38%,1.74%,0.41%
25,Bytecoin,BCN,"$255,288,667",$0.001393,"183,253,534,612","$1,051,090",-0.55%,-1.69%,4.32%
26,Ardor,ARDR,"$239,267,372",$0.239507,"998,999,495*","$1,070,360",0.04%,-4.39%,18.66%
