Numero,Nom,Simbol,Cap de mercat,Preu,Oferta circulant,Volum 24 hores,% 1h,% 2h,% 7d
1,BTCBitcoin,BTC,"$118,658,627,656",$7118.58,"16,668,862","$2,493,520,000",-0.16%,0.27%,11.48%
2,ETHEthereum,ETH,"$27,938,029,301",$292.29,"95,583,908","$581,149,000",-0.29%,-3.41%,-4.76%
3,BCHBitcoin Cash,BCH,"$10,289,145,121",$613.57,"16,769,200","$406,968,000",-0.02%,-0.67%,38.51%
4,XRPRipple,XRP,"$7,912,490,049",$0.205351,"38,531,538,922*","$106,809,000",-0.23%,-0.79%,1.89%
5,LTCLitecoin,LTC,"$3,298,053,896",$61.39,"53,721,757","$299,377,000",0.27%,10.33%,9.59%
6,DASHDash,DASH,"$2,224,820,606",$289.89,"7,674,680","$93,917,700",-0.24%,4.18%,3.10%
7,NEONEO,NEO,"$1,679,990,000",$25.85,"65,000,000*","$40,905,900",-0.96%,-1.52%,-11.00%
8,XEMNEM,XEM,"$1,584,189,000",$0.176021,"8,999,999,999*","$4,944,750",-0.49%,-2.32%,-7.16%
9,XMRMonero,XMR,"$1,576,182,826",$102.87,"15,322,084","$92,612,100",2.99%,5.09%,16.65%
10,ETCEthereum Classic,ETC,"$1,341,957,258",$13.80,"97,219,327","$181,032,000",-0.66%,-5.56%,29.29%
11,MIOTAIOTA,MIOTA,"$1,035,347,235",$0.372490,"2,779,530,283*","$15,191,100",-0.63%,0.58%,-5.39%
12,QTUMQtum,QTUM,"$811,796,994",$11.02,"73,644,404*","$119,750,000",0.24%,4.05%,5.33%
13,OMGOmiseGO,OMG,"$640,174,153",$6.27,"102,042,552*","$20,531,700",-0.81%,-3.62%,-10.62%
14,ZECZcash,ZEC,"$604,901,181",$235.39,"2,569,794","$46,817,500",0.14%,0.42%,0.82%
15,ADACardano,ADA,"$577,974,035",$0.022292,"25,927,070,538*","$2,926,910",-0.31%,-0.61%,-24.82%
16,BCCBitConnect,BCC,"$574,950,044",$268.91,"2,138,092","$22,327,800",-0.45%,1.43%,13.84%
17,LSKLisk,LSK,"$561,089,381",$4.90,"114,570,700*","$10,360,800",-0.15%,7.56%,1.99%
18,XLMStellar Lumens,XLM,"$512,392,538",$0.030889,"16,588,349,068*","$30,521,700",2.06%,11.49%,5.34%
19,USDTTether,USDT,"$495,262,237",$1.00,"494,061,667*","$267,640,000",-0.19%,0.21%,0.25%
20,EOSEOS,EOS,"$435,607,387",$0.952719,"457,225,464*","$18,435,400",1.37%,-4.54%,30.45%
21,HSRHshare,HSR,"$405,934,273",$9.61,"42,221,400","$11,524,500",-0.32%,1.17%,-11.38%
22,WAVESWaves,WAVES,"$360,703,000",$3.61,"100,000,000*","$11,883,200",-1.60%,0.53%,11.16%
23,STRATStratis,STRAT,"$294,244,079",$2.98,"98,612,883*","$5,185,420",-0.24%,-2.47%,-12.52%
24,KMDKomodo,KMD,"$282,699,920",$2.80,"100,945,510","$5,239,950",-1.04%,6.36%,22.14%
25,ARKArk,ARK,"$249,220,295",$2.54,"97,981,284*","$4,257,170",-0.75%,0.33%,4.00%
26,BCNBytecoin,BCN,"$230,630,071",$0.001259,"183,253,534,612","$2,716,580",-0.15%,4.02%,-9.97%
27,STEEMSteem,STEEM,"$213,083,371",$0.866485,"245,916,976","$968,301",-1.27%,-0.05%,-10.20%
28,ARDRArdor,ARDR,"$205,205,485",$0.205411,"998,999,495*","$831,640",0.51%,5.14%,2.75%
29,REPAugur,REP,"$188,419,000",$17.13,"11,000,000*","$1,535,840",-0.57%,1.96%,-1.58%
30,BNBBinance Coin,BNB,"$177,566,757",$1.79,"99,014,000*","$9,006,960",-0.11%,13.19%,37.25%
31,PAYTenX,PAY,"$175,171,635",$1.67,"104,661,310*","$1,925,580",1.30%,3.48%,-6.68%
32,DCRDecred,DCR,"$172,117,051",$28.15,"6,114,435","$697,404",-0.46%,-0.74%,1.74%
33,MAIDMaidSafeCoin,MAID,"$167,867,076",$0.370934,"452,552,412*","$2,514,420",-1.22%,4.47%,-2.23%
34,BTSBitShares,BTS,"$167,849,904",$0.064518,"2,601,590,000*","$2,554,770",2.18%,7.86%,-2.39%
35,BTCDBitcoinDark,BTCD,"$165,225,688",$128.19,"1,288,862","$130,794",-1.12%,7.40%,23.60%
36,PPTPopulous,PPT,"$164,751,157",$3.99,"41,252,246*","$378,217",0.35%,-1.24%,8.26%
37,GNTGolem,GNT,"$160,486,114",$0.192653,"833,032,000*","$1,619,960",-0.22%,0.43%,-0.73%
38,PIVXPIVX,PIVX,"$154,370,158",$2.82,"54,654,170*","$1,265,020",-0.62%,-3.88%,-6.66%
39,GASGas,GAS,"$153,753,680",$17.88,"8,597,035*","$542,980",-0.61%,3.98%,0.84%
40,MONAMonaCoin,MONA,"$145,096,447",$2.63,"55,167,025","$1,133,390",-0.68%,-1.55%,-13.68%
41,SALTSALT,SALT,"$143,635,669",$3.07,"46,751,837*","$6,494,110",0.09%,10.36%,13.84%
42,TRXTRON,TRX,"$143,232,834",$0.002186,"65,528,192,465*","$1,522,090",0.05%,-0.13%,-22.22%
43,BATBasic Attenti...,BAT,"$141,232,000",$0.141232,"1,000,000,000*","$1,377,890",-0.73%,0.83%,-7.61%
44,FCTFactom,FCT,"$141,034,009",$16.13,"8,745,102*","$6,055,130",-1.31%,5.45%,11.16%
45,VTCVertcoin,VTC,"$140,441,747",$3.42,"41,014,350","$7,589,860",-0.18%,-7.61%,-35.61%
46,KNCKyber Network,KNC,"$134,857,013",$1.01,"134,132,697*","$1,901,230",-1.13%,1.50%,4.06%
47,DOGEDogecoin,DOGE,"$131,211,319",$0.001173,"111,825,287,121","$2,061,320",-1.31%,0.32%,2.91%
48,DGDDigixDAO,DGD,"$128,434,000",$64.22,"2,000,000*","$112,554",-0.46%,2.70%,1.25%
49,SNGLSSingularDTV,SNGLS,"$123,522,000",$0.205870,"600,000,000*","$7,677,160",1.73%,30.34%,52.20%
50,WTCWalton,WTC,"$121,793,670",$4.89,"24,898,178*","$7,612,690",-1.46%,-1.84%,-19.13%
51,VERIVeritaseum,VERI,"$121,019,341",$59.73,"2,026,045*","$320,438",-2.75%,9.33%,18.84%
52,GXSGXShares,GXS,"$117,491,558",$2.90,"40,510,000*","$2,511,060",3.85%,22.92%,62.23%
53,GAMEGameCredits,GAME,"$112,482,858",$1.75,"64,355,352","$969,573",0.93%,3.24%,-5.35%
54,SCSiacoin,SC,"$112,041,909",$0.003651,"30,684,391,764","$1,083,690",-1.18%,0.16%,0.16%
55,BTMBytom,BTM,"$111,592,194",$0.113062,"987,000,000*","$599,034",0.70%,5.37%,30.08%
56,ETPMetaverse ETP,ETP,"$110,582,020",$3.05,"36,296,505","$4,054,670",-0.82%,-1.57%,-27.48%
57,GBYTEByteball Bytes,GBYTE,"$107,328,172",$166.34,"645,222*","$443,550",-2.20%,1.82%,-22.67%
58,SYSSyscoin,SYS,"$106,710,630",$0.201832,"528,710,167","$1,192,410",-0.58%,0.70%,-6.18%
59,XVGVerge,XVG,"$105,620,779",$0.007435,"14,205,353,286","$15,719,700",-1.43%,-14.20%,17.94%
60,SNTStatus,SNT,"$102,657,605",$0.029580,"3,470,483,788*","$2,321,300",-0.77%,-1.76%,-24.33%
61,BLOCKBlocknet,BLOCK,"$99,416,586",$20.39,"4,874,868*","$226,496",-0.12%,11.79%,4.94%
62,ZRX0x,ZRX,"$97,370,000",$0.194740,"500,000,000*","$1,856,330",-1.39%,6.80%,10.13%
63,CVCCivic,CVC,"$97,169,158",$0.283540,"342,700,000*","$1,296,030",-0.67%,-0.72%,-18.30%
64,MTLMetal,MTL,"$96,386,269",$4.99,"19,300,994*","$1,627,150",-0.42%,-2.88%,-29.48%
65,LKKLykke,LKK,"$93,215,118",$0.356666,"261,351,287*","$59,509",-0.80%,-0.52%,-1.83%
66,ICNIconomi,ICN,"$89,117,151",$0.893062,"99,788,314*","$841,350",-0.27%,-15.75%,-12.55%
67,AEAeternity,AE,"$88,637,259",$0.380384,"233,020,472*","$389,384",-0.34%,-0.43%,56.88%
68,DGBDigiByte,DGB,"$79,578,871",$0.008492,"9,371,481,380","$2,139,120",-0.73%,-2.37%,-6.14%
69,ATMATMChain,ATM,"$76,090,157",$0.026116,"2,913,534,434*","$59,333",-13.03%,-7.10%,1.58%
70,BNTBancor,BNT,"$75,245,517",$1.85,"40,772,871*","$984,335",-0.68%,-1.64%,-6.69%
71,PURAPura,PURA,"$69,202,259",$0.403000,"171,717,763","$107,127",-0.03%,3.32%,0.43%
72,VENVeChain,VEN,"$67,270,143",$0.242710,"277,162,633*","$1,023,430",1.58%,3.48%,13.63%
73,GNOGnosis,GNO,"$67,180,059",$60.82,"1,104,590*","$338,833",-1.77%,-0.31%,-14.33%
74,PARTParticl,PART,"$64,926,402",$8.36,"7,763,846*","$214,935",-0.92%,4.10%,19.81%
75,FUNFunFair,FUN,"$62,899,200",$0.015725,"4,000,000,000*","$1,237,600",0.25%,2.16%,-13.40%
76,POWRPower Ledger,POWR,"$62,802,079",$0.181790,"345,464,982*","$10,220,300",-2.41%,-17.29%,?
77,BQXBitquence,BQX,"$62,584,357",$0.865187,"72,336,219*","$1,874,400",-1.18%,2.37%,8.84%
78,KCSKuCoin Shares,KCS,"$60,425,381",$0.663701,"91,043,076*","$702,725",2.41%,-0.14%,-17.65%
79,LINKChainLink,LINK,"$59,670,800",$0.170488,"350,000,000*","$1,158,670",0.49%,1.90%,-12.11%
80,NXTNxt,NXT,"$58,500,737",$0.058559,"998,999,942*","$2,391,360",1.24%,2.73%,0.41%
81,CNXCryptonex,CNX,"$56,400,693",$1.25,"44,949,745","$102,178",-2.17%,0.97%,-5.99%
82,MCOMonaco,MCO,"$55,251,957",$5.63,"9,814,875*","$2,281,590",-1.16%,-4.52%,-32.88%
83,STORJStorj,STORJ,"$54,692,301",$0.537378,"101,776,219*","$4,677,060",0.17%,12.36%,36.51%
84,MCAPMCAP,MCAP,"$53,605,090",$1.40,"38,295,641*","$952,613",3.15%,5.39%,-18.65%
85,ZENZenCash,ZEN,"$52,935,283",$21.78,"2,430,219","$1,065,390",2.71%,4.36%,25.41%
86,NXSNexus,NXS,"$51,344,616",$0.957769,"53,608,559","$153,020",0.21%,0.54%,-5.14%
87,XZCZCoin,XZC,"$50,534,944",$14.94,"3,383,659","$949,786",-1.83%,-2.46%,-5.79%
88,NEBLNeblio,NEBL,"$49,883,544",$3.98,"12,527,605*","$177,270",-0.64%,6.19%,-16.03%
89,ADXAdEx,ADX,"$49,619,479",$0.880462,"56,356,185*","$3,411,790",-0.36%,-7.01%,-1.23%
90,NAVNAV Coin,NAV,"$49,160,855",$0.792903,"62,001,096*","$790,696",-0.67%,2.38%,-12.65%
91,DATAStreamr DATAcoin,DATA,"$48,574,866",$0.071734,"677,154,514*","$1,751,380",-0.62%,-6.64%,?
92,ZSCZeusshield,ZSC,"$46,910,899",$0.040676,"1,153,282,016*","$118,180",-0.26%,-3.41%,-7.22%
93,SMARTSmartCash,SMART,"$45,514,793",$0.053645,"848,436,358*","$63,900",0.45%,6.34%,-42.41%
94,UBQUbiq,UBQ,"$45,232,966",$1.17,"38,721,881","$311,129",-1.69%,6.87%,-6.12%
95,BDLBitdeal,BDL,"$45,069,499",$0.288519,"156,209,812","$355,684",-0.44%,-1.62%,-16.19%
96,EDGEdgeless,EDG,"$44,867,095",$0.546851,"82,046,288*","$597,103",-1.35%,3.72%,-6.53%
97,FAIRFairCoin,FAIR,"$44,530,099",$0.837129,"53,193,831*","$22,654",0.07%,-3.24%,-8.34%
98,LRCLoopring,LRC,"$44,346,451",$0.154965,"286,170,756*","$477,138",0.49%,1.22%,-1.87%
99,GRSGroestlcoin,GRS,"$42,014,512",$0.611100,"68,752,269","$7,135,000",-2.06%,-14.91%,-19.78%
100,RLCiExec RLC,RLC,"$41,894,395",$0.529834,"79,070,793*","$179,577",-0.99%,-4.14%,-23.72%
101,IOCI/O Coin,IOC,"$41,739,799",$2.55,"16,378,761*","$778,868",-0.49%,16.44%,-17.27%
102,NLC2NoLimitCoin,NLC2,"$39,385,271",$0.192848,"204,229,607*","$194,691",-1.97%,-4.63%,-6.36%
103,TAASTaaS,TAAS,"$37,866,196",$4.65,"8,146,001*","$254,929",-0.39%,7.10%,-19.39%
104,ANTAragon,ANT,"$37,217,027",$1.14,"32,685,221*","$339,205",0.74%,3.93%,-18.88%
105,MODModum,MOD,"$37,166,447",$2.14,"17,366,200*","$2,839,500",0.70%,5.20%,68.77%
106,ASTAirSwap,AST,"$37,094,550",$0.247297,"150,000,000*","$2,297,230",-0.56%,2.63%,21.90%
107,OTNOpen Trading ...,OTN,"$35,828,319",$26.05,"1,375,262*","$10,692,400",3.56%,89.70%,269.96%
108,KINKin,KIN,"$34,705,407",$0.000046,"756,097,560,976*","$41,236",1.95%,-1.14%,-10.33%
109,WINGSWings,WINGS,"$34,472,401",$0.384272,"89,708,333*","$270,712",0.56%,1.40%,-11.06%
110,REQRequest Network,REQ,"$34,177,813",$0.053739,"636,000,000*","$2,690,850",2.12%,17.63%,35.76%
111,AMBAmber,AMB,"$33,839,493",$0.234036,"144,590,975*","$85,546",-4.84%,2.25%,4.26%
112,MLNMelon,MLN,"$33,820,725",$56.42,"599,400*","$320,742",0.43%,1.51%,-4.64%
113,VIAViacoin,VIA,"$33,689,978",$1.47,"22,883,482","$607,990",0.12%,-1.57%,0.08%
114,NLGGulden,NLG,"$33,250,890",$0.093448,"355,821,245","$239,414",-2.28%,3.98%,-3.76%
115,PPCPeercoin,PPC,"$32,922,189",$1.35,"24,424,801","$332,234",-0.25%,2.46%,6.92%
116,DCNDentacoin,DCN,"$31,920,598",$0.000099,"323,507,001,026*","$20,895",-0.81%,-11.64%,-25.16%
117,MANADecentraland,MANA,"$31,019,484",$0.013642,"2,273,755,650*","$410,279",-1.48%,13.55%,45.23%
118,XCPCounterparty,XCP,"$31,001,369",$11.84,"2,617,519*","$338,896",0.58%,-2.01%,21.18%
119,QRLQuantum Resis...,QRL,"$30,949,308",$0.595179,"52,000,000*","$114,374",-1.00%,0.72%,-17.23%
120,MDAMoeda Loyalty...,MDA,"$30,548,438",$1.56,"19,628,888*","$651,607",1.44%,-5.14%,7.74%
121,RDDReddCoin,RDD,"$30,463,856",$0.001063,"28,656,221,646*","$308,345",-5.62%,-2.95%,-2.16%
122,ENGEnigma,ENG,"$30,302,812",$0.404922,"74,836,171*","$652,920",1.18%,11.08%,4.92%
123,SNMSONM,SNM,"$29,943,892",$0.083270,"359,600,000*","$852,341",-0.26%,0.06%,-6.15%
124,1STFirstBlood,1ST,"$29,770,035",$0.347950,"85,558,371*","$4,626,890",-0.86%,6.24%,11.62%
125,LEOLEOcoin,LEO,"$29,294,816",$0.315498,"92,852,619*","$1,396,260",-0.94%,0.68%,-15.93%
126,CFICofound.it,CFI,"$29,125,525",$0.089617,"325,000,000*","$466,370",-0.43%,-10.54%,1.17%
127,MGOMobileGo,MGO,"$28,986,848",$0.295697,"98,028,887*","$236,142",0.98%,7.56%,-9.13%
128,ACTAchain,ACT,"$28,546,079",$0.096483,"295,866,721*","$174,350",-0.47%,17.25%,22.88%
129,UNITYSuperNET,UNITY,"$28,513,490",$34.94,"816,061*","$17,470",1.83%,2.36%,5.19%
130,POTPotCoin,POT,"$28,029,222",$0.128242,"218,565,075*","$7,609,600",-3.46%,-22.71%,51.00%
131,RISERise,RISE,"$28,027,182",$0.247723,"113,139,200*","$611,685",-0.65%,-0.54%,-8.91%
132,BAYBitBay,BAY,"$27,682,057",$0.027467,"1,007,829,652*","$937,172",-4.46%,15.93%,9.87%
133,EVXEverex,EVX,"$27,582,060",$1.67,"16,500,000*","$1,779,030",1.93%,12.88%,3.72%
134,TNTTierion,TNT,"$27,226,654",$0.064440,"422,513,667*","$309,281",-0.80%,13.28%,23.97%
135,SUBSubstratum,SUB,"$26,228,869",$0.116010,"226,091,449*","$509,236",-0.30%,8.60%,-6.57%
136,CTRCentra,CTR,"$26,146,680",$0.384510,"68,000,000*","$1,153,640",-0.50%,1.44%,-15.64%
137,VIBViberate,VIB,"$25,110,131",$0.157610,"159,318,135*","$1,214,810",-0.30%,6.35%,-13.95%
138,ICOSICOS,ICOS,"$25,037,305",$44.70,"560,127*","$111,770",0.00%,10.83%,-3.55%
139,CLOAKCloakCoin,CLOAK,"$24,930,046",$4.87,"5,123,304*","$206,323",-1.09%,-0.58%,-7.34%
140,EMCEmercoin,EMC,"$24,754,335",$0.604820,"40,928,433","$324,427",-1.51%,-8.08%,19.17%
