Numero,Nom,Simbol,Cap de mercat,Preu,Oferta circulant,Volum 24 hores,% 1h,% 2h,% 7d
1,Bitcoin,BTC,"$99,947,871,855",$6006.60,"16,639,675","$2,045,180,000",0.30%,-1.14%,8.25%
2,Ethereum,ETH,"$28,136,768,885",$295.38,"95,256,820","$332,321,000",-0.08%,-0.29%,-10.48%
3,Ripple,XRP,"$7,841,399,360",$0.203506,"38,531,538,922*","$91,445,700",-0.25%,0.33%,-22.46%
4,Bitcoin Cash,BCH,"$5,673,451,479",$339.57,"16,707,900","$356,668,000",0.17%,5.98%,8.76%
5,Litecoin,LTC,"$3,067,749,528",$57.35,"53,489,657","$92,939,100",0.37%,-0.15%,-10.50%
6,Dash,DASH,"$2,096,042,922",$274.46,"7,636,915","$47,097,300",-0.13%,-1.12%,-8.89%
7,NEM,XEM,"$1,913,553,000",$0.212617,"8,999,999,999*","$4,319,660",-1.22%,3.69%,4.45%
8,BitConnect,BCC,"$1,495,400,364",$206.66,"7,236,217","$8,686,480",0.22%,-1.53%,9.10%
9,NEO,NEO,"$1,385,590,000",$27.71,"50,000,000*","$34,755,500",-0.30%,4.19%,1.55%
10,Monero,XMR,"$1,330,698,261",$87.24,"15,252,570","$25,369,200",0.59%,-0.43%,-6.49%
11,IOTA,MIOTA,"$1,105,049,516",$0.397567,"2,779,530,283*","$9,826,450",0.64%,5.92%,-7.42%
12,Ethereum Classic,ETC,"$1,049,538,697",$10.85,"96,710,285","$19,921,400",0.14%,-0.13%,-8.61%
13,Qtum,QTUM,"$794,834,909",$10.80,"73,606,048*","$37,045,700",0.15%,1.67%,4.74%
14,OmiseGO,OMG,"$752,436,974",$7.65,"98,312,024*","$20,815,100",-0.12%,7.49%,-2.85%
15,Cardano,ADA,"$720,479,585",$0.027789,"25,927,070,538*","$3,046,260",-0.35%,-3.14%,-7.13%
16,Lisk,LSK,"$539,119,915",$4.73,"113,876,520*","$7,788,360",0.80%,1.20%,-0.10%
17,Zcash,ZEC,"$528,705,639",$215.38,"2,454,769","$27,905,900",-0.04%,1.84%,-6.52%
18,Stellar Lumens,XLM,"$519,487,217",$0.031317,"16,587,814,333*","$84,557,700",-1.47%,9.47%,72.52%
19,Tether,USDT,"$438,066,408",$1.00,"437,061,167*","$168,400,000",0.08%,0.11%,0.26%
20,Waves,WAVES,"$355,915,000",$3.56,"100,000,000*","$9,232,850",0.70%,0.28%,-4.95%
21,Hshare,HSR,"$355,618,107",$10.53,"33,756,192","$13,516,700",0.56%,-1.02%,-9.48%
22,Stratis,STRAT,"$298,663,080",$3.03,"98,592,101*","$7,228,860",1.62%,10.07%,3.38%
23,Bytecoin,BCN,"$274,836,321",$0.001500,"183,253,534,612","$1,179,070",0.54%,0.15%,8.76%
24,Ark,ARK,"$257,490,895",$2.63,"97,981,284*","$1,647,160",0.81%,4.33%,-5.87%
25,Steem,STEEM,"$239,278,136",$0.978811,"244,457,956","$779,691",-0.52%,4.74%,-5.69%
26,EOS,EOS,"$216,614,002",$0.513559,"421,789,906*","$5,752,660",0.29%,-1.55%,-10.89%
27,Ardor,ARDR,"$202,197,498",$0.202400,"998,999,495*","$777,333",0.00%,0.94%,-19.03%
28,TenX,PAY,"$188,440,595",$1.80,"104,661,310*","$1,170,580",0.04%,4.25%,-3.49%
29,PIVX,PIVX,"$185,225,746",$3.38,"54,770,053*","$770,324",0.74%,8.79%,-13.27%
30,Augur,REP,"$183,954,100",$16.72,"11,000,000*","$580,054",-0.13%,1.33%,-8.15%
31,Gas,GAS,"$182,308,733",$21.21,"8,597,035*","$495,934",2.77%,11.91%,0.11%
32,FirstCoin,FRST,"$179,023,049",$14.44,"12,400,981","$902,119",0.29%,-1.51%,7.19%
33,Vertcoin,VTC,"$173,581,710",$4.28,"40,552,400","$51,676,400",-6.35%,64.86%,215.78%
34,Komodo,KMD,"$173,422,367",$1.72,"100,945,510","$508,876",0.08%,3.77%,-1.72%
35,MonaCoin,MONA,"$170,577,980",$3.11,"54,800,825","$2,774,870",2.38%,19.96%,1.52%
36,Walton,WTC,"$170,411,347",$6.84,"24,898,178*","$5,245,380",-2.19%,5.00%,16.52%
37,Golem,GNT,"$165,931,644",$0.199190,"833,032,000*","$1,850,720",0.16%,-0.42%,0.62%
38,TRON,TRX,"$160,170,878",$0.002448,"65,425,271,465*","$277,019",0.09%,21.32%,10.59%
39,MaidSafeCoin,MAID,"$157,369,218",$0.347737,"452,552,412*","$1,645,260",1.50%,2.49%,-11.05%
40,Decred,DCR,"$148,678,971",$24.74,"6,008,639","$337,953",0.11%,3.93%,-8.79%
41,Basic Attenti...,BAT,"$141,111,000",$0.141111,"1,000,000,000*","$1,343,360",0.71%,2.32%,-10.41%
42,Kyber Network,KNC,"$137,212,384",$1.02,"134,132,697*","$1,016,430",0.29%,1.38%,-10.97%
43,Metal,MTL,"$136,947,887",$7.10,"19,300,994*","$1,967,520",1.18%,12.19%,-0.60%
44,BitShares,BTS,"$132,880,018",$0.051091,"2,600,860,000*","$2,514,680",0.47%,-2.95%,1.70%
45,SALT,SALT,"$131,927,139",$2.82,"46,751,837*","$4,459,060",3.58%,9.70%,-1.04%
46,Factom,FCT,"$131,641,769",$15.05,"8,745,102*","$1,547,880",-0.09%,1.07%,-8.35%
47,Veritaseum,VERI,"$129,599,441",$63.97,"2,026,045*","$330,760",2.81%,7.74%,-17.10%
48,DigixDAO,DGD,"$127,783,600",$63.89,"2,000,000*","$97,511",-0.02%,-0.40%,-5.15%
49,GameCredits,GAME,"$127,770,472",$1.99,"64,355,352","$937,405",3.00%,5.54%,2.21%
50,Binance Coin,BNB,"$120,879,262",$1.22,"99,014,000*","$1,529,590",0.69%,2.28%,-20.15%
51,Dogecoin,DOGE,"$119,199,919",$0.001068,"111,602,051,182","$2,516,300",0.49%,8.09%,-3.37%
52,Iconomi,ICN,"$116,658,634",$1.17,"99,900,350*","$524,724",0.74%,0.68%,-19.29%
53,Populous,PPT,"$115,290,127",$2.79,"41,252,246*","$285,889",-0.95%,-6.95%,-12.25%
54,Siacoin,SC,"$114,282,838",$0.003771,"30,306,113,265","$1,199,630",0.58%,4.44%,-6.17%
55,Metaverse ETP,ETP,"$113,186,450",$5.01,"22,600,000","$10,388,900",-0.21%,2.26%,12.38%
56,Byteball Bytes,GBYTE,"$112,380,807",$192.47,"583,896*","$167,499",-1.57%,2.85%,8.07%
57,Regalcoin,REC,"$111,297,918",$39.61,"2,810,000","$3,164,630",2.93%,-2.13%,34.48%
