Numero,Nom,Simbol,Cap de mercat,Preu,Oferta circulant,Volum 24 hores,% 1h,% 2h,% 7d
1,Bitcoin,BTC,"$93,996,404,837",$5653.29,"16,626,850","$1,936,640,000",-0.51%,2.13%,21.76%
2,Ethereum,ETH,"$32,320,602,006",$339.75,"95,131,943","$715,652,000",-0.25%,4.05%,12.79%
3,Ripple,XRP,"$11,162,471,231",$0.289697,"38,531,538,922*","$629,937,000",4.30%,12.40%,7.54%
4,Bitcoin Cash,BCH,"$5,234,924,562",$313.43,"16,702,000","$113,804,000",-0.90%,0.49%,-4.03%
5,Litecoin,LTC,"$3,391,849,859",$63.52,"53,402,007","$240,456,000",-1.30%,-1.52%,23.70%
6,Dash,DASH,"$2,349,212,539",$308.10,"7,624,739","$37,618,800",-0.29%,3.43%,5.03%
7,NEM,XEM,"$1,971,288,000",$0.219032,"8,999,999,999*","$12,387,200",-3.38%,7.83%,9.40%
8,Monero,XMR,"$1,456,664,251",$95.67,"15,225,655","$29,955,700",-1.42%,1.73%,8.09%
9,NEO,NEO,"$1,411,375,000",$28.23,"50,000,000*","$32,646,100",2.63%,3.81%,-7.32%
10,BitConnect,BCC,"$1,411,162,387",$196.39,"7,185,364","$13,240,900",-0.71%,4.02%,28.70%
11,IOTA,MIOTA,"$1,262,373,710",$0.454168,"2,779,530,283*","$7,659,270",0.14%,5.67%,-4.21%
12,Ethereum Classic,ETC,"$1,154,753,928",$11.96,"96,516,631","$29,910,200",-0.48%,1.07%,1.17%
13,OmiseGO,OMG,"$758,469,400",$7.71,"98,312,024*","$22,248,300",-1.62%,-0.51%,-0.48%
14,Cardano,ADA,"$745,156,971",$0.028740,"25,927,070,538*","$6,742,400",-2.01%,-5.16%,33.57%
15,Stellar Lumens,XLM,"$702,601,304",$0.042357,"16,587,646,975*","$217,224,000",2.34%,143.18%,108.75%
16,Qtum,QTUM,"$609,293,000",$10.33,"59,000,000*","$18,376,700",-0.76%,0.67%,-9.46%
17,Zcash,ZEC,"$564,228,372",$234.04,"2,410,769","$23,524,000",0.00%,1.29%,-0.56%
18,Lisk,LSK,"$539,310,295",$4.75,"113,610,285*","$10,134,900",-0.80%,2.59%,-0.99%
19,Tether,USDT,"$436,547,256",$0.998823,"437,061,677*","$197,605,000",0.16%,-0.08%,-0.01%
20,Waves,WAVES,"$380,788,000",$3.81,"100,000,000*","$4,247,780",0.25%,1.31%,-14.24%
21,Hshare,HSR,"$380,647,986",$11.28,"33,731,035","$15,651,500",-1.29%,-2.30%,52.60%
22,Stratis,STRAT,"$289,064,435",$2.93,"98,584,127*","$6,613,680",-2.79%,3.36%,-16.61%
23,Bytecoin,BCN,"$260,932,875",$0.001424,"183,253,534,612","$1,120,750",0.12%,3.24%,10.06%
24,Ark,ARK,"$257,615,331",$2.63,"97,981,284*","$1,465,630",-3.20%,-5.64%,18.44%
25,Ardor,ARDR,"$255,917,697",$0.256174,"998,999,495*","$1,799,430",0.13%,4.32%,48.63%
26,Steem,STEEM,"$250,411,796",$1.03,"243,989,980","$1,089,640",-2.31%,0.91%,-4.06%
27,EOS,EOS,"$232,677,062",$0.569495,"408,567,349*","$5,540,480",-0.83%,-1.93%,-2.03%
28,Augur,REP,"$205,134,600",$18.65,"11,000,000*","$693,145",-0.87%,2.72%,-0.99%
29,PIVX,PIVX,"$201,284,534",$3.69,"54,494,013*","$1,468,870",0.35%,-4.89%,13.28%
30,TenX,PAY,"$195,426,738",$1.87,"104,661,310*","$2,012,660",1.79%,3.06%,-1.69%
31,MaidSafeCoin,MAID,"$188,999,916",$0.417631,"452,552,412*","$1,814,890",-0.55%,8.86%,-0.32%
32,MonaCoin,MONA,"$188,344,953",$3.45,"54,660,075","$17,025,300",-5.04%,23.51%,383.39%
33,Golem,GNT,"$180,260,628",$0.216391,"833,032,000*","$2,052,240",-0.63%,10.45%,9.66%
34,Gas,GAS,"$179,892,199",$20.93,"8,593,795*","$751,397",-1.25%,-0.81%,-8.11%
35,ChainLink,LINK,"$176,306,200",$0.503732,"350,000,000*","$8,236,330",12.19%,30.85%,32.01%
36,FirstCoin,FRST,"$173,637,302",$14.00,"12,400,981","$2,562,830",0.20%,4.09%,23.29%
37,Komodo,KMD,"$172,937,829",$1.71,"100,945,510","$589,186",-1.27%,-2.03%,-3.08%
38,BitShares,BTS,"$164,904,826",$0.063410,"2,600,600,000*","$12,601,500",0.66%,26.19%,21.31%
39,Decred,DCR,"$159,982,156",$26.81,"5,966,856","$416,698",-1.24%,-1.54%,-1.31%
40,Kyber Network,KNC,"$156,673,304",$1.14,"137,995,600*","$1,455,240",-0.54%,-1.06%,-23.50%
41,SALT,SALT,"$156,614,897",$2.86,"54,675,000*","$1,020,250",-8.36%,-0.37%,-9.49%
42,Basic Attenti...,BAT,"$152,220,000",$0.152220,"1,000,000,000*","$2,969,380",-1.98%,-2.82%,-20.96%
43,Veritaseum,VERI,"$150,951,385",$74.88,"2,016,034*","$183,172",-1.77%,-3.33%,29.36%
44,Walton,WTC,"$150,493,053",$6.04,"24,898,178*","$17,929,500",-2.40%,2.84%,-9.74%
45,TRON,TRX,"$149,318,365",$0.002283,"65,394,999,999*","$106,645",0.66%,5.37%,1.47%
46,Factom,FCT,"$149,247,409",$17.07,"8,745,102*","$2,377,100",-1.29%,4.18%,2.20%
47,Binance Coin,BNB,"$141,948,000",$1.42,"100,000,000*","$3,128,120",-2.44%,-6.92%,2.06%
48,Iconomi,ICN,"$140,660,692",$1.41,"99,900,350*","$526,067",-1.14%,-2.26%,-8.05%
49,Metal,MTL,"$140,603,495",$7.28,"19,300,994*","$701,482",-0.23%,1.70%,17.17%
50,Gnosis,GNO,"$135,418,316",$122.60,"1,104,590*","$459,602",48.31%,48.47%,19.39%
51,Siacoin,SC,"$133,887,173",$0.004442,"30,143,838,249","$3,916,470",-2.18%,11.82%,6.94%
52,FunFair,FUN,"$130,526,400",$0.032632,"4,000,000,000*","$2,895,700",30.85%,43.03%,35.41%
53,DigixDAO,DGD,"$130,313,400",$65.16,"2,000,000*","$239,547",-0.47%,-4.63%,-11.52%
54,Populous,PPT,"$129,756,465",$3.15,"41,252,246*","$311,450",-2.19%,6.12%,28.88%
55,Dogecoin,DOGE,"$126,730,685",$0.001136,"111,518,452,922","$4,189,270",0.55%,4.57%,11.34%
56,GameCredits,GAME,"$121,439,836",$1.89,"64,355,352","$2,090,420",1.71%,0.39%,-2.11%
57,BitcoinDark,BTCD,"$115,543,144",$89.65,"1,288,862","$154,378",1.56%,-1.02%,10.79%
58,Metaverse ETP,ETP,"$112,892,424",$5.00,"22,600,000","$33,737,800",-3.17%,27.37%,301.61%
59,Civic,CVC,"$107,590,972",$0.316258,"340,200,000*","$1,150,420",-1.76%,-1.94%,10.78%
60,Lykke,LKK,"$104,377,973",$0.387955,"269,046,599*","$240,163",-0.03%,1.54%,14.55%
61,Byteball Bytes,GBYTE,"$102,663,601",$175.82,"583,896*","$260,479",2.00%,-3.35%,15.21%
62,DigiByte,DGB,"$101,806,167",$0.011645,"8,742,253,657","$13,585,000",3.33%,29.74%,-2.40%
63,Blocknet,BLOCK,"$98,428,778",$20.32,"4,843,483*","$98,592",-1.93%,-6.59%,-7.04%
64,Bytom,BTM,"$96,989,430",$0.098267,"987,000,000*","$153,715",1.33%,5.28%,18.27%
65,Status,SNT,"$95,673,950",$0.027568,"3,470,483,788*","$2,363,880",-1.50%,7.47%,16.10%
66,Bancor,BNT,"$95,516,158",$2.34,"40,772,871*","$927,902",-0.09%,3.00%,4.52%
67,0x,ZRX,"$95,221,000",$0.190442,"500,000,000*","$1,433,410",0.17%,-1.71%,5.86%
68,Regalcoin,REC,"$92,017,946",$32.75,"2,810,000","$4,916,200",3.89%,7.10%,90.26%
69,SingularDTV,SNGLS,"$90,714,000",$0.151190,"600,000,000*","$1,047,940",-1.51%,2.44%,1.50%
70,MCAP,MCAP,"$89,380,494",$2.33,"38,295,641*","$651,579",-0.80%,5.08%,-5.92%
71,ATMChain,ATM,"$83,626,205",$0.034823,"2,401,437,109*","$210,641",-2.81%,0.99%,42.59%
72,Syscoin,SYS,"$83,303,907",$0.157710,"528,209,419","$919,202",-5.17%,5.53%,19.19%
73,Aeternity,AE,"$81,469,550",$0.349624,"233,020,472*","$390,191",-0.26%,14.99%,-5.49%
74,Pura,PURA,"$77,076,858",$0.449428,"171,499,903","$172,646",6.32%,8.83%,-3.71%
75,Monaco,MCO,"$73,396,128",$7.48,"9,814,875*","$2,021,500",-0.01%,3.40%,-7.81%
76,GXShares,GXS,"$71,113,280",$1.76,"40,510,000*","$1,010,630",-0.08%,9.37%,-0.38%
77,Verge,XVG,"$70,838,831",$0.005017,"14,118,380,111","$2,249,130",-3.62%,-9.61%,-7.66%
78,Nexus,NXS,"$70,723,691",$1.33,"53,122,984","$481,303",-1.50%,-11.06%,1.58%
79,Nxt,NXT,"$70,678,247",$0.070749,"998,999,942*","$4,937,040",-0.24%,7.75%,5.59%
80,Vertcoin,VTC,"$69,529,526",$1.72,"40,368,050","$3,477,140",-3.59%,27.16%,57.07%
81,Bitdeal,BDL,"$65,668,106",$0.420384,"156,209,812","$165,607",0.35%,-5.12%,-6.84%
82,VeChain,VEN,"$63,689,167",$0.228515,"278,708,913*","$428,328",-0.45%,5.64%,-16.54%
83,Centra,CTR,"$57,887,448",$0.851286,"68,000,000*","$822,440",-0.52%,-0.30%,-17.75%
84,Aragon,ANT,"$56,121,200",$1.71,"32,811,548*","$663,604",-1.40%,5.45%,5.09%
85,AdEx,ADX,"$51,000,947",$0.905464,"56,325,759*","$3,510,800",0.63%,7.50%,-3.61%
86,ATBCoin,ATB,"$50,674,854",$1.32,"38,330,222","$903,100",4.31%,31.33%,48.21%
87,I/O Coin,IOC,"$50,318,663",$3.07,"16,373,164*","$92,907",0.43%,3.41%,10.81%
88,Enigma,ENG,"$47,418,368",$0.633629,"74,836,171*","$1,391,080",-0.79%,-1.62%,?
89,Kin,KIN,"$46,929,539",$0.000062,"756,097,560,976*","$69,818",0.34%,-5.83%,-14.40%
90,Particl,PART,"$46,533,367",$6.01,"7,739,025*","$59,302",-1.09%,-3.23%,6.64%
91,Loopring,LRC,"$45,544,362",$0.159151,"286,170,756*","$396,737",-6.56%,-5.54%,-3.54%
92,TaaS,TAAS,"$45,203,788",$5.55,"8,146,001*","$232,587",-1.46%,7.96%,22.96%
93,Ubiq,UBQ,"$43,916,910",$1.14,"38,378,508","$202,555",-2.20%,2.21%,-8.52%
94,Melon,MLN,"$43,915,640",$73.27,"599,400*","$231,388",-0.13%,3.69%,3.67%
95,Bitquence,BQX,"$43,373,418",$0.605453,"71,637,960*","$385,271",0.18%,3.56%,22.60%
96,Sprouts,SPRTS,"$41,495,374",$0.000053,"778,247,415,011*","$3,348",0.31%,-2.62%,807.00%
97,Wings,WINGS,"$41,283,147",$0.460193,"89,708,333*","$270,388",0.36%,5.04%,-9.05%
98,Edgeless,EDG,"$41,235,070",$0.502583,"82,046,288*","$954,738",-5.17%,4.07%,-14.47%
99,MobileGo,MGO,"$39,418,788",$0.402114,"98,028,887*","$276,921",-1.67%,2.12%,-21.16%
100,NAV Coin,NAV,"$38,726,100",$0.625621,"61,900,256*","$444,174",0.85%,-2.81%,-2.90%
101,iExec RLC,RLC,"$38,399,940",$0.485640,"79,070,793*","$202,753",-0.35%,8.87%,-3.05%
102,Neblio,NEBL,"$38,216,578",$3.07,"12,465,532*","$435,496",6.72%,31.61%,61.49%
103,Storj,STORJ,"$37,978,571",$0.382234,"99,359,478*","$312,658",-0.44%,3.41%,1.19%
104,SONM,SNM,"$37,061,814",$0.103064,"359,600,000*","$655,441",-3.05%,-2.23%,-17.29%
105,Gulden,NLG,"$35,522,252",$0.100196,"354,527,645","$201,932",2.33%,-1.39%,-7.29%
106,Dentacoin,DCN,"$34,542,857",$0.000114,"303,095,254,787*","$59,596",-0.50%,-17.47%,-2.37%
107,FairCoin,FAIR,"$33,531,051",$0.630356,"53,193,831*","$11,493",-0.38%,-2.51%,-8.44%
108,NoLimitCoin,NLC2,"$33,339,205",$0.163463,"203,955,665*","$53,865",-5.69%,-2.08%,30.20%
109,Quantum Resis...,QRL,"$31,079,932",$0.597691,"52,000,000*","$237,986",-0.35%,2.52%,15.17%
110,Peercoin,PPC,"$30,999,345",$1.27,"24,386,275","$332,968",-0.97%,-0.07%,-3.16%
111,ReddCoin,RDD,"$30,998,629",$0.001082,"28,643,555,607*","$1,349,350",-1.47%,5.45%,10.36%
112,Moeda Loyalty...,MDA,"$30,495,833",$1.55,"19,628,888*","$225,213",1.08%,5.58%,-29.14%
113,Rise,RISE,"$30,279,444",$0.267630,"113,139,200*","$537,825",0.91%,-6.81%,-6.16%
114,ZCoin,XZC,"$30,269,956",$9.39,"3,223,205","$371,850",-0.31%,-1.29%,0.68%
115,CloakCoin,CLOAK,"$29,416,365",$5.75,"5,116,530*","$158,704",-2.58%,-1.69%,3.64%
116,Target Coin,TGT,"$29,256,075",$0.030717,"952,429,892*","$8,349",0.58%,30.81%,0.62%
117,SuperNET,UNITY,"$28,910,748",$35.43,"816,061*","$8,374",-0.18%,19.26%,17.50%
118,Rubycoin,RBY,"$28,660,905",$1.15,"24,876,018*","$3,809,460",-2.58%,-1.60%,64.12%
119,TokenCard,TKN,"$28,199,320",$1.19,"23,644,056*","$268,345",-1.71%,12.64%,-13.99%
120,Elastic,XEL,"$27,516,878",$0.316373,"86,976,062*","$238,727",-2.01%,5.65%,-9.11%
121,Counterparty,XCP,"$26,937,486",$10.29,"2,617,603*","$1,256,230",-15.51%,22.29%,26.29%
122,Decentraland,MANA,"$26,917,402",$0.011838,"2,273,755,650*","$2,397,990",-1.71%,-18.70%,-3.05%
123,Asch,XAS,"$26,890,875",$0.358545,"75,000,000","$12,360",-2.02%,10.69%,15.83%
124,Cofound.it,CFI,"$26,732,908",$0.082255,"325,000,000*","$191,129",-1.21%,-4.00%,-16.56%
125,Cindicator,CND,"$26,175,357",$0.018102,"1,445,976,590*","$91,988",-6.93%,-13.26%,?
126,district0x,DNT,"$26,117,580",$0.043529,"600,000,000*","$3,136,860",-2.11%,-10.42%,16.04%
127,Aeon,AEON,"$26,075,221",$1.78,"14,651,140","$203,844",-1.13%,-5.30%,-7.74%
128,Compcoin,CMP,"$25,627,398",$5.97,"4,289,456","$181,646",1.31%,6.61%,31.41%
