Numero,Nom,Simbol,Cap de mercat,Preu,Oferta circulant,Volum 24 hores,% 1h,% 2h,% 7d
54,SYSSyscoin,SYS,"$182,225,533",$0.344280,"529,294,565","$5,676,680",7.12%,5.25%,5.55%
55,GASGas,GAS,"$180,167,211",$20.96,"8,597,035*","$1,449,520",-0.51%,7.30%,-5.72%
56,BATBasic Attenti...,BAT,"$175,029,000",$0.175029,"1,000,000,000*","$3,909,520",-0.54%,1.10%,0.28%
57,BTCDBitcoinDark,BTCD,"$174,413,986",$135.32,"1,288,862","$56,604",-1.48%,2.46%,0.38%
58,CNXCryptonex,CNX,"$163,553,664",$3.64,"44,993,759","$223,575",0.01%,11.83%,76.80%
59,ICNIconomi,ICN,"$163,387,398",$1.64,"99,788,314*","$1,155,730",0.18%,10.50%,-0.55%
60,GBYTEByteball Bytes,GBYTE,"$163,302,475",$253.09,"645,222*","$597,436",-0.11%,2.52%,-2.38%
61,MNXMinexCoin,MNX,"$161,373,900",$53.79,"3,000,000","$1,433,970",-17.97%,37.23%,305.93%
62,SANSantiment Net...,SAN,"$160,803,600",$2.66,"60,522,560*","$53,419,700",5.18%,47.36%,102.36%
63,KNCKyber Network,KNC,"$159,784,234",$1.19,"134,132,697*","$14,513,700",1.33%,8.48%,-8.09%
64,AEAeternity,AE,"$149,909,992",$0.643334,"233,020,472*","$1,190,250",-0.83%,12.00%,12.42%
65,TRXTRON,TRX,"$143,030,590",$0.002175,"65,748,192,475*","$7,831,670",0.78%,5.15%,3.34%
66,GAMEGameCredits,GAME,"$135,661,726",$2.11,"64,355,352","$1,649,070",-0.73%,4.87%,-1.50%
67,XZCZCoin,XZC,"$135,333,581",$37.87,"3,573,654","$4,900,230",0.31%,-0.31%,6.28%
68,DGBDigiByte,DGB,"$134,532,566",$0.014166,"9,496,930,368","$7,570,800",-1.24%,15.70%,33.87%
69,GNOGnosis,GNO,"$131,749,972",$119.28,"1,104,590*","$1,248,510",0.24%,10.97%,8.59%
70,MTLMetal,MTL,"$123,438,156",$6.40,"19,300,994*","$10,851,300",0.77%,20.58%,25.17%
71,FUNFunFair,FUN,"$123,104,814",$0.028967,"4,249,873,622*","$1,118,180",2.35%,15.27%,28.38%
72,BTMBytom,BTM,"$121,745,463",$0.123349,"987,000,000*","$2,206,970",-0.23%,6.34%,17.72%
73,CVCCivic,CVC,"$121,366,177",$0.354147,"342,700,000*","$5,930,070",-0.88%,15.82%,3.56%
74,GXSGXShares,GXS,"$118,393,311",$2.92,"40,510,000*","$8,876,500",0.33%,0.54%,-2.54%
75,VENVeChain,VEN,"$118,005,594",$0.425763,"277,162,633*","$8,960,610",1.83%,23.98%,74.89%
76,BLOCKBlocknet,BLOCK,"$111,877,877",$22.78,"4,911,254*","$206,669",-0.62%,3.82%,-2.71%
77,ETHOSEthos,ETHOS,"$110,860,003",$1.48,"74,923,632*","$1,502,410",-1.38%,-3.05%,-14.44%
78,ZRX0x,ZRX,"$108,769,000",$0.217538,"500,000,000*","$4,464,650",0.52%,-1.41%,-4.00%
79,BNTBancor,BNT,"$107,682,782",$2.64,"40,772,871*","$3,010,190",-0.14%,5.09%,0.73%
80,ETPMetaverse ETP,ETP,"$104,324,794",$2.85,"36,546,588","$3,785,920",0.59%,0.75%,-23.41%
81,XVGVerge,XVG,"$104,119,599",$0.007260,"14,340,831,443","$5,694,640",0.35%,21.84%,18.46%
82,PURAPura,PURA,"$98,734,691",$0.574234,"171,941,561","$421,476",-2.55%,0.30%,-14.47%
83,SNGLSSingularDTV,SNGLS,"$96,918,000",$0.161530,"600,000,000*","$3,776,120",2.20%,-5.33%,3.82%
84,POTPotCoin,POT,"$95,464,296",$0.436168,"218,870,472*","$6,645,080",-1.97%,13.28%,48.24%
85,EDGEdgeless,EDG,"$92,981,417",$1.13,"82,046,288*","$5,821,860",1.65%,32.19%,33.07%
86,PPCPeercoin,PPC,"$87,873,927",$3.59,"24,486,762","$2,900,460",-1.47%,-1.00%,84.91%
87,LINKChainLink,LINK,"$86,641,450",$0.247547,"350,000,000*","$9,894,000",-2.17%,17.91%,37.01%
88,QSPQuantstamp,QSP,"$86,096,807",$0.139470,"617,314,171*","$23,392,700",3.94%,24.07%,-15.89%
89,STORJStorj,STORJ,"$85,585,053",$0.811897,"105,413,683*","$8,381,680",-1.10%,9.68%,9.64%
90,LRCLoopring,LRC,"$83,139,186",$0.290523,"286,170,756*","$9,049,340",-0.60%,21.92%,42.95%
91,NXSNexus,NXS,"$82,747,720",$1.53,"54,153,558","$466,882",1.48%,2.03%,4.41%
92,ADXAdEx,ADX,"$77,633,966",$1.35,"57,667,256*","$8,236,720",2.50%,12.96%,14.62%
93,ZENZenCash,ZEN,"$77,568,515",$31.59,"2,455,648","$1,265,480",0.39%,8.47%,-1.76%
94,UBQUbiq,UBQ,"$76,084,759",$1.94,"39,124,163","$556,541",1.46%,13.22%,23.74%
95,LKKLykke,LKK,"$74,381,842",$0.282411,"263,381,531*","$354,748",0.30%,-5.32%,-17.97%
96,ATMATMChain,ATM,"$73,319,139",$0.020280,"3,615,253,002*","$38,879",4.12%,-7.68%,-0.04%
97,NAVNAV Coin,NAV,"$73,044,852",$1.18,"62,115,611*","$1,984,230",0.96%,10.34%,1.69%
98,DATAStreamr DATAcoin,DATA,"$72,768,378",$0.107462,"677,154,514*","$3,587,800",5.84%,6.08%,19.14%
99,SUBSubstratum,SUB,"$72,417,543",$0.320302,"226,091,449*","$3,170,200",0.48%,8.55%,-6.82%
100,PARTParticl,PART,"$72,336,461",$9.28,"7,792,921*","$274,078",2.49%,6.57%,-1.94%
101,GRSGroestlcoin,GRS,"$71,921,227",$1.04,"68,929,679","$20,411,200",2.21%,38.21%,73.35%
102,MCOMonaco,MCO,"$71,315,573",$7.02,"10,164,879*","$3,031,320",-2.47%,13.55%,11.66%
103,BAYBitBay,BAY,"$68,369,102",$0.067828,"1,007,970,126*","$3,156,420",-0.10%,-2.63%,-10.78%
104,ANTAragon,ANT,"$68,306,797",$2.10,"32,527,201*","$560,526",-0.98%,1.32%,3.70%
105,XCPCounterparty,XCP,"$66,475,361",$25.40,"2,617,470*","$368,821",1.51%,12.09%,22.58%
106,JINNJinn,JINN,"$66,216,397",$1127.99,"58,703*","$2,256",-0.86%,55.31%,208.00%
107,SKYSkycoin,SKY,"$64,701,000",$10.78,"6,000,000*","$66,046",-2.04%,4.63%,31.71%
108,ACTAchain,ACT,"$64,669,200",$0.215564,"300,000,000*","$1,097,490",-0.30%,3.29%,-0.04%
109,RCNRipio Credit ...,RCN,"$62,757,083",$0.129358,"485,142,647*","$8,574,390",0.69%,4.74%,-16.89%
110,QRLQuantum Resis...,QRL,"$61,517,560",$1.18,"52,000,000*","$3,184,820",0.50%,12.43%,-1.60%
111,FAIRFairCoin,FAIR,"$61,515,474",$1.16,"53,193,831*","$45,361",-3.48%,-1.65%,18.26%
112,MGOMobileGo,MGO,"$61,380,101",$0.626143,"98,028,887*","$430,718",-0.59%,0.63%,-15.57%
113,AEONAeon,AEON,"$60,832,854",$4.15,"14,651,140","$207,206",-1.12%,3.09%,29.82%
114,RHOCRChain,RHOC,"$59,989,990",$0.329682,"181,963,195*","$54,336",0.34%,5.79%,39.06%
115,PPPPayPie,PPP,"$59,653,110",$0.723068,"82,500,000*","$252,661",-2.37%,1.07%,-6.23%
116,MERMercury,MER,"$56,639,800",$0.566398,"100,000,000*","$20,551,600",1.99%,55.38%,214.57%
117,KINKin,KIN,"$56,131,020",$0.000074,"756,097,560,976*","$96,964",-4.22%,6.12%,18.81%
118,FTCFeathercoin,FTC,"$55,948,208",$0.304465,"183,759,080","$547,261",-0.45%,3.97%,26.69%
119,UNITYSuperNET,UNITY,"$55,805,092",$68.38,"816,061*",$684,-39.67%,-4.65%,37.15%
120,IOCI/O Coin,IOC,"$55,370,945",$3.38,"16,388,676*","$144,199",1.50%,2.64%,-3.85%
121,COBCobinhood,COB,"$55,338,613",$0.211842,"261,225,880*","$232,157",1.08%,6.15%,71.24%
122,OTNOpen Trading ...,OTN,"$54,046,503",$13.55,"3,988,583*","$433,863",2.39%,-6.30%,-46.68%
123,WINGSWings,WINGS,"$53,180,804",$0.592819,"89,708,333*","$720,311",-0.93%,6.54%,6.41%
124,REQRequest Network,REQ,"$49,585,566",$0.077388,"640,739,733*","$3,529,090",1.03%,20.06%,21.49%
125,VIAViacoin,VIA,"$49,362,944",$2.15,"22,912,299","$1,734,820",-0.14%,10.13%,27.14%
126,MLNMelon,MLN,"$47,895,057",$79.91,"599,400*","$613,106",0.53%,2.98%,3.00%
127,SNMSONM,SNM,"$46,902,628",$0.130430,"359,600,000*","$1,746,610",0.40%,7.49%,22.58%
128,DCTDECENT,DCT,"$45,633,277",$0.889432,"51,306,089*","$761,424",-0.97%,-1.49%,-0.42%
129,XASAsch,XAS,"$44,954,984",$0.494976,"90,822,554","$416,969",-0.44%,4.69%,-10.96%
130,ENGEnigma,ENG,"$44,779,645",$0.598369,"74,836,171*","$3,413,380",-0.59%,0.13%,21.30%
131,RLCiExec RLC,RLC,"$44,722,678",$0.565603,"79,070,793*","$258,353",0.15%,7.16%,-9.79%
132,EMCEmercoin,EMC,"$44,626,110",$1.09,"41,011,368","$151,719",-0.11%,6.85%,22.25%
133,RRevain,R,"$44,456,508",$0.241022,"184,450,000*","$499,209",0.94%,10.66%,16.38%
134,AGRSAgoras Tokens,AGRS,"$44,234,400",$1.05,"42,000,000*","$1,727,250",0.55%,-3.61%,94.41%
135,RISERise,RISE,"$43,013,940",$0.380186,"113,139,200*","$4,535,960",-5.17%,20.56%,23.22%
136,TNBTime New Bank,TNB,"$41,835,398",$0.036935,"1,132,673,199*","$3,722,090",-1.89%,19.24%,?
137,MANADecentraland,MANA,"$41,778,441",$0.018374,"2,273,755,650*","$863,221",1.30%,8.32%,18.42%
138,KCSKuCoin Shares,KCS,"$41,413,674",$0.454880,"91,043,076*","$838,893",-0.17%,-3.59%,-19.42%
139,CFICofound.it,CFI,"$41,068,950",$0.126366,"325,000,000*","$1,238,410",1.18%,5.63%,20.12%
140,TRSTWeTrust,TRST,"$40,540,569",$0.439953,"92,147,500*","$994,645",-0.73%,3.70%,7.08%
141,INKInk,INK,"$39,923,544",$0.223975,"178,250,000*","$24,807,500",1.81%,-3.88%,35.61%
142,PLRPillar,PLR,"$39,818,034",$0.175113,"227,384,800*","$172,845",0.30%,4.83%,4.46%
143,ZSCZeusshield,ZSC,"$39,811,952",$0.034524,"1,153,170,765*","$1,670,470",0.14%,-4.07%,0.70%
144,XRBRaiBlocks,XRB,"$39,549,958",$0.296814,"133,248,290*","$395,603",4.17%,24.99%,70.84%
145,NEBLNeblio,NEBL,"$38,210,691",$3.03,"12,601,390*","$331,043",1.28%,9.25%,-4.69%
146,NLC2NoLimitCoin,NLC2,"$37,595,176",$0.183800,"204,543,939*","$105,203",2.98%,-0.35%,15.45%
147,RDDReddCoin,RDD,"$36,837,708",$0.001284,"28,682,878,356*","$519,221",2.54%,11.32%,2.78%
148,NMCNamecoin,NMC,"$36,417,034",$2.47,"14,736,400","$276,986",0.47%,2.58%,41.28%
149,MCAPMCAP,MCAP,"$36,339,308",$0.948915,"38,295,641*","$1,489,770",0.92%,18.41%,155.49%
