Numero,Nom,Simbol,Cap de mercat,Preu,Oferta circulant,Volum 24 hores,% 1h,% 2h,% 7d
1,BTCBitcoin,BTC,"$118,306,559,093",$7098.14,"16,667,262","$3,114,630,000",-0.94%,-4.26%,16.02%
2,ETHEthereum,ETH,"$28,687,897,058",$300.19,"95,566,117","$565,763,000",-0.33%,1.21%,-2.31%
3,BCHBitcoin Cash,BCH,"$10,362,012,584",$618.00,"16,766,875","$804,943,000",-0.55%,-1.05%,37.62%
4,XRPRipple,XRP,"$7,974,333,169",$0.206956,"38,531,538,922*","$100,312,000",-0.24%,2.21%,2.12%
5,LTCLitecoin,LTC,"$2,980,411,952",$55.49,"53,709,632","$132,946,000",0.10%,1.10%,-1.83%
6,DASHDash,DASH,"$2,134,195,795",$278.14,"7,672,961","$59,309,500",-0.15%,1.84%,-2.46%
7,NEONEO,NEO,"$1,709,435,000",$26.30,"65,000,000*","$26,619,100",-1.08%,0.68%,-8.73%
8,XEMNEM,XEM,"$1,641,087,000",$0.182343,"8,999,999,999*","$12,233,900",-1.83%,7.92%,-8.14%
9,XMRMonero,XMR,"$1,494,497,886",$97.56,"15,318,694","$90,628,600",0.09%,12.59%,10.02%
10,ETCEthereum Classic,ETC,"$1,446,179,527",$14.88,"97,192,097","$442,762,000",-0.97%,11.35%,36.89%
11,MIOTAIOTA,MIOTA,"$1,025,154,698",$0.368823,"2,779,530,283*","$12,950,800",1.35%,4.60%,-8.32%
12,QTUMQtum,QTUM,"$788,989,088",$10.71,"73,642,320*","$117,217,000",0.67%,5.98%,3.25%
13,OMGOmiseGO,OMG,"$663,555,163",$6.50,"102,042,552*","$20,517,300",-0.14%,3.23%,-9.74%
14,ZECZcash,ZEC,"$589,590,122",$230.00,"2,563,469","$48,522,100",-0.94%,2.07%,-4.29%
15,ADACardano,ADA,"$583,493,908",$0.022505,"25,927,070,538*","$4,763,670",-1.33%,2.23%,-20.66%
16,BCCBitConnect,BCC,"$566,889,437",$265.14,"2,138,092","$19,500,000",-0.77%,-4.26%,16.81%
17,LSKLisk,LSK,"$519,513,489",$4.54,"114,532,960*","$8,131,030",-1.79%,1.27%,-7.03%
18,USDTTether,USDT,"$494,950,978",$1.00,"494,061,667*","$301,715,000",0.03%,0.10%,0.28%
19,XLMStellar Lumens,XLM,"$472,201,858",$0.028466,"16,588,217,481*","$11,521,900",2.92%,6.15%,-9.54%
20,EOSEOS,EOS,"$435,982,883",$0.964429,"452,063,224*","$26,091,300",-3.80%,-13.64%,39.32%
21,HSRHshare,HSR,"$399,015,643",$9.45,"42,217,846","$12,796,300",-1.00%,-3.48%,-3.84%
22,WAVESWaves,WAVES,"$360,051,000",$3.60,"100,000,000*","$12,511,600",-0.90%,3.72%,3.84%
23,STRATStratis,STRAT,"$301,861,430",$3.06,"98,611,755*","$7,098,910",-1.08%,0.28%,-19.07%
24,KMDKomodo,KMD,"$265,413,001",$2.63,"100,945,510","$4,754,430",-0.03%,3.97%,14.16%
25,ARKArk,ARK,"$246,832,491",$2.52,"97,981,284*","$4,983,790",-2.18%,6.65%,3.57%
26,BCNBytecoin,BCN,"$223,882,676",$0.001222,"183,253,534,612","$2,285,960",-0.66%,-2.33%,-10.66%
27,STEEMSteem,STEEM,"$210,331,613",$0.855623,"245,822,767","$829,577",-1.69%,-2.02%,-11.59%
28,ARDRArdor,ARDR,"$194,335,372",$0.194530,"998,999,495*","$454,879",-1.54%,-1.86%,-1.43%
29,REPAugur,REP,"$186,639,200",$16.97,"11,000,000*","$899,583",-0.50%,2.60%,-0.88%
30,DCRDecred,DCR,"$173,536,888",$28.41,"6,108,905","$790,326",-1.02%,-0.63%,-4.47%
31,PAYTenX,PAY,"$169,065,694",$1.62,"104,661,310*","$1,771,210",-0.70%,-0.14%,-8.41%
32,PPTPopulous,PPT,"$163,606,408",$3.97,"41,252,246*","$437,764",-3.88%,7.00%,13.28%
33,GNTGolem,GNT,"$159,192,415",$0.191100,"833,032,000*","$2,569,890",-0.84%,1.32%,0.18%
34,MAIDMaidSafeCoin,MAID,"$156,900,826",$0.346702,"452,552,412*","$2,444,430",-4.21%,6.99%,-3.34%
35,PIVXPIVX,PIVX,"$156,498,791",$2.86,"54,648,584*","$880,409",-1.48%,-7.75%,-12.44%
36,BTCDBitcoinDark,BTCD,"$154,970,211",$120.24,"1,288,862","$224,455",-1.03%,10.10%,18.37%
37,BTSBitShares,BTS,"$154,513,599",$0.059393,"2,601,550,000*","$2,465,090",-1.61%,0.09%,5.24%
38,BNBBinance Coin,BNB,"$152,959,798",$1.54,"99,014,000*","$4,870,960",-2.20%,0.90%,16.13%
39,VTCVertcoin,VTC,"$151,553,894",$3.70,"40,991,200","$11,982,700",-0.38%,0.23%,-29.46%
40,GASGas,GAS,"$147,359,205",$17.14,"8,597,035*","$564,848",-1.50%,2.68%,-8.05%
41,MONAMonaCoin,MONA,"$145,964,248",$2.65,"55,147,025","$2,794,010",0.22%,4.36%,-16.66%
42,TRXTRON,TRX,"$141,464,883",$0.002159,"65,528,192,465*","$1,743,540",0.11%,-1.75%,-22.44%
43,SALTSALT,SALT,"$140,831,026",$3.01,"46,751,837*","$6,326,620",4.37%,18.59%,8.10%
44,BATBasic Attenti...,BAT,"$138,336,000",$0.138336,"1,000,000,000*","$1,547,220",-0.89%,-1.47%,-5.34%
45,FCTFactom,FCT,"$137,279,737",$15.70,"8,745,102*","$5,208,750",-1.14%,10.87%,3.04%
46,KNCKyber Network,KNC,"$130,399,247",$0.972166,"134,132,697*","$1,653,460",-1.48%,-1.86%,-1.15%
47,DOGEDogecoin,DOGE,"$130,278,070",$0.001165,"111,811,313,632","$2,037,790",-1.41%,-1.86%,1.25%
48,DGDDigixDAO,DGD,"$125,139,400",$62.57,"2,000,000*","$146,864",-0.70%,-3.63%,2.12%
49,XVGVerge,XVG,"$122,211,506",$0.008605,"14,202,069,485","$15,254,500",-0.02%,0.38%,54.21%
50,WTCWalton,WTC,"$121,819,813",$4.89,"24,898,178*","$7,822,970",-1.51%,2.14%,-33.08%
51,ETPMetaverse ETP,ETP,"$112,182,491",$3.09,"36,287,516","$6,386,600",-0.33%,3.62%,-22.44%
52,VERIVeritaseum,VERI,"$110,065,729",$54.33,"2,026,045*","$408,441",-1.52%,-5.49%,13.23%
53,SCSiacoin,SC,"$109,998,545",$0.003587,"30,662,555,547","$1,938,580",-2.77%,4.39%,-4.03%
54,GAMEGameCredits,GAME,"$108,785,000",$1.69,"64,355,352","$767,778",-0.95%,1.85%,-11.79%
55,SYSSyscoin,SYS,"$104,228,672",$0.197145,"528,690,418","$1,534,660",-3.00%,-1.15%,-17.41%
56,BTMBytom,BTM,"$103,648,818",$0.105014,"987,000,000*","$369,938",-0.99%,-4.38%,18.56%
57,ICNIconomi,ICN,"$103,478,486",$1.04,"99,788,314*","$483,196",-0.69%,-1.27%,-2.66%
58,SNTStatus,SNT,"$102,712,438",$0.029596,"3,470,483,788*","$2,299,430",-0.99%,-4.87%,-22.50%
59,GBYTEByteball Bytes,GBYTE,"$101,150,171",$156.77,"645,222*","$673,473",-4.69%,-4.54%,-27.75%
60,CVCCivic,CVC,"$99,109,525",$0.289202,"342,700,000*","$1,789,730",-0.69%,-0.79%,-18.74%
61,MTLMetal,MTL,"$97,064,313",$5.03,"19,300,994*","$1,986,390",-2.10%,5.36%,-41.05%
62,LKKLykke,LKK,"$96,469,491",$0.358202,"269,315,893*","$181,250",-0.39%,-0.58%,-1.00%
63,GXSGXShares,GXS,"$95,215,109",$2.35,"40,510,000*","$3,049,800",-1.54%,-1.36%,35.62%
64,SNGLSSingularDTV,SNGLS,"$93,109,200",$0.155182,"600,000,000*","$2,022,170",-2.08%,-12.13%,12.44%
65,BLOCKBlocknet,BLOCK,"$91,529,318",$18.78,"4,873,662*","$126,412",2.31%,-1.37%,4.81%
66,ZRX0x,ZRX,"$90,371,000",$0.180742,"500,000,000*","$1,098,010",-0.04%,3.06%,-3.83%
67,AEAeternity,AE,"$87,923,984",$0.377323,"233,020,472*","$823,713",-0.69%,4.48%,48.63%
