Numero,Nom,Simbol,Cap de mercat,Preu,Oferta circulant,Volum 24 hores,% 1h,% 2h,% 7d
1,BTCBitcoin,BTC,"$95,209,130,973",$5717.91,"16,651,037","$1,505,070,000",0.23%,-1.34%,-6.51%
2,ETHEthereum,ETH,"$28,038,245,664",$293.98,"95,374,995","$227,260,000",-0.05%,-0.87%,-0.84%
3,XRPRipple,XRP,"$7,780,596,591",$0.201928,"38,531,538,922*","$24,999,500",-0.02%,-0.53%,-1.03%
4,BCHBitcoin Cash,BCH,"$6,559,847,236",$391.83,"16,741,650","$607,716,000",0.47%,8.54%,21.56%
5,LTCLitecoin,LTC,"$2,930,518,153",$54.70,"53,573,882","$70,451,400",-0.19%,-1.80%,-6.06%
6,DASHDash,DASH,"$2,169,102,953",$283.60,"7,648,351","$39,712,700",0.39%,0.55%,0.01%
7,XEMNEM,XEM,"$1,744,038,000",$0.193782,"8,999,999,999*","$3,794,840",-0.22%,-1.25%,-5.87%
8,BCCBitConnect,BCC,"$1,540,917,965",$210.60,"7,316,730","$13,086,600",0.18%,-1.12%,-1.86%
9,NEONEO,NEO,"$1,421,105,000",$28.42,"50,000,000*","$23,647,900",-0.21%,0.35%,5.06%
10,XMRMonero,XMR,"$1,323,480,059",$86.63,"15,278,057","$24,551,000",0.73%,-1.04%,-0.76%
11,MIOTAIOTA,MIOTA,"$1,132,558,527",$0.407464,"2,779,530,283*","$6,474,810",-1.71%,-2.64%,11.93%
12,ETCEthereum Classic,ETC,"$1,000,005,505",$10.32,"96,893,186","$16,390,600",-0.12%,-0.50%,-5.30%
13,QTUMQtum,QTUM,"$752,815,543",$10.23,"73,619,952*","$22,076,400",-0.02%,-1.07%,-5.66%
14,OMGOmiseGO,OMG,"$713,384,489",$7.26,"98,312,024*","$22,949,500",-0.83%,-7.41%,1.25%
15,ADACardano,ADA,"$671,088,516",$0.025884,"25,927,070,538*","$1,894,640",0.67%,-0.91%,-9.86%
16,ZECZcash,ZEC,"$585,378,823",$234.50,"2,496,306","$59,153,300",-0.66%,-4.51%,9.76%
17,XLMStellar Lumens,XLM,"$555,251,337",$0.033473,"16,587,937,139*","$10,513,500",-0.64%,-1.24%,28.83%
18,LSKLisk,LSK,"$547,227,648",$4.79,"114,127,020*","$6,641,180",0.34%,-2.52%,3.44%
19,USDTTether,USDT,"$438,093,133",$1.00,"437,061,667*","$126,476,000",-0.01%,0.23%,0.19%
20,STRATStratis,STRAT,"$425,425,728",$4.31,"98,599,601*","$10,743,800",-0.86%,-6.67%,50.99%
21,WAVESWaves,WAVES,"$348,321,000",$3.48,"100,000,000*","$6,908,940",-0.10%,-1.90%,-3.76%
22,HSRHshare,HSR,"$309,558,531",$9.17,"33,767,173","$13,094,900",0.38%,-4.07%,-14.75%
23,BCNBytecoin,BCN,"$239,811,073",$0.001309,"183,253,534,612","$1,921,160",0.44%,-3.61%,-13.31%
24,ARKArk,ARK,"$238,297,341",$2.43,"97,981,284*","$1,024,170",-1.27%,-3.98%,-4.77%
25,STEEMSteem,STEEM,"$230,921,835",$0.942842,"244,921,031","$698,344",-0.62%,-3.59%,-0.47%
26,EOSEOS,EOS,"$228,850,986",$0.528592,"432,944,476*","$5,127,970",0.32%,4.25%,1.36%
27,VTCVertcoin,VTC,"$197,610,375",$4.85,"40,721,150","$23,864,200",3.73%,16.41%,93.31%
28,ARDRArdor,ARDR,"$195,922,782",$0.196119,"998,999,495*","$508,278",0.37%,1.33%,-2.57%
29,TRXTRON,TRX,"$192,036,325",$0.002935,"65,428,192,465*","$1,510,520",-1.32%,-4.00%,48.60%
30,REPAugur,REP,"$191,112,900",$17.37,"11,000,000*","$477,173",-0.24%,-0.29%,4.14%
31,KMDKomodo,KMD,"$188,542,995",$1.87,"100,945,510","$789,080",-0.89%,1.40%,9.72%
32,PAYTenX,PAY,"$186,795,320",$1.78,"104,661,310*","$1,132,380",1.09%,-0.62%,2.65%
33,DCRDecred,DCR,"$183,169,404",$30.29,"6,047,131","$572,756",1.42%,-1.15%,23.85%
34,PIVXPIVX,PIVX,"$178,754,967",$3.17,"56,302,018*","$198,829",0.00%,-4.21%,2.84%
35,MTLMetal,MTL,"$175,915,436",$9.11,"19,300,994*","$2,928,160",-0.75%,0.53%,38.25%
36,MONAMonaCoin,MONA,"$174,561,686",$3.18,"54,932,825","$1,139,130",-0.74%,-6.26%,19.89%
37,WTCWalton,WTC,"$165,942,124",$6.66,"24,898,178*","$6,826,690",0.53%,-1.61%,3.94%
38,GNTGolem,GNT,"$165,186,913",$0.198296,"833,032,000*","$1,836,530",-1.39%,-0.30%,-3.47%
39,GASGas,GAS,"$155,653,624",$18.11,"8,597,035*","$528,126",2.40%,-1.54%,-5.40%
40,MAIDMaidSafeCoin,MAID,"$153,841,119",$0.339941,"452,552,412*","$772,748",0.09%,-0.48%,-0.04%
41,PPTPopulous,PPT,"$149,347,569",$3.62,"41,252,246*","$259,375",0.24%,3.46%,22.51%
42,BATBasic Attenti...,BAT,"$144,212,000",$0.144212,"1,000,000,000*","$1,351,450",-1.11%,1.34%,4.50%
43,BTSBitShares,BTS,"$135,859,353",$0.052232,"2,601,090,000*","$1,478,780",0.17%,-0.43%,2.08%
44,FCTFactom,FCT,"$135,780,826",$15.53,"8,745,102*","$3,571,690",0.32%,6.13%,6.21%
45,SNTStatus,SNT,"$134,520,810",$0.038761,"3,470,483,788*","$5,007,260",0.66%,24.95%,53.48%
46,SALTSALT,SALT,"$132,139,392",$2.83,"46,751,837*","$3,392,830",-1.13%,-4.36%,12.77%
47,KNCKyber Network,KNC,"$132,081,137",$0.984705,"134,132,697*","$1,264,830",-0.26%,-2.80%,-2.94%
48,SMARTSmartCash,SMART,"$124,790,240",$0.160698,"776,551,295*","$15,767",1.07%,1.43%,130.87%
49,SYSSyscoin,SYS,"$123,825,776",$0.234306,"528,478,895","$3,074,070",-0.16%,7.13%,39.35%
50,GAMEGameCredits,GAME,"$122,648,430",$1.91,"64,355,352","$627,981",0.10%,-3.73%,0.44%
51,DGDDigixDAO,DGD,"$117,523,200",$58.76,"2,000,000*","$110,253",-0.12%,-0.62%,-8.67%
52,BTCDBitcoinDark,BTCD,"$116,891,294",$90.69,"1,288,862","$118,835",3.15%,9.18%,12.87%
53,ICNIconomi,ICN,"$116,516,775",$1.17,"99,900,350*","$456,323",0.00%,-1.82%,-0.68%
54,SCSiacoin,SC,"$115,568,858",$0.003797,"30,438,329,504","$1,007,310",1.47%,0.72%,4.65%
55,BNBBinance Coin,BNB,"$113,841,347",$1.15,"99,014,000*","$1,052,720",0.53%,0.03%,-5.89%
56,GBYTEByteball Bytes,GBYTE,"$113,194,174",$193.86,"583,896*","$749,860",-0.63%,0.12%,0.75%
57,DOGEDogecoin,DOGE,"$112,433,908",$0.001007,"111,685,614,153","$1,201,030",-1.17%,-3.43%,0.06%
58,VERIVeritaseum,VERI,"$109,220,868",$53.91,"2,026,045*","$469,864",-4.28%,5.86%,-11.89%
59,CVCCivic,CVC,"$103,941,915",$0.304815,"341,000,000*","$1,292,610",0.89%,-4.60%,0.70%
60,LKKLykke,LKK,"$94,369,079",$0.350650,"269,126,135*","$69,003",-0.07%,-1.58%,-7.46%
61,ZRX0x,ZRX,"$94,097,500",$0.188195,"500,000,000*","$853,207",0.11%,-1.46%,-8.16%
62,BLOCKBlocknet,BLOCK,"$88,682,388",$18.25,"4,860,507*","$131,784",1.06%,-2.78%,-23.58%
63,SNGLSSingularDTV,SNGLS,"$87,615,000",$0.146025,"600,000,000*","$1,154,040",1.16%,-2.38%,9.09%
64,DGBDigiByte,DGB,"$85,361,389",$0.009158,"9,321,452,675","$2,246,020",0.30%,1.20%,6.79%
65,ETPMetaverse ETP,ETP,"$81,790,756",$3.62,"22,600,000","$5,929,050",-2.05%,-9.61%,-26.57%
66,MCOMonaco,MCO,"$79,661,355",$8.12,"9,814,875*","$3,296,880",0.06%,7.75%,7.47%
67,ATMATMChain,ATM,"$78,786,633",$0.027042,"2,913,534,434*","$1,973,670",-0.15%,-6.60%,-6.62%
68,XVGVerge,XVG,"$78,373,478",$0.005533,"14,165,630,981","$1,807,700",3.55%,7.74%,26.52%
69,BTMBytom,BTM,"$78,159,148",$0.079189,"987,000,000*","$179,887",-3.63%,-7.31%,-2.27%
70,FUNFunFair,FUN,"$77,577,200",$0.019394,"4,000,000,000*","$1,066,490",0.49%,7.68%,4.09%
71,GNOGnosis,GNO,"$76,960,099",$69.67,"1,104,590*","$281,587",-0.33%,-2.00%,-0.56%
72,BNTBancor,BNT,"$76,588,576",$1.88,"40,772,871*","$1,256,520",0.39%,-0.46%,-5.48%
73,LINKChainLink,LINK,"$71,001,000",$0.202860,"350,000,000*","$1,289,670",-0.42%,-9.18%,-12.16%
74,MCAPMCAP,MCAP,"$70,660,819",$1.85,"38,295,641*","$605,368",-0.95%,-3.10%,-9.35%
75,GXSGXShares,GXS,"$69,691,784",$1.72,"40,510,000*","$2,135,080",1.60%,-0.34%,0.06%
76,PURAPura,PURA,"$69,082,634",$0.402524,"171,623,640","$140,025",-0.97%,-3.55%,1.04%
77,BQXBitquence,BQX,"$63,509,791",$0.886537,"71,638,060*","$285,201",0.04%,0.74%,31.16%
78,NEBLNeblio,NEBL,"$62,906,619",$5.03,"12,499,428*","$378,160",-0.58%,-7.09%,29.37%
79,BDLBitdeal,BDL,"$62,164,944",$0.397958,"156,209,812","$137,350",3.77%,-0.55%,-6.39%
80,NXTNxt,NXT,"$58,823,514",$0.058882,"998,999,942*","$1,818,600",-0.45%,-0.16%,-3.37%
81,IOCI/O Coin,IOC,"$58,470,633",$3.57,"16,375,897*","$293,530",0.21%,2.46%,43.77%
82,NXSNexus,NXS,"$58,461,816",$1.10,"53,386,861","$203,255",0.47%,-6.12%,-10.77%
83,VENVeChain,VEN,"$57,104,926",$0.206034,"277,162,633*","$371,825",0.26%,3.80%,-17.62%
84,ADXAdEx,ADX,"$56,063,702",$0.994828,"56,355,171*","$2,961,060",6.80%,3.89%,29.92%
85,AEAeternity,AE,"$52,174,216",$0.223904,"233,020,472*","$353,299",0.46%,-2.11%,-24.62%
86,EDGEdgeless,EDG,"$50,806,097",$0.619237,"82,046,288*","$886,087",3.71%,10.32%,42.50%
87,PARTParticl,PART,"$50,642,935",$6.53,"7,752,411*","$58,696",-0.82%,1.49%,7.10%
88,XZCZCoin,XZC,"$49,923,912",$15.09,"3,308,191","$2,225,920",1.73%,11.07%,33.37%
89,UBQUbiq,UBQ,"$49,438,327",$1.28,"38,562,535","$232,155",0.36%,0.05%,6.78%
90,STORJStorj,STORJ,"$49,351,654",$0.490725,"100,568,860*","$4,527,590",-3.38%,-9.54%,46.36%
91,ZENZenCash,ZEN,"$48,477,937",$20.55,"2,358,874","$1,325,780",0.66%,-2.40%,-9.61%
92,ANTAragon,ANT,"$47,282,304",$1.45,"32,683,997*","$331,610",-1.16%,-4.26%,-5.38%
93,RLCiExec RLC,RLC,"$46,574,990",$0.589029,"79,070,793*","$399,081",0.30%,-3.97%,24.91%
94,TAASTaaS,TAAS,"$45,718,045",$5.61,"8,146,001*","$264,030",-0.21%,0.83%,-7.03%
95,NAVNAV Coin,NAV,"$45,316,384",$0.731431,"61,955,788*","$619,428",1.67%,0.16%,-2.68%
96,MODModum,MOD,"$43,297,584",$2.49,"17,366,200*","$1,747,670",-1.53%,10.81%,?
97,NLC2NoLimitCoin,NLC2,"$41,586,772",$0.203751,"204,105,854*","$95,871",-1.07%,-8.57%,-3.55%
98,LRCLoopring,LRC,"$41,447,541",$0.144835,"286,170,756*","$164,800",-1.49%,0.46%,-9.61%
99,FAIRFairCoin,FAIR,"$40,065,434",$0.753197,"53,193,831*","$50,283",3.76%,5.32%,13.34%
100,ATBATBCoin,ATB,"$40,036,148",$1.04,"38,592,778","$816,491",2.01%,-0.58%,-15.83%
101,WINGSWings,WINGS,"$39,163,608",$0.436566,"89,708,333*","$447,038",-0.47%,-6.80%,-0.29%
102,QRLQuantum Resis...,QRL,"$38,546,404",$0.741277,"52,000,000*","$265,439",-0.53%,2.29%,15.93%
103,KINKin,KIN,"$38,451,115",$0.000051,"756,097,560,976*","$108,334",-0.19%,-9.20%,-17.46%
104,MGOMobileGo,MGO,"$36,887,584",$0.376293,"98,028,887*","$217,211",-1.19%,-2.49%,-7.44%
105,DCNDentacoin,DCN,"$35,121,769",$0.000116,"303,095,254,787*","$40,717",-18.80%,-4.79%,-2.65%
106,MLNMelon,MLN,"$35,054,111",$58.48,"599,400*","$383,336",1.08%,-2.57%,-8.50%
107,CTRCentra,CTR,"$34,712,980",$0.510485,"68,000,000*","$1,282,060",2.53%,-10.11%,-11.58%
108,SNMSONM,SNM,"$34,285,415",$0.095343,"359,600,000*","$615,786",0.24%,1.00%,-5.13%
109,NLGGulden,NLG,"$33,522,230",$0.094369,"355,224,645","$113,139",0.45%,-2.91%,1.23%
110,BQbitqy,BQ,"$33,109,654",$0.026619,"1,243,835,384*","$85,375",8.68%,70.08%,58.91%
111,REQRequest Network,REQ,"$31,046,149",$0.048815,"636,000,000*","$1,113,190",-0.17%,-2.52%,-12.98%
