Numero,Nom,Simbol,Cap de mercat,Preu,Oferta circulant,Volum 24 hores,% 1h,% 2h,% 7d
1,Bitcoin,BTC,"$94,426,076,779",$5681.43,"16,620,125","$3,867,720,000",0.43%,11.61%,29.76%
2,Ethereum,ETH,"$31,006,174,813",$326.10,"95,083,257","$1,003,690,000",0.14%,6.28%,8.99%
3,Ripple,XRP,"$9,586,229,114",$0.248345,"38,600,451,446*","$380,544,000",0.96%,-4.39%,4.70%
4,Bitcoin Cash,BCH,"$5,197,422,996",$311.32,"16,694,525","$345,263,000",-1.09%,-1.01%,-15.23%
5,Litecoin,LTC,"$3,086,414,300",$57.85,"53,350,082","$510,038,000",1.67%,12.10%,10.82%
6,Dash,DASH,"$2,288,292,990",$300.36,"7,618,400","$64,726,100",-0.22%,2.05%,-2.36%
7,NEM,XEM,"$1,828,782,000",$0.203198,"8,999,999,999*","$6,078,140",-0.99%,-4.06%,-5.45%
8,BitConnect,BCC,"$1,408,070,870",$196.64,"7,160,690","$16,942,200",0.69%,10.68%,39.27%
9,NEO,NEO,"$1,394,935,000",$27.90,"50,000,000*","$84,370,300",-1.27%,-4.39%,-16.82%
10,Monero,XMR,"$1,328,610,030",$87.34,"15,211,391","$43,965,700",-0.42%,-0.71%,-4.84%
11,IOTA,MIOTA,"$1,178,023,304",$0.423821,"2,779,530,283*","$18,520,500",-2.60%,-7.87%,-23.47%
12,Ethereum Classic,ETC,"$1,149,953,303",$11.93,"96,415,164","$87,557,100",0.15%,3.15%,-2.43%
13,OmiseGO,OMG,"$820,221,149",$8.34,"98,312,024*","$40,353,600",-2.45%,-1.99%,-4.36%
14,Cardano,ADA,"$724,941,634",$0.027961,"25,927,070,538*","$11,441,600",0.44%,22.68%,35.14%
15,Qtum,QTUM,"$641,153,000",$10.87,"59,000,000*","$43,450,800",-0.43%,-6.96%,-8.07%
16,Lisk,LSK,"$551,229,008",$4.86,"113,471,805*","$13,146,300",-0.09%,-7.06%,-9.74%
17,Zcash,ZEC,"$545,559,838",$228.49,"2,387,706","$53,411,700",-1.58%,-1.98%,-12.56%
18,Tether,USDT,"$437,590,422",$1.00,"437,061,577*","$320,596,000",0.33%,0.23%,0.03%
