Numero,Nom,Simbol,Cap de mercat,Preu,Oferta circulant,Volum 24 hores,% 1h,% 2h,% 7d
1,Bitcoin,BTC,"$91,935,477,598",$5527.78,"16,631,537","$2,348,400,000",0.30%,-1.16%,14.18%
2,Ethereum,ETH,"$29,462,603,518",$309.55,"95,178,819","$605,628,000",0.45%,-1.77%,2.01%
3,Ripple,XRP,"$8,472,314,778",$0.219880,"38,531,538,922*","$376,739,000",2.78%,-3.43%,-16.68%
4,Bitcoin Cash,BCH,"$5,671,002,671",$339.50,"16,703,788","$523,581,000",1.87%,-9.09%,8.20%
5,Litecoin,LTC,"$3,229,210,972",$60.43,"53,435,182","$270,171,000",1.23%,1.14%,18.70%
6,Dash,DASH,"$2,262,364,891",$296.53,"7,629,361","$37,233,400",0.74%,-1.18%,-0.62%
7,NEM,XEM,"$1,967,823,000",$0.218647,"8,999,999,999*","$3,436,280",0.01%,0.23%,1.64%
8,NEO,NEO,"$1,489,950,000",$29.80,"50,000,000*","$48,529,700",-0.47%,-5.62%,-0.95%
9,BitConnect,BCC,"$1,389,902,538",$192.78,"7,209,861","$13,063,400",0.39%,-0.36%,15.36%
10,Monero,XMR,"$1,356,164,626",$89.01,"15,236,024","$36,368,300",0.40%,-2.59%,1.40%
11,IOTA,MIOTA,"$1,259,380,155",$0.453091,"2,779,530,283*","$16,830,000",1.45%,-0.45%,-6.22%
12,Ethereum Classic,ETC,"$1,102,317,017",$11.41,"96,589,413","$54,003,200",0.26%,-3.95%,-0.62%
13,OmiseGO,OMG,"$768,896,373",$7.82,"98,312,024*","$20,818,400",-0.91%,-2.50%,-14.52%
14,Qtum,QTUM,"$688,728,686",$11.46,"60,096,916*","$58,474,200",-0.56%,-5.18%,-5.81%
15,Cardano,ADA,"$686,167,700",$0.026465,"25,927,070,538*","$2,417,950",1.53%,-1.97%,18.40%
16,Stellar Lumens,XLM,"$583,829,619",$0.035196,"16,587,812,333*","$76,162,200",4.31%,-20.25%,80.75%
17,Lisk,LSK,"$579,234,688",$5.09,"113,711,660*","$12,208,100",0.20%,0.04%,-5.01%
18,Zcash,ZEC,"$556,159,111",$229.11,"2,427,519","$29,811,500",0.38%,-1.33%,-2.96%
19,Tether,USDT,"$436,942,796",$0.999728,"437,061,677*","$251,756,000",-0.09%,-0.02%,0.05%
20,Waves,WAVES,"$403,691,000",$4.04,"100,000,000*","$6,931,100",0.51%,3.18%,-3.57%
21,Hshare,HSR,"$332,909,949",$9.87,"33,740,622","$13,622,200",0.96%,-7.15%,-0.45%
22,Stratis,STRAT,"$325,406,637",$3.30,"98,587,159*","$14,147,500",0.25%,9.17%,-4.90%
23,Ark,ARK,"$280,873,149",$2.87,"97,981,284*","$1,715,860",-1.50%,1.79%,0.61%
24,Steem,STEEM,"$265,987,480",$1.09,"244,108,073","$1,952,210",-1.03%,3.25%,-0.01%
25,Bytecoin,BCN,"$256,454,159",$0.001399,"183,253,534,612","$1,007,030",1.82%,0.05%,-3.71%
26,Ardor,ARDR,"$227,038,619",$0.227266,"998,999,495*","$1,006,330",1.18%,-5.56%,11.86%
27,EOS,EOS,"$223,218,915",$0.539999,"413,369,126*","$7,580,300",0.25%,-1.73%,-10.02%
28,TenX,PAY,"$207,824,917",$1.99,"104,661,310*","$3,193,900",2.19%,8.35%,-10.23%
29,PIVX,PIVX,"$201,446,736",$3.69,"54,530,249*","$922,737",-1.01%,-2.32%,2.91%
30,Augur,REP,"$200,323,200",$18.21,"11,000,000*","$774,486",0.25%,-2.77%,-2.57%
31,Komodo,KMD,"$189,766,455",$1.88,"100,945,510","$1,670,230",-1.08%,9.30%,1.98%
32,Golem,GNT,"$177,932,303",$0.213596,"833,032,000*","$1,518,340",0.08%,-1.40%,-8.24%
33,Gas,GAS,"$177,645,701",$20.66,"8,597,035*","$728,553",0.75%,-7.36%,-11.63%
34,MaidSafeCoin,MAID,"$174,592,910",$0.385796,"452,552,412*","$1,319,950",0.26%,-3.50%,-3.66%
35,Walton,WTC,"$169,407,950",$6.80,"24,898,178*","$8,270,740",5.86%,12.03%,-0.85%
36,FirstCoin,FRST,"$166,849,005",$13.45,"12,400,981","$1,623,970",0.27%,-0.43%,14.13%
37,Decred,DCR,"$164,089,846",$27.43,"5,983,178","$511,724",0.21%,-4.15%,-1.63%
38,SALT,SALT,"$162,775,130",$2.98,"54,675,000*","$5,078,990",0.81%,-1.45%,-22.06%
39,Basic Attenti...,BAT,"$161,256,000",$0.161256,"1,000,000,000*","$1,855,880",0.44%,-2.19%,-16.72%
40,Kyber Network,KNC,"$156,610,654",$1.17,"134,132,697*","$2,077,850",1.86%,8.93%,-13.81%
41,Metal,MTL,"$151,805,985",$7.87,"19,300,994*","$2,250,790",0.17%,2.88%,4.33%
42,MonaCoin,MONA,"$150,693,976",$2.75,"54,713,650","$3,379,250",-3.94%,-9.58%,108.46%
43,BitShares,BTS,"$147,481,536",$0.056708,"2,600,700,000*","$4,797,340",-0.46%,2.14%,16.27%
44,Factom,FCT,"$142,428,853",$16.29,"8,745,102*","$2,142,620",0.89%,2.14%,-2.23%
45,Veritaseum,VERI,"$139,701,913",$69.30,"2,016,034*","$509,316",0.15%,-3.95%,-13.34%
46,DigixDAO,DGD,"$138,720,600",$69.36,"2,000,000*","$121,257",0.44%,-0.85%,-6.33%
47,Iconomi,ICN,"$137,677,667",$1.38,"99,900,350*","$467,561",-0.54%,-0.53%,-9.22%
48,TRON,TRX,"$134,395,226",$0.002055,"65,394,999,999*","$192,769",-2.11%,6.09%,-16.44%
49,Binance Coin,BNB,"$129,281,000",$1.29,"100,000,000*","$2,217,010",-1.45%,-5.62%,-8.83%
50,ChainLink,LINK,"$126,646,100",$0.361846,"350,000,000*","$5,730,650",0.95%,-5.68%,-18.82%
51,Siacoin,SC,"$124,935,539",$0.004136,"30,203,419,622","$1,285,630",-0.36%,-5.86%,-11.35%
52,Populous,PPT,"$124,796,707",$3.03,"41,252,246*","$303,045",-0.48%,0.13%,-1.67%
53,GameCredits,GAME,"$118,855,969",$1.85,"64,355,352","$759,623",-0.08%,-2.27%,-4.94%
54,Dogecoin,DOGE,"$116,373,849",$0.001043,"111,546,131,963","$2,516,120",0.46%,-2.96%,-0.72%
55,BitcoinDark,BTCD,"$114,368,475",$88.74,"1,288,862","$89,653",1.36%,7.08%,2.27%
56,Civic,CVC,"$113,724,097",$0.334286,"340,200,000*","$1,313,130",0.52%,4.38%,1.12%
57,Metaverse ETP,ETP,"$110,568,240",$4.89,"22,600,000","$12,215,100",0.50%,3.59%,86.61%
58,0x,ZRX,"$109,184,000",$0.218368,"500,000,000*","$3,253,450",-1.21%,-1.25%,7.97%
59,Byteball Bytes,GBYTE,"$102,077,369",$174.82,"583,896*","$246,942",1.41%,0.36%,1.27%
60,Syscoin,SYS,"$99,670,390",$0.188676,"528,262,152","$2,888,720",-2.41%,-9.68%,25.20%
61,Blocknet,BLOCK,"$99,196,634",$20.47,"4,846,828*","$59,356",0.92%,-0.11%,-4.52%
62,Status,SNT,"$94,720,261",$0.027293,"3,470,483,788*","$1,554,790",1.28%,0.43%,4.63%
63,SingularDTV,SNGLS,"$94,327,800",$0.157213,"600,000,000*","$1,260,580",0.81%,5.81%,3.64%
64,FunFair,FUN,"$93,814,000",$0.023453,"4,000,000,000*","$3,227,600",0.13%,-13.29%,-10.00%
65,DigiByte,DGB,"$92,542,000",$0.010586,"8,742,253,657","$3,047,520",-0.78%,3.48%,-8.29%
66,Regalcoin,REC,"$91,330,620",$32.50,"2,810,000","$3,962,750",0.88%,1.56%,-7.64%
67,Bytom,BTM,"$89,834,174",$0.091017,"987,000,000*","$176,418",0.59%,-3.70%,15.44%
68,Gnosis,GNO,"$89,159,081",$80.72,"1,104,590*","$906,183",0.90%,-3.72%,-25.95%
69,Bancor,BNT,"$85,516,611",$2.10,"40,772,871*","$1,514,430",-0.50%,-4.26%,-4.73%
70,ATMChain,ATM,"$84,672,474",$0.030095,"2,813,534,394*","$265,645",-2.13%,-7.19%,15.46%
71,MCAP,MCAP,"$82,554,679",$2.16,"38,295,641*","$476,775",-0.82%,-3.76%,-9.68%
72,Monaco,MCO,"$81,344,704",$8.29,"9,814,875*","$7,790,980",-0.01%,-8.66%,1.72%
73,VeChain,VEN,"$79,793,459",$0.287894,"277,162,633*","$1,141,520",0.58%,29.84%,20.86%
74,Aeternity,AE,"$75,380,725",$0.323494,"233,020,472*","$969,045",0.20%,-17.04%,-7.30%
75,Nexus,NXS,"$75,362,232",$1.42,"53,175,724","$264,545",0.83%,8.21%,-13.77%
76,Vertcoin,VTC,"$70,779,108",$1.75,"40,435,500","$2,568,590",-0.06%,5.28%,36.48%
77,Verge,XVG,"$70,223,731",$0.004971,"14,127,590,354","$1,694,970",-1.23%,2.13%,-13.17%
78,GXShares,GXS,"$68,178,330",$1.68,"40,510,000*","$1,067,630",0.26%,-5.65%,-9.56%
79,Nxt,NXT,"$66,290,639",$0.066357,"998,999,942*","$5,209,850",0.81%,-0.13%,-0.19%
80,Bitdeal,BDL,"$64,660,709",$0.413935,"156,209,812","$181,931",-0.20%,-2.93%,-6.75%
81,Pura,PURA,"$63,435,010",$0.369832,"171,523,855","$219,128",-3.23%,-5.99%,-5.77%
82,NAV Coin,NAV,"$58,725,525",$0.948522,"61,912,665*","$18,347,200",0.89%,46.12%,32.22%
83,Neblio,NEBL,"$56,381,848",$4.52,"12,472,398*","$1,964,730",-0.49%,25.78%,141.34%
84,Kin,KIN,"$53,109,502",$0.000070,"756,097,560,976*","$115,494",1.49%,8.79%,-10.88%
85,Aragon,ANT,"$52,799,248",$1.61,"32,732,352*","$585,708",-0.65%,-7.00%,-6.59%
86,NoLimitCoin,NLC2,"$50,865,134",$0.249359,"203,983,550*","$267,913",-6.11%,34.17%,69.20%
87,Centra,CTR,"$49,658,020",$0.730265,"68,000,000*","$1,887,350",3.56%,-9.59%,-27.19%
88,AirSwap,AST,"$49,566,450",$0.330443,"150,000,000*","$3,413,720",-1.50%,-21.04%,?
89,ATBCoin,ATB,"$49,265,298",$1.28,"38,419,779","$1,246,850",-1.30%,2.46%,41.41%
90,I/O Coin,IOC,"$48,642,818",$2.97,"16,373,643*","$189,641",0.46%,-1.38%,9.68%
91,AdEx,ADX,"$48,531,908",$0.861629,"56,325,759*","$2,779,600",-0.80%,-3.18%,-11.96%
92,Particl,PART,"$47,262,563",$6.10,"7,741,654*","$158,504",-9.68%,3.93%,1.76%
93,Ubiq,UBQ,"$46,532,678",$1.21,"38,414,535","$349,880",-2.61%,4.69%,-11.55%
94,TaaS,TAAS,"$45,962,343",$5.64,"8,146,001*","$283,378",0.47%,1.21%,19.42%
95,Loopring,LRC,"$45,201,529",$0.157953,"286,170,756*","$322,125",0.20%,1.59%,-14.76%
96,Dentacoin,DCN,"$44,641,385",$0.000147,"303,095,254,787*","$34,694",33.65%,15.00%,16.30%
97,Sprouts,SPRTS,"$43,749,700",$0.000055,"796,665,816,531*","$2,361",0.57%,54.18%,22.28%
98,Edgeless,EDG,"$43,207,462",$0.526623,"82,046,288*","$448,202",0.04%,1.90%,-14.91%
99,Melon,MLN,"$41,953,325",$69.99,"599,400*","$336,061",1.11%,-3.52%,-4.97%
100,Bitquence,BQX,"$41,738,138",$0.582626,"71,637,960*","$371,927",1.10%,4.84%,-8.53%
101,Wings,WINGS,"$40,234,636",$0.448505,"89,708,333*","$267,048",0.33%,0.78%,-16.77%
102,ZCoin,XZC,"$39,279,174",$12.13,"3,238,558","$3,246,570",0.16%,26.84%,15.72%
103,Storj,STORJ,"$38,785,867",$0.390279,"99,379,847*","$381,677",0.37%,0.21%,-1.67%
104,MobileGo,MGO,"$37,806,997",$0.385672,"98,028,887*","$259,051",0.44%,-3.69%,-17.59%
105,SONM,SNM,"$37,761,596",$0.105010,"359,600,000*","$1,164,740",-2.09%,10.59%,-22.20%
106,FairCoin,FAIR,"$36,958,010",$0.694780,"53,193,831*","$160,205",-3.47%,11.95%,2.45%
107,SmartCash,SMART,"$36,816,049",$0.052404,"702,541,388*","$90,250",-2.49%,25.61%,136.58%
108,iExec RLC,RLC,"$36,453,375",$0.461022,"79,070,793*","$145,972",0.66%,1.39%,-12.77%
