Numero,Nom,Simbol,Cap de mercat,Preu,Oferta circulant,Volum 24 hores,% 1h,% 2h,% 7d
1,BTCBitcoin,BTC,"$118,780,845,247",$7129.43,"16,660,637","$4,611,410,000",0.40%,7.42%,20.39%
2,ETHEthereum,ETH,"$27,435,703,893",$287.33,"95,484,331","$891,962,000",-0.76%,-3.03%,-3.25%
3,BCHBitcoin Cash,BCH,"$10,040,495,952",$599.30,"16,753,650","$1,706,520,000",2.16%,16.71%,76.65%
4,XRPRipple,XRP,"$7,516,116,108",$0.195064,"38,531,538,922*","$165,667,000",0.50%,-0.12%,-4.20%
5,LTCLitecoin,LTC,"$2,902,044,973",$54.09,"53,651,657","$197,417,000",-0.27%,-0.47%,-3.00%
6,DASHDash,DASH,"$2,035,114,268",$265.72,"7,658,983","$72,668,700",0.29%,-2.49%,-6.88%
7,BCCBitConnect,BCC,"$1,952,284,959",$265.36,"7,357,118","$24,211,000",0.47%,7.65%,22.06%
8,NEONEO,NEO,"$1,623,524,500",$24.98,"65,000,000*","$76,454,600",-0.67%,-7.68%,-11.70%
9,XEMNEM,XEM,"$1,491,012,000",$0.165668,"8,999,999,999*","$9,201,570",-2.91%,-2.24%,-16.94%
10,XMRMonero,XMR,"$1,293,156,052",$84.51,"15,301,123","$49,799,800",-0.11%,-1.02%,-4.44%
11,MIOTAIOTA,MIOTA,"$1,032,064,610",$0.371309,"2,779,530,283*","$21,030,300",2.01%,-0.17%,-11.77%
12,ETCEthereum Classic,ETC,"$980,712,855",$10.10,"97,062,803","$39,679,000",-0.10%,-3.05%,-3.94%
13,QTUMQtum,QTUM,"$701,769,129",$9.53,"73,632,640*","$54,001,900",-0.83%,-6.52%,-9.61%
14,OMGOmiseGO,OMG,"$630,264,622",$6.41,"98,312,024*","$57,336,100",-1.93%,1.44%,-15.73%
15,ADACardano,ADA,"$585,884,384",$0.022597,"25,927,070,538*","$6,271,970",-1.56%,-10.43%,-16.27%
16,ZECZcash,ZEC,"$552,295,693",$217.89,"2,534,769","$51,770,000",-0.35%,-2.48%,-5.48%
17,EOSEOS,EOS,"$511,211,625",$1.15,"444,188,085*","$75,541,100",0.64%,3.87%,121.38%
18,LSKLisk,LSK,"$496,375,283",$4.34,"114,359,010*","$14,399,200",0.71%,-4.67%,-14.84%
19,XLMStellar Lumens,XLM,"$454,274,889",$0.027385,"16,588,214,481*","$35,270,100",-1.09%,-0.58%,-21.38%
20,USDTTether,USDT,"$452,305,781",$1.00,"452,061,667*","$435,314,000",-0.15%,0.19%,-0.06%
21,HSRHshare,HSR,"$331,091,181",$9.81,"33,767,173","$25,580,000",0.26%,-2.78%,-0.70%
22,WAVESWaves,WAVES,"$308,054,000",$3.08,"100,000,000*","$12,036,600",-2.45%,1.32%,-14.83%
23,STRATStratis,STRAT,"$273,529,648",$2.77,"98,606,553*","$21,012,500",-3.03%,-11.75%,-36.16%
24,KMDKomodo,KMD,"$244,646,491",$2.42,"100,945,510","$4,819,730",4.73%,15.99%,33.38%
25,ARDRArdor,ARDR,"$234,239,408",$0.234474,"998,999,495*","$1,441,130",8.34%,14.84%,20.60%
26,BCNBytecoin,BCN,"$224,351,805",$0.001224,"183,253,534,612","$4,243,560",-3.83%,-15.81%,-10.11%
27,ARKArk,ARK,"$208,626,649",$2.13,"97,981,284*","$4,536,230",-5.04%,-0.82%,-16.39%
28,STEEMSteem,STEEM,"$208,292,936",$0.848790,"245,399,847","$1,444,200",0.10%,-3.25%,-12.09%
29,GNTGolem,GNT,"$184,412,459",$0.221375,"833,032,000*","$7,475,920",0.77%,-3.96%,13.09%
30,REPAugur,REP,"$178,241,800",$16.20,"11,000,000*","$1,515,810",-0.49%,-5.20%,-9.25%
31,PIVXPIVX,PIVX,"$171,496,384",$3.14,"54,622,771*","$1,664,110",2.07%,15.51%,-5.27%
32,PAYTenX,PAY,"$160,703,255",$1.54,"104,661,310*","$3,241,180",0.49%,-1.35%,-14.14%
33,VTCVertcoin,VTC,"$153,544,662",$3.76,"40,875,700","$38,525,300",-2.98%,-16.71%,2.17%
34,DCRDecred,DCR,"$152,594,085",$25.09,"6,082,111","$1,098,250",-1.35%,-6.26%,-16.98%
35,TRXTRON,TRX,"$152,204,954",$0.002323,"65,528,192,465*","$1,436,950",1.68%,-8.43%,-15.30%
36,BATBasic Attenti...,BAT,"$150,927,000",$0.150927,"1,000,000,000*","$3,503,560",1.76%,3.95%,2.54%
37,GASGas,GAS,"$150,413,731",$17.50,"8,597,035*","$1,428,060",13.31%,6.87%,-6.67%
38,BTSBitShares,BTS,"$149,060,111",$0.057301,"2,601,330,000*","$9,699,140",-0.13%,-14.83%,9.12%
39,MONAMonaCoin,MONA,"$147,159,714",$2.67,"55,055,375","$5,813,240",-0.60%,-4.82%,-22.71%
40,MAIDMaidSafeCoin,MAID,"$145,402,375",$0.321294,"452,552,412*","$4,714,630",1.20%,-12.57%,-7.22%
41,PPTPopulous,PPT,"$138,645,499",$3.36,"41,252,246*","$385,196",-2.77%,-5.52%,-10.31%
42,BTCDBitcoinDark,BTCD,"$137,753,590",$106.88,"1,288,862","$190,906",2.46%,13.59%,28.24%
43,KNCKyber Network,KNC,"$128,994,342",$0.961692,"134,132,697*","$2,809,180",0.92%,-1.36%,-7.77%
44,BNBBinance Coin,BNB,"$128,845,928",$1.30,"99,014,000*","$3,548,620",-0.60%,3.84%,8.86%
45,GBYTEByteball Bytes,GBYTE,"$128,301,912",$219.73,"583,896*","$998,832",-0.09%,0.47%,9.89%
46,DOGEDogecoin,DOGE,"$127,111,790",$0.001137,"111,755,471,159","$5,480,870",-0.98%,1.66%,7.59%
47,DGDDigixDAO,DGD,"$123,059,600",$61.53,"2,000,000*","$305,243",-0.48%,6.20%,3.25%
48,SYSSyscoin,SYS,"$118,338,150",$0.223871,"528,599,728","$6,331,890",7.72%,4.00%,-0.09%
49,WTCWalton,WTC,"$112,949,340",$4.54,"24,898,178*","$14,162,400",-1.45%,-13.57%,-33.88%
50,SNTStatus,SNT,"$111,914,773",$0.032248,"3,470,483,788*","$8,596,370",-1.70%,-27.29%,8.41%
51,SALTSALT,SALT,"$111,702,294",$2.39,"46,751,837*","$4,121,160",0.59%,3.23%,-21.15%
52,VERIVeritaseum,VERI,"$109,419,015",$54.01,"2,026,045*","$314,971",-6.14%,9.77%,-1.18%
53,SCSiacoin,SC,"$105,069,996",$0.003438,"30,561,282,855","$2,938,280",-3.69%,-4.86%,-8.75%
54,GAMEGameCredits,GAME,"$103,862,459",$1.61,"64,355,352","$1,577,070",0.16%,-5.88%,-21.93%
55,FCTFactom,FCT,"$102,484,725",$11.72,"8,745,102*","$6,942,010",0.16%,-10.57%,-21.65%
56,CVCCivic,CVC,"$97,777,451",$0.285315,"342,700,000*","$3,046,110",1.53%,-8.76%,-6.92%
57,ICNIconomi,ICN,"$96,665,040",$0.968701,"99,788,314*","$698,717",-0.72%,0.14%,-19.96%
58,MTLMetal,MTL,"$95,995,231",$4.97,"19,300,994*","$6,286,200",1.28%,-6.74%,-42.64%
59,BTMBytom,BTM,"$88,320,215",$0.089483,"987,000,000*","$556,159",0.22%,5.28%,20.20%
60,XVGVerge,XVG,"$86,553,856",$0.006101,"14,186,040,471","$5,152,640",-0.07%,-5.35%,17.73%
61,BLOCKBlocknet,BLOCK,"$85,387,499",$17.54,"4,868,186*","$607,712",-1.79%,5.15%,-12.19%
62,ZRX0x,ZRX,"$84,628,000",$0.169256,"500,000,000*","$2,426,220",-2.97%,-5.26%,-13.64%
63,GXSGXShares,GXS,"$82,607,587",$2.04,"40,510,000*","$2,963,190",0.75%,10.05%,14.23%
64,PURAPura,PURA,"$74,107,609",$0.431684,"171,670,966","$261,047",3.79%,5.23%,-0.71%
