Numero,Nom,Simbol,Cap de mercat,Preu,Oferta circulant,Volum 24 hores,% 1h,% 2h,% 7d
1,Bitcoin,BTC,"$91,602,642,817",$5509.83,"16,625,312","$1,867,780,000",-0.20%,-3.59%,20.11%
2,Ethereum,ETH,"$31,413,927,586",$330.25,"95,121,946","$644,884,000",0.12%,-4.26%,6.58%
3,Ripple,XRP,"$10,214,479,779",$0.265094,"38,531,538,922*","$267,361,000",0.00%,1.09%,-0.09%
4,Bitcoin Cash,BCH,"$5,229,563,761",$313.12,"16,701,575","$134,959,000",0.58%,-2.80%,-9.76%
5,Litecoin,LTC,"$3,395,361,936",$63.60,"53,390,307","$427,464,000",-0.58%,-1.53%,18.82%
6,Dash,DASH,"$2,316,786,461",$303.91,"7,623,365","$44,110,600",0.75%,-4.15%,-0.26%
7,NEM,XEM,"$1,831,608,000",$0.203512,"8,999,999,999*","$2,811,600",0.44%,-2.39%,2.59%
8,Monero,XMR,"$1,415,649,509",$93.00,"15,222,692","$41,709,500",0.66%,-4.00%,3.25%
9,NEO,NEO,"$1,365,040,000",$27.30,"50,000,000*","$31,326,200",0.56%,-2.48%,-16.01%
10,BitConnect,BCC,"$1,354,951,907",$188.76,"7,178,021","$9,203,570",0.46%,-2.87%,27.85%
11,IOTA,MIOTA,"$1,191,000,931",$0.428490,"2,779,530,283*","$8,214,090",1.03%,-7.19%,-15.48%
12,Ethereum Classic,ETC,"$1,145,282,693",$11.87,"96,494,426","$51,640,800",0.06%,-3.62%,-2.69%
13,OmiseGO,OMG,"$798,379,166",$8.12,"98,312,024*","$23,878,000",-0.77%,0.33%,2.50%
14,Cardano,ADA,"$786,191,745",$0.030323,"25,927,070,538*","$7,579,120",-0.12%,-10.15%,41.91%
15,Qtum,QTUM,"$606,862,200",$10.29,"59,000,000*","$21,625,600",0.20%,-3.90%,-10.70%
16,Zcash,ZEC,"$552,194,799",$229.54,"2,405,669","$24,819,000",0.24%,-4.25%,-6.16%
17,Lisk,LSK,"$541,134,031",$4.76,"113,580,300*","$9,008,580",-0.93%,1.83%,0.57%
18,Tether,USDT,"$436,884,230",$0.999594,"437,061,677*","$204,212,000",0.00%,0.06%,0.02%
19,Hshare,HSR,"$392,933,735",$11.65,"33,728,218","$19,491,200",-0.22%,-3.07%,62.73%
20,Waves,WAVES,"$372,525,000",$3.73,"100,000,000*","$4,213,430",0.67%,-5.82%,-18.74%
21,Stellar Lumens,XLM,"$312,468,122",$0.018837,"16,587,645,975*","$8,853,800",1.89%,2.74%,-0.68%
22,Stratis,STRAT,"$290,403,513",$2.95,"98,583,227*","$6,270,210",-0.63%,4.38%,-19.84%
23,Ark,ARK,"$272,313,504",$2.78,"97,981,284*","$2,013,310",-0.51%,-9.29%,21.62%
24,Steem,STEEM,"$258,103,414",$1.06,"243,944,854","$805,016",2.22%,-1.98%,-7.20%
25,Ardor,ARDR,"$255,518,097",$0.255774,"998,999,495*","$2,707,460",1.03%,-2.19%,47.35%
26,Bytecoin,BCN,"$250,674,343",$0.001368,"183,253,534,612","$806,704",-0.19%,-4.18%,4.84%
27,EOS,EOS,"$231,768,657",$0.570008,"406,605,973*","$6,717,100",-1.41%,-4.37%,-4.07%
28,PIVX,PIVX,"$211,937,502",$3.89,"54,489,092*","$1,085,030",-0.15%,2.29%,13.77%
29,TenX,PAY,"$207,077,635",$1.98,"104,661,310*","$1,773,140",2.28%,3.33%,3.18%
30,Augur,REP,"$198,378,400",$18.03,"11,000,000*","$500,927",-0.17%,-4.09%,-6.81%
31,Gas,GAS,"$183,442,410",$21.36,"8,587,605*","$618,882",-0.13%,-5.40%,-12.65%
32,MaidSafeCoin,MAID,"$180,948,104",$0.399839,"452,552,412*","$2,139,440",0.00%,2.89%,-7.10%
33,Komodo,KMD,"$178,285,922",$1.77,"100,945,510","$561,769",1.19%,0.46%,-3.31%
34,MonaCoin,MONA,"$171,171,707",$3.13,"54,644,150","$17,310,000",-2.17%,-24.21%,369.72%
35,FirstCoin,FRST,"$165,774,862",$13.45,"12,324,352","$2,334,700",0.80%,-6.55%,18.60%
36,Golem,GNT,"$165,456,816",$0.198620,"833,032,000*","$1,252,160",0.49%,-7.09%,-4.09%
37,Decred,DCR,"$160,015,363",$26.84,"5,962,002","$481,559",0.27%,-7.19%,-4.45%
38,Basic Attenti...,BAT,"$159,832,000",$0.159832,"1,000,000,000*","$1,860,370",1.09%,-8.78%,-17.70%
39,Kyber Network,KNC,"$156,745,062",$1.14,"137,995,600*","$1,438,380",-0.74%,-6.84%,-28.79%
40,SALT,SALT,"$155,896,468",$2.85,"54,675,000*","$1,320,880",2.37%,-4.12%,-18.99%
41,Veritaseum,VERI,"$153,732,706",$76.25,"2,016,034*","$228,649",0.51%,-11.58%,32.18%
42,Binance Coin,BNB,"$152,055,000",$1.52,"100,000,000*","$5,878,100",0.05%,2.91%,12.75%
43,Walton,WTC,"$146,823,560",$5.90,"24,898,178*","$17,999,500",0.58%,-4.70%,-19.18%
44,TRON,TRX,"$145,039,570",$0.002218,"65,394,999,999*","$112,200",0.42%,-6.10%,-16.34%
45,Iconomi,ICN,"$144,407,954",$1.45,"99,900,350*","$573,421",0.36%,-9.31%,-7.85%
46,Factom,FCT,"$143,949,626",$16.46,"8,745,102*","$2,579,340",0.39%,1.75%,-5.19%
47,ChainLink,LINK,"$141,851,500",$0.405290,"350,000,000*","$5,361,400",1.39%,-1.88%,-2.67%
48,Populous,PPT,"$137,336,152",$3.33,"41,252,246*","$168,960",0.78%,5.37%,28.80%
49,Metal,MTL,"$137,283,531",$7.11,"19,300,994*","$786,457",1.13%,-3.67%,10.48%
50,DigixDAO,DGD,"$131,791,600",$65.90,"2,000,000*","$176,912",0.01%,-7.54%,-11.38%
51,BitShares,BTS,"$130,161,149",$0.050051,"2,600,560,000*","$2,455,700",-0.34%,-1.13%,-8.05%
52,GameCredits,GAME,"$128,083,883",$1.99,"64,355,352","$2,606,500",2.91%,12.88%,-2.29%
53,Dogecoin,DOGE,"$125,023,299",$0.001121,"111,504,494,337","$2,019,310",0.27%,3.68%,7.30%
54,Siacoin,SC,"$124,567,329",$0.004134,"30,129,700,260","$1,145,180",3.01%,-1.29%,-1.90%
55,Metaverse ETP,ETP,"$113,197,750",$5.01,"22,600,000","$29,426,100",0.60%,39.63%,268.99%
56,BitcoinDark,BTCD,"$109,876,790",$85.25,"1,288,862","$235,353",1.66%,0.43%,-0.73%
57,Civic,CVC,"$108,681,313",$0.319463,"340,200,000*","$839,277",1.51%,-3.34%,5.81%
58,Blocknet,BLOCK,"$106,728,657",$22.04,"4,842,498*","$111,266",0.50%,-4.51%,-1.48%
59,Byteball Bytes,GBYTE,"$105,165,014",$180.11,"583,896*","$281,718",2.97%,-3.80%,14.28%
60,Lykke,LKK,"$103,133,364",$0.383329,"269,046,599*","$248,217",0.16%,-3.33%,15.91%
61,Status,SNT,"$98,520,094",$0.028388,"3,470,483,788*","$1,559,620",1.49%,6.23%,15.90%
62,0x,ZRX,"$95,811,500",$0.191623,"500,000,000*","$1,900,930",-0.26%,-2.13%,0.57%
63,Bytom,BTM,"$94,234,121",$0.095475,"987,000,000*","$113,478",0.40%,-6.71%,17.66%
64,Bancor,BNT,"$94,228,550",$2.31,"40,772,871*","$792,589",1.11%,-4.23%,1.25%
65,FunFair,FUN,"$92,419,200",$0.023105,"4,000,000,000*","$443,208",-1.36%,-1.50%,-6.00%
66,Gnosis,GNO,"$91,757,408",$83.07,"1,104,590*","$625,715",-0.13%,-12.29%,-27.27%
67,SingularDTV,SNGLS,"$87,781,200",$0.146302,"600,000,000*","$876,311",0.13%,-5.38%,-2.43%
68,MCAP,MCAP,"$86,371,223",$2.26,"38,295,641*","$376,153",0.97%,-2.31%,-13.86%
69,Regalcoin,REC,"$81,069,062",$28.85,"2,810,000","$2,737,290",0.78%,-7.37%,112.83%
70,ATMChain,ATM,"$79,278,643",$0.033013,"2,401,437,109*","$245,672",-3.04%,10.88%,29.20%
71,Syscoin,SYS,"$78,961,834",$0.149493,"528,197,532","$385,895",0.17%,-6.45%,10.97%
72,DigiByte,DGB,"$78,554,657",$0.008986,"8,742,253,657","$1,997,290",0.84%,-6.79%,-27.18%
73,Verge,XVG,"$76,953,499",$0.005452,"14,115,763,989","$3,237,320",1.84%,3.84%,-4.61%
74,Nexus,NXS,"$76,459,531",$1.44,"53,107,592","$272,210",-0.34%,-10.28%,5.57%
75,Aeternity,AE,"$72,326,292",$0.310386,"233,020,472*","$317,799",-0.15%,-4.56%,-20.31%
76,Pura,PURA,"$70,881,293",$0.413322,"171,491,701","$156,202",0.15%,-7.20%,-18.88%
77,Monaco,MCO,"$70,581,221",$7.19,"9,814,875*","$1,903,370",0.87%,-2.62%,1.29%
78,Bitdeal,BDL,"$69,036,770",$0.441949,"156,209,812","$83,809",0.13%,-5.79%,23.66%
79,Nxt,NXT,"$65,583,747",$0.065649,"998,999,942*","$3,630,640",-0.17%,-3.59%,-6.17%
80,GXShares,GXS,"$65,139,675",$1.61,"40,510,000*","$77,711",0.10%,-9.04%,-14.18%
81,VeChain,VEN,"$60,816,236",$0.218207,"278,708,913*","$415,428",-2.31%,-7.16%,-17.59%
82,Centra,CTR,"$58,687,468",$0.863051,"68,000,000*","$776,387",-0.67%,-3.84%,-24.34%
83,Vertcoin,VTC,"$55,458,942",$1.37,"40,346,100","$1,895,800",-1.08%,1.28%,17.20%
84,Kin,KIN,"$52,720,339",$0.000070,"756,097,560,976*","$92,500",-1.04%,-1.99%,-16.76%
85,Aragon,ANT,"$52,360,439",$1.59,"32,832,390*","$362,258",-0.31%,-5.09%,-6.52%
86,Loopring,LRC,"$49,102,037",$0.171583,"286,170,756*","$312,812",1.52%,-5.90%,-3.72%
87,AdEx,ADX,"$48,399,767",$0.859283,"56,325,759*","$2,525,220",0.47%,-2.65%,-13.50%
88,I/O Coin,IOC,"$47,792,129",$2.92,"16,372,999*","$92,863",0.87%,-4.83%,-0.30%
89,Enigma,ENG,"$47,603,812",$0.636107,"74,836,171*","$1,522,600",0.63%,-10.47%,?
90,Particl,PART,"$46,417,815",$6.00,"7,738,250*","$152,858",-0.30%,-4.06%,3.37%
91,TaaS,TAAS,"$43,639,348",$5.36,"8,146,001*","$290,522",0.17%,-3.26%,21.47%
92,Ubiq,UBQ,"$43,200,040",$1.13,"38,367,636","$213,364",-0.99%,-4.00%,-17.21%
93,Melon,MLN,"$42,720,916",$71.27,"599,400*","$230,849",0.44%,-2.74%,3.16%
94,Sprouts,SPRTS,"$42,558,282",$0.000055,"772,412,052,512*","$3,226",0.16%,71.99%,1037.95%
95,Bitquence,BQX,"$42,232,225",$0.589523,"71,637,960*","$565,928",2.32%,-1.23%,15.86%
96,NAV Coin,NAV,"$40,131,853",$0.648364,"61,897,102*","$300,843",1.78%,0.28%,2.61%
97,Edgeless,EDG,"$39,755,119",$0.484545,"82,046,288*","$547,429",-0.03%,-5.25%,-15.46%
98,ATBCoin,ATB,"$39,530,564",$1.03,"38,320,405","$745,481",2.59%,-2.48%,8.83%
99,Wings,WINGS,"$39,355,943",$0.438710,"89,708,333*","$269,728",-0.10%,-8.25%,-12.35%
100,MobileGo,MGO,"$38,896,098",$0.396782,"98,028,887*","$168,207",-3.89%,2.97%,-27.54%
101,iExec RLC,RLC,"$38,023,247",$0.480876,"79,070,793*","$146,881",4.81%,-5.83%,-5.23%
102,Storj,STORJ,"$36,767,451",$0.370047,"99,358,868*","$150,701",0.46%,-6.65%,2.00%
103,Gulden,NLG,"$36,662,833",$0.103425,"354,487,145","$291,110",0.15%,5.70%,-7.91%
104,SONM,SNM,"$36,619,866",$0.101835,"359,600,000*","$711,434",-0.01%,-8.07%,-24.83%
105,NoLimitCoin,NLC2,"$35,881,394",$0.175934,"203,948,036*","$29,921",2.38%,-1.45%,18.75%
106,FairCoin,FAIR,"$33,625,098",$0.632124,"53,193,831*","$123,848",1.18%,4.11%,-8.15%
107,Dentacoin,DCN,"$33,442,015",$0.000110,"303,095,254,787*","$48,916",-0.25%,-16.74%,-7.72%
108,Decentraland,MANA,"$32,226,621",$0.014173,"2,273,755,650*","$3,511,530",-4.08%,-35.78%,4.17%
109,ReddCoin,RDD,"$31,593,640",$0.001103,"28,643,112,608*","$778,620",-1.90%,1.62%,8.11%
110,Moeda Loyalty...,MDA,"$31,568,159",$1.61,"19,628,888*","$412,338",2.25%,-7.99%,-31.96%
111,Rise,RISE,"$31,489,807",$0.278328,"113,139,200*","$437,474",-1.08%,-7.90%,-0.02%
112,district0x,DNT,"$31,130,160",$0.051884,"600,000,000*","$6,312,940",3.49%,33.49%,28.30%
113,Peercoin,PPC,"$30,975,072",$1.27,"24,384,828","$569,978",0.48%,-2.87%,-3.52%
114,Quantum Resis...,QRL,"$30,527,692",$0.587071,"52,000,000*","$182,975",0.15%,-0.85%,10.33%
115,ZCoin,XZC,"$30,511,215",$9.48,"3,218,955","$283,732",0.19%,-1.37%,-1.97%
116,CloakCoin,CLOAK,"$29,639,725",$5.79,"5,116,349*","$204,579",0.68%,-9.21%,6.68%
117,KickCoin,KICK,"$29,352,636",$0.091402,"321,137,782*","$962,378",0.08%,-14.95%,0.80%
