Numero,Nom,Simbol,Cap de mercat,Preu,Oferta circulant,Volum 24 hores,% 1h,% 2h,% 7d
1,BTCBitcoin,BTC,"$92,751,861,495",$5572.18,"16,645,525","$2,125,650,000",-1.22%,-2.23%,4.26%
2,ETHEthereum,ETH,"$28,138,857,369",$295.23,"95,311,969","$417,952,000",-1.53%,-4.59%,-2.38%
3,XRPRipple,XRP,"$7,854,114,768",$0.203836,"38,531,538,922*","$140,160,000",-0.96%,-2.30%,-9.66%
4,BCHBitcoin Cash,BCH,"$5,444,763,416",$325.80,"16,712,238","$191,329,000",-1.35%,-2.00%,-3.64%
5,LTCLitecoin,LTC,"$2,946,475,312",$55.05,"53,528,482","$136,937,000",-1.50%,-5.50%,-2.24%
6,DASHDash,DASH,"$2,204,448,202",$288.46,"7,642,234","$46,311,100",-1.06%,-2.37%,0.44%
7,XEMNEM,XEM,"$1,854,648,000",$0.206072,"8,999,999,999*","$4,121,060",-3.23%,-2.78%,-1.69%
8,NEONEO,NEO,"$1,460,165,000",$29.20,"50,000,000*","$52,246,000",-1.19%,-5.07%,-1.09%
9,BCCBitConnect,BCC,"$1,435,868,997",$196.79,"7,296,379","$14,522,100",-1.09%,-0.55%,6.20%
10,XMRMonero,XMR,"$1,324,249,963",$86.75,"15,264,760","$26,699,800",-1.03%,-3.48%,-2.37%
11,MIOTAIOTA,MIOTA,"$1,207,366,805",$0.434378,"2,779,530,283*","$34,963,300",-2.40%,0.12%,-5.23%
12,ETCEthereum Classic,ETC,"$1,011,510,989",$10.45,"96,795,310","$23,989,300",-1.15%,-4.29%,-7.58%
13,QTUMQtum,QTUM,"$784,083,416",$10.65,"73,612,488*","$61,119,300",-0.48%,-3.77%,-5.35%
14,OMGOmiseGO,OMG,"$752,915,754",$7.66,"98,312,024*","$28,906,000",-0.66%,-10.10%,-1.91%
15,ADACardano,ADA,"$707,604,202",$0.027292,"25,927,070,538*","$3,339,900",-0.79%,-1.23%,7.63%
16,XLMStellar Lumens,XLM,"$578,212,499",$0.034857,"16,587,941,140*","$58,486,900",-0.95%,-8.67%,-4.39%
17,LSKLisk,LSK,"$572,995,905",$5.03,"113,993,420*","$14,901,900",-2.92%,-4.37%,2.32%
18,ZECZcash,ZEC,"$516,466,529",$208.75,"2,474,044","$31,129,900",-1.43%,-4.42%,-7.35%
19,USDTTether,USDT,"$438,118,855",$1.00,"437,061,167*","$192,350,000",0.08%,-0.05%,0.02%
20,STRATStratis,STRAT,"$387,315,061",$3.93,"98,595,598*","$11,949,500",-1.83%,2.27%,26.57%
21,WAVESWaves,WAVES,"$353,627,000",$3.54,"100,000,000*","$7,603,040",-2.97%,-9.30%,-6.34%
22,HSRHshare,HSR,"$336,733,676",$9.97,"33,767,173","$14,937,900",-0.58%,-2.71%,2.55%
23,ARKArk,ARK,"$259,759,162",$2.65,"97,981,284*","$1,880,140",-0.39%,-9.41%,-0.44%
24,BCNBytecoin,BCN,"$249,767,238",$0.001363,"183,253,534,612","$3,508,790",-1.22%,-7.64%,2.53%
25,STEEMSteem,STEEM,"$238,282,634",$0.973537,"244,759,710","$878,214",-1.25%,-4.54%,-4.05%
26,EOSEOS,EOS,"$215,844,245",$0.507041,"425,693,870*","$5,849,100",-1.86%,-3.86%,-4.53%
27,MONAMonaCoin,MONA,"$210,324,171",$3.83,"54,862,500","$14,321,900",-2.11%,23.43%,46.39%
28,ARDRArdor,ARDR,"$200,232,466",$0.200433,"998,999,495*","$665,347",-1.30%,-6.19%,-11.30%
29,REPAugur,REP,"$193,175,400",$17.56,"11,000,000*","$1,093,190",-0.34%,2.59%,-3.27%
30,PAYTenX,PAY,"$188,745,160",$1.80,"104,661,310*","$2,361,830",-0.53%,-6.58%,-5.00%
31,TRXTRON,TRX,"$188,558,162",$0.002882,"65,428,192,465*","$377,807",-1.46%,13.96%,46.70%
