Nom,Preu,Estat,Var. per cent,Var. en euros,Volum en euros,Capitalizacio (milions euros),Per,Rent./Div,Hora
ABERTIS,"18,45",baixada,"-0,38%","-0,07","38.168.978,63","18.302,25","19,35","4,15%",17:38
ACCIONA,"68,62",baixada,"-0,15%","-0,10","7.015.681,87","3.928,01","16,36","4,26%",17:38
ACERINOX,"12,04",baixada,"-0,21%","-0,03","12.769.940,81","3.334,90","16,22","3,73%",17:38
ACS,"34,34",pujada,"+0,44%","0,15","12.021.658,86","10.811,88","14,12","3,52%",17:38
AENA,"160,65",pujada,"+0,47%","0,75","23.768.693,80","24.210,00","19,91","2,55%",17:38
AMADEUS,"60,20",pujada,"+2,40%","1,41","59.375.260,70","26.346,90","25,34","1,79%",17:38
ARCELORMITTAL,"25,41",baixada,"-0,41%","-0,11","10.148.891,36","26.099,42","0,00","0,00%",17:38
BANKIA,"3,97",baixada,"-0,82%","-0,03","23.278.817,77","11.410,79","13,82","3,19%",17:38
BANKINTER,"7,76",baixada,"-0,36%","-0,03","14.516.813,27","6.945,54","14,69","3,34%",17:38
BBVA,"7,26",baixada,"-0,94%","-0,07","110.375.372,67","48.375,52","11,55","3,55%",17:38
CAIXABANK,"3,97",baixada,"-0,18%","-0,01","50.231.758,76","23.710,42","13,13","3,55%",17:38
CELLNEX TELECOM,"21,37",pujada,"+0,83%","0,18","7.824.098,51","4.936,01","71,83","0,47%",17:38
DIA,"4,07",baixada,"-0,15%","-0,01","14.190.224,85","2.533,40","10,73","4,91%",17:38
ENAGAS,"24,17",baixada,"-0,29%","-0,07","12.369.545,82","5.757,08","12,29","6,02%",17:38
ENDESA,"19,41",baixada,"-0,23%","-0,05","22.698.959,09","20.560,97","15,06","6,80%",17:38
FERROVIAL,"18,57",pujada,"+0,38%","0,07","15.948.469,03","13.729,18","33,90","3,17%",17:38
GAMESA,"11,97",pujada,"+0,21%","0,03","28.818.479,95","8.051,11","14,34","1,34%",17:38
GAS NATURAL,"18,11",baixada,"-0,19%","-0,04","21.964.463,76","18.102,47","14,17","5,51%",17:38
GRIFOLS,"26,40",baixada,"-1,22%","-0,33","16.128.284,94","11.330,79","26,74","1,31%",17:38
IAG (IBERIA),"7,01",baixada,"-0,06%","-0,00","15.214.343,51","14.941,59","6,94","3,85%",17:38
IBERDROLA,"6,88",pujada,"+0,29%","0,02","70.713.311,65","43.527,68","16,05","4,81%",17:38
INDITEX,"30,89",baixada,"-0,85%","-0,27","49.340.388,73","96.382,46","28,32","2,38%",17:38
INDRA,"11,91",baixada,"-1,16%","-0,14","6.661.064,66","2.093,35","17,71","0,00%",17:38
INM. COLONIAL,"7,97",baixada,"-0,30%","-0,02","6.495.031,55","3.131,91","34,77","2,46%",17:38
MAPFRE,"2,72",baixada,"-0,55%","-0,02","12.813.828,69","8.388,70","12,76","5,30%",17:38
MEDIASET,"8,927",pujada,"+0,26%","0,023","6.961.648,80","3.008,23","15,35","6,18%",17:38
MELIA HOTELS INTL,"11,60",pujada,"+0,69%","0,08","5.078.901,71","2.650,74","22,05","1,24%",17:38
MERLIN PROP.,"11,00",baixada,"-0,81%","-0,09","10.087.138,85","5.174,52","19,12","4,15%",17:38
REE,"18,21",baixada,"-0,25%","-0,05","12.376.244,02","9.853,07","14,72","5,04%",17:38
REPSOL,"15,83",baixada,"-0,53%","-0,09","83.790.571,08","24.209,23","11,17","5,03%",17:38
SABADELL,"1,67",baixada,"-1,13%","-0,02","22.405.924,43","9.413,91","12,05","3,56%",17:38
SANTANDER,"5,64",baixada,"-1,23%","-0,07","161.621.857,70","90.661,32","12,42","3,75%",17:38
TECNICAS REUNIDAS,"28,14",pujada,"+1,41%","0,39","12.599.615,08","1.565,09","11,23","5,03%",17:38
TELEFONICA,"8,83",baixada,"-0,66%","-0,06","86.758.451,57","44.423,36","12,35","4,50%",17:38
VISCOFAN,"51,26",baixada,"-0,39%","-0,20","2.755.430,44","2.388,44","19,24","2,84%",17:38
