Nom,Preu,Estat,Var. per cent,Var. en euros,Volum en euros,Capitalizacio (milions euros),Per,Rent./Div,Hora
SOLARIA ENERGIA,"1,43",baixada,"-1,04%","-0,02","356.991,39","156,19","22,80","0,00%",3/11
SOTOGRANDE,"3,08",pujada,"+1,99%","0,06","29.260,00","136,53","0,00","0,00%",3/11
SPS,"0,96",pujada,"+0,00%","0,00","54.079,26","52,65","0,00","0,00%",3/11
TALGO,"4,37",baixada,"-0,34%","-0,02","1.471.524,54","595,55","10,17","1,76%",3/11
TECNICAS REUNIDAS,"27,75",baixada,"-0,84%","-0,24","9.734.837,56","1.551,95","10,88","5,28%",3/11
TECNOCOM TEL ENERG,"4,75",pujada,"+0,00%","0,00","0,00","393,94","27,94","1,81%",19/05
TELEFONICA,"8,89",baixada,"-1,54%","-0,14","155.830.384,63","44.715,56","12,07","4,60%",3/11
TELEPIZZA GROUP,"4,93",pujada,"+0,72%","0,04","156.061,90","494,84","15,02","0,00%",3/11
TUBACEX,"3,13",pujada,"+0,00%","0,00","806.742,45","410,90","80,40","0,34%",3/11
TUBOS REUNIDOS,"0,90",baixada,"-1,10%","-0,01","133.430,99","157,21","0,00","0,00%",3/11
URBAS,"0,02",pujada,"+0,00%","0,00","0,00","45,64","0,00","0,00%",3/11
VERTICE TRESCIENTO,"0,044",pujada,"+0,00%","0,000","0,00","0,00","16,26","0,00%",3/11
VIDRALA,"80,00",pujada,"+2,76%","2,15","2.506.535,45","1.958,75","22,29","1,11%",3/11
VISCOFAN,"51,46",pujada,"+0,61%","0,31","4.677.721,32","2.401,49","18,66","2,91%",3/11
VOCENTO,"1,49",baixada,"-0,67%","-0,01","58.537,99","183,71","15,31","0,00%",3/11
ZARDOYA OTIS,"9,43",pujada,"+0,32%","0,03","1.818.084,34","4.412,96","27,73","3,50%",3/11
