Nom,Preu,Estat,Var. per cent,Var. en euros,Volum en euros,Capitalizacio (milions euros),Per,Rent./Div,Hora
ABERTIS,"18,79",pujada,"+0,05%","0,01","21.869.805,16","18.609,26","18,70","4,35%",11:55
ACCIONA,"68,42",baixada,"-0,18%","-0,12","1.611.811,22","3.933,16","15,82","4,29%",11:53
ACERINOX,"12,40",pujada,"+1,72%","0,21","3.994.593,55","3.421,86","16,06","3,65%",11:53
ACS,"33,18",baixada,"-0,82%","-0,28","5.368.928,15","10.492,49","12,37","3,85%",11:54
AENA,"153,70",pujada,"+0,36%","0,55","6.537.304,15","22.897,50","19,04","2,66%",11:53
AMADEUS,"56,43",baixada,"-1,10%","-0,63","10.526.272,34","24.819,80","24,64","1,83%",11:54
ARCELORMITTAL,"25,23",pujada,"+2,31%","0,57","13.249.051,26","25.700,88","0,00","0,00%",11:54
BANKIA,"4,09",pujada,"+1,24%","0,05","5.624.142,03","11.664,17","13,93","3,13%",11:54
BANKINTER,"8,03",pujada,"+0,02%","0,00","1.843.398,49","7.216,10","14,94","3,28%",11:54
BBVA,"7,30",pujada,"+1,09%","0,08","31.853.192,34","48.408,86","11,52","3,41%",11:54
CAIXABANK,"3,85",baixada,"-0,93%","-0,04","19.409.558,41","23.148,17","13,84","3,48%",11:54
CELLNEX TELECOM,"20,43",baixada,"-0,61%","-0,13","5.778.533,93","4.751,82","68,95","0,49%",11:52
DIA,"4,41",pujada,"+0,80%","0,04","2.889.872,93","2.747,52","10,42","4,80%",11:54
ENAGAS,"24,15",pujada,"+0,08%","0,02","3.172.618,03","5.759,46","12,38","6,00%",11:51
ENDESA,"19,18",pujada,"+0,42%","0,08","4.462.769,71","20.312,16","15,82","6,70%",11:53
FERROVIAL,"18,50",baixada,"-1,36%","-0,26","10.417.275,98","13.743,97","33,90","3,17%",11:54
GAMESA,"11,65",baixada,"-1,19%","-0,14","7.243.211,43","8.013,65","13,19","1,28%",11:54
GAS NATURAL,"18,46",pujada,"+0,05%","0,01","4.017.847,37","18.517,76","14,46","5,33%",11:54
GRIFOLS,"24,15",baixada,"-0,58%","-0,14","1.797.982,02","10.282,51","24,20","1,46%",11:54
IAG (IBERIA),"7,36",pujada,"+1,39%","0,10","6.720.109,59","15.530,29","7,10","3,80%",11:55
IBERDROLA,"6,70",pujada,"+0,30%","0,02","15.229.452,45","42.251,54","15,54","4,87%",11:55
INDITEX,"30,91",pujada,"+0,05%","0,02","26.369.087,32","95.977,30","28,35","2,37%",11:55
INDRA,"13,29",pujada,"+1,88%","0,25","3.125.113,86","2.330,95","19,41","0,00%",11:53
INM. COLONIAL,"7,81",baixada,"-0,29%","-0,02","2.002.872,15","3.069,90","34,69","2,38%",11:52
MAPFRE,"2,69",pujada,"+0,83%","0,02","2.538.468,45","8.262,44","12,05","5,49%",11:54
MEDIASET,"9,486",baixada,"-0,66%","-0,063","1.541.040,74","3.190,40","16,41","5,81%",11:53
MELIA HOTELS INTL,"11,85",pujada,"+0,00%","0,00","1.447.244,52","2.728,84","23,53","1,20%",11:53
MERLIN PROP.,"10,86",baixada,"-0,91%","-0,10","2.519.922,02","5.118,15","19,17","3,96%",11:54
REE,"18,18",baixada,"-0,03%","-0,01","1.929.988,92","9.855,77","14,72","5,03%",11:54
REPSOL,"15,29",pujada,"+0,00%","0,00","8.517.248,07","23.323,34","11,03","5,18%",11:54
SABADELL,"1,60",baixada,"-2,80%","-0,05","19.379.820,26","9.098,16","12,01","3,57%",11:55
SANTANDER,"5,59",pujada,"+0,27%","0,02","47.591.999,54","89.538,48","11,84","3,95%",11:55
TECNICAS REUNIDAS,"25,75",pujada,"+0,08%","0,02","2.221.788,59","1.438,48","10,63","5,40%",11:53
TELEFONICA,"8,87",pujada,"+0,44%","0,04","41.176.059,44","44.519,08","12,63","4,35%",11:55
VISCOFAN,"50,96",baixada,"-0,08%","-0,04","237.744,12","2.368,40","19,05","2,83%",11:54
