Numero,Nom,Simbol,Cap de mercat,Preu,Oferta circulant,Volum 24 hores,% 1h,% 2h,% 7d
55,Civic,CVC,"$117,400,298",$0.345092,"340,200,000*","$2,304,680",0.47%,5.18%,-3.67%
56,Gnosis,GNO,"$111,586,786",$101.02,"1,104,590*","$881,610",0.33%,-8.82%,-16.49%
57,BitcoinDark,BTCD,"$107,116,047",$83.11,"1,288,862","$98,852",-2.22%,-5.42%,-9.03%
58,Blocknet,BLOCK,"$106,713,938",$22.06,"4,838,362*","$90,447",-0.67%,3.17%,-8.37%
59,FunFair,FUN,"$103,518,000",$0.025879,"4,000,000,000*","$1,158,850",0.66%,-0.67%,-7.19%
60,MCAP,MCAP,"$99,553,732",$2.60,"38,295,641*","$709,165",0.78%,9.76%,-3.92%
61,Regalcoin,REC,"$98,578,734",$35.08,"2,810,000","$13,482,900",7.86%,6.29%,185.75%
62,Lykke,LKK,"$98,457,482",$0.366336,"268,762,781*","$368,117",0.38%,4.57%,10.46%
63,Byteball Bytes,GBYTE,"$96,953,677",$166.05,"583,896*","$587,566",-0.78%,-3.02%,-17.34%
64,0x,ZRX,"$92,765,500",$0.185531,"500,000,000*","$2,308,040",-0.72%,-8.69%,2.82%
65,Bancor,BNT,"$90,251,157",$2.21,"40,772,871*","$741,671",0.37%,0.69%,1.05%
66,Status,SNT,"$89,652,661",$0.025833,"3,470,483,788*","$2,170,240",0.26%,-1.57%,-6.06%
67,DigiByte,DGB,"$89,632,578",$0.010253,"8,742,253,657","$4,678,910",-2.70%,-10.85%,-22.40%
68,Nexus,NXS,"$85,351,579",$1.61,"53,043,384","$686,749",-1.21%,0.62%,1.62%
69,SingularDTV,SNGLS,"$82,776,600",$0.137961,"600,000,000*","$835,070",-0.99%,-9.31%,-18.15%
70,Bytom,BTM,"$81,004,768",$0.082072,"987,000,000*","$146,394",-0.06%,2.84%,-15.73%
71,Syscoin,SYS,"$78,763,512",$0.149136,"528,132,120","$1,014,950",0.71%,-0.45%,-1.91%
72,Aeternity,AE,"$78,636,021",$0.337464,"233,020,472*","$362,631",0.23%,-3.10%,-8.29%
73,Bitdeal,BDL,"$75,753,948",$0.484950,"156,209,812","$228,290",0.21%,9.48%,17.45%
74,GXShares,GXS,"$74,940,664",$1.85,"40,510,000*","$469,515",0.84%,-1.69%,-8.64%
75,Verge,XVG,"$74,840,368",$0.005306,"14,104,244,948","$2,218,850",-0.81%,-6.51%,-15.06%
76,Monaco,MCO,"$72,367,627",$7.37,"9,814,875*","$2,907,030",-0.91%,-8.57%,1.60%
77,Metaverse ETP,ETP,"$71,150,224",$3.15,"22,600,000","$25,622,500",-3.00%,14.19%,149.35%
78,Nxt,NXT,"$63,820,212",$0.063884,"998,999,942*","$3,919,190",0.97%,-3.81%,0.85%
79,Centra,CTR,"$63,762,240",$0.937680,"68,000,000*","$969,124",0.25%,-9.05%,-17.03%
80,Kin,KIN,"$62,839,571",$0.000083,"756,097,560,976*","$100,356",-0.66%,5.64%,-14.47%
81,Pura,PURA,"$59,223,091",$0.345404,"171,460,351","$414,474",-0.98%,-12.04%,-19.05%
82,VeChain,VEN,"$59,115,833",$0.212106,"278,708,913*","$680,499",1.03%,-10.48%,-35.15%
83,ATMChain,ATM,"$56,346,187",$0.025949,"2,171,437,109*","$56,905",2.36%,-1.74%,2.48%
84,Aragon,ANT,"$52,940,587",$1.61,"32,832,390*","$403,891",-0.33%,-6.45%,-11.14%
85,AdEx,ADX,"$51,189,444",$0.909618,"56,275,759*","$3,613,230",-0.07%,-6.96%,-24.71%
86,I/O Coin,IOC,"$51,100,133",$3.12,"16,372,370*","$326,080",2.26%,14.95%,-6.75%
87,Loopring,LRC,"$49,996,607",$0.174709,"286,170,756*","$549,539",1.28%,-7.09%,-23.50%
88,Vertcoin,VTC,"$49,434,796",$1.23,"40,262,250","$2,511,380",-3.07%,-5.00%,-0.32%
89,Ubiq,UBQ,"$48,351,230",$1.26,"38,321,983","$386,754",0.01%,-6.49%,-20.82%
90,Melon,MLN,"$48,329,982",$80.63,"599,400*","$574,026",-1.66%,9.92%,20.69%
91,Wings,WINGS,"$48,163,686",$0.536892,"89,708,333*","$483,520",0.06%,0.17%,-9.32%
92,Storj,STORJ,"$46,556,888",$0.468754,"99,320,513*","$1,264,740",-0.96%,15.12%,4.51%
93,Edgeless,EDG,"$45,574,990",$0.555479,"82,046,288*","$1,186,730",-0.07%,-10.41%,-18.32%
94,Dentacoin,DCN,"$45,085,116",$0.000149,"303,095,254,787*","$26,745",1.42%,16.38%,27.48%
95,Bitquence,BQX,"$44,606,307",$0.622663,"71,637,960*","$325,056",1.32%,-2.13%,-5.41%
96,Particl,PART,"$44,420,611",$5.74,"7,735,023*","$200,855",-1.43%,-3.58%,-14.80%
97,SONM,SNM,"$44,194,840",$0.122900,"359,600,000*","$1,126,660",0.36%,-8.40%,-30.82%
98,MobileGo,MGO,"$42,933,221",$0.437965,"98,028,887*","$295,565",0.41%,-6.62%,-20.46%
99,TaaS,TAAS,"$42,752,249",$5.25,"8,146,001*","$229,677",0.18%,10.55%,30.17%
100,NAV Coin,NAV,"$40,015,989",$0.646630,"61,883,904*","$1,292,660",-2.08%,-9.28%,-17.89%
101,Sprouts,SPRTS,"$39,867,777",$0.000053,"746,544,237,419*","$2,166",0.79%,19.34%,59.84%
102,iExec RLC,RLC,"$39,368,953",$0.497895,"79,070,793*","$235,670",0.85%,-5.21%,-11.43%
103,ATBCoin,ATB,"$38,607,224",$1.01,"38,290,940","$727,154",-2.32%,10.76%,9.65%
104,FairCoin,FAIR,"$36,421,604",$0.684696,"53,193,831*","$21,931",0.81%,2.34%,2.60%
105,Gulden,NLG,"$34,542,151",$0.097489,"354,318,445","$220,767",-0.17%,-1.83%,-13.73%
106,Rise,RISE,"$32,322,285",$0.285686,"113,139,200*","$606,280",1.21%,-4.95%,-20.75%
107,Clams,CLAM,"$32,108,877",$12.08,"2,659,076*","$465,473",1.95%,8.12%,32.41%
108,Moeda Loyalty...,MDA,"$32,050,245",$1.63,"19,628,888*","$463,858",-5.96%,-10.41%,-49.88%
109,Cofound.it,CFI,"$31,966,903",$0.098360,"325,000,000*","$259,635",-1.62%,-8.32%,-24.59%
110,Peercoin,PPC,"$31,677,741",$1.30,"24,380,809","$656,497",1.35%,0.16%,6.47%
111,ZCoin,XZC,"$31,487,436",$9.85,"3,196,301","$1,264,720",1.21%,-6.82%,-11.54%
112,ReddCoin,RDD,"$30,669,184",$0.001071,"28,641,106,777*","$851,892",-1.89%,-1.14%,5.90%
113,TokenCard,TKN,"$30,403,182",$1.29,"23,644,056*","$551,342",0.44%,-8.80%,-16.32%
114,CloakCoin,CLOAK,"$30,394,816",$5.94,"5,116,034*","$372,114",0.88%,-6.30%,-13.23%
115,NoLimitCoin,NLC2,"$29,325,994",$0.143815,"203,914,708*","$57,461",-1.32%,-3.41%,-7.97%
116,Elastic,XEL,"$29,319,891",$0.337103,"86,976,062*","$575,956",-0.98%,-9.21%,-21.69%
117,KickCoin,KICK,"$28,195,223",$0.087798,"321,137,782*","$79,806",-0.52%,-0.48%,-57.01%
118,Quantum Resis...,QRL,"$27,643,928",$0.531614,"52,000,000*","$286,783",1.87%,-6.07%,-8.28%
119,Credo,CREDO,"$27,030,367",$0.049156,"549,891,703*","$22,932",0.58%,-26.26%,-26.75%
120,Aeon,AEON,"$26,602,662",$1.82,"14,651,140","$612,775",-2.89%,-10.62%,13.30%
