Nom,Preu,Estat,Var. per cent,Var. en euros,Volum en euros,Capitalizacio (milions euros),Per,Rent./Div,Hora
A DOMINGUEZ,"4,87",baixada,"-0,61%","-0,03","73,05","45,08","0,00","0,00%",09:48
ABENGOA,"0,03",pujada,"+0,00%","0,00","111.648,97","47,48","0,00","0,00%",11:32
ABENGOA CL.B,"0,01",pujada,"+9,09%","0,00","163.288,53","189,19","0,00","0,00%",11:37
ABERTIS,"18,80",baixada,"-0,24%","-0,05","107.529.863,60","18.539,94","18,70","4,35%",11:38
ACCIONA,"68,50",baixada,"-1,40%","-0,97","2.496.446,90","3.956,63","15,82","4,29%",11:38
ACERINOX,"12,15",baixada,"-1,42%","-0,18","1.511.292,68","3.366,64","16,06","3,65%",11:37
ACS,"32,83",baixada,"-0,70%","-0,23","17.896.395,76","10.534,97","12,37","3,85%",11:38
ADVEO,"2,72",baixada,"-0,37%","-0,01","6.965,10","59,98","18,09","0,00%",11:08
AENA,"152,55",baixada,"-0,75%","-1,15","2.784.366,40","22.837,50","19,04","2,66%",11:38
AIRBUS,"81,45",pujada,"+0,49%","0,40","153.276,15","62.809,31","23,66","1,85%",11:24
ALANTRA,"12,03",baixada,"-0,33%","-0,04","20.762,03","416,49","11,54","7,61%",11:14
ALBA,"49,95",pujada,"+1,28%","0,63","594.527,29","2.885,27","7,06","2,02%",11:31
ALMIRALL,"8,30",pujada,"+0,00%","0,00","693.121,56","1.440,68","104,50","2,15%",11:35
AMADEUS,"56,71",baixada,"-0,75%","-0,43","4.063.002,03","24.876,85","24,64","1,83%",11:38
AMPER,"0,19",baixada,"-1,59%","-0,00","423.279,40","154,86","0,00","0,00%",11:36
APERAM,"46,88",pujada,"+0,04%","0,02","5.114,40","4.009,78","0,00","0,00%",18/10
APPLUS SERVICES,"11,31",baixada,"-0,75%","-0,09","559.508,44","1.777,07","18,02","1,14%",11:38
ARCELORMITTAL,"24,21",baixada,"-0,90%","-0,22","9.753.509,40","24.730,07","0,00","0,00%",11:39
AXIA REAL ESTATE,"16,63",baixada,"-0,69%","-0,12","130.801,74","1.321,53","46,60","1,69%",11:36
AZKOYEN,"8,03",pujada,"+0,38%","0,03","93.453,14","202,37","16,82","0,00%",11:07
Atresmedia,"8,89",baixada,"-1,33%","-0,12","1.495.423,95","1.991,77","13,48","6,29%",11:38
BANKIA,"4,06",baixada,"-0,29%","-0,01","6.361.455,95","11.580,67","13,93","3,13%",11:38
BANKINTER,"8,02",baixada,"-0,39%","-0,03","2.336.139,11","7.177,45","14,94","3,28%",11:38
BARON DE LEY,"110,00",pujada,"+1,24%","1,35","1.650,00","443,54","19,26","0,00%",11:19
BAYER,"119,95",pujada,"+0,63%","0,75","234.007,05","98.282,75","0,00","0,00%",11:21
BBVA,"7,22",baixada,"-0,82%","-0,06","31.080.005,79","48.255,50","11,52","3,41%",11:38
BIOSEARCH,"0,48",pujada,"+3,26%","0,02","69.820,82","27,12","0,00","0,00%",11:38
BME,"28,450",baixada,"-0,52%","-0,150","1.171.428,98","2.384,72","15,28","6,23%",11:38
CAIXABANK,"3,90",baixada,"-1,14%","-0,05","18.447.296,73","23.447,24","13,84","3,48%",11:39
CELLNEX TELECOM,"20,33",pujada,"+0,62%","0,13","3.485.352,36","4.683,48","68,95","0,49%",11:38
CEMENTOS PORTLAND,"5,97",pujada,"+0,00%","0,00","0,00","305,54","0,00","0,00%",23/02
CIE AUTOMOTIVE,"24,24",baixada,"-0,41%","-0,10","532.864,98","3.132,77","14,38","2,14%",11:38
CLEOP,"1,15",pujada,"+0,00%","0,00","0,00","0,00","0,00","0,00%",18/10
CLINICA BAVIERA,"8,35",baixada,"-0,71%","-0,06","148.739,26","133,72","23,00","2,38%",18/10
CODERE,"0,37",baixada,"-2,63%","-0,01","76.995,06","968,46","0,00","0,00%",11:35
