Nom,Preu,Estat,Var. per cent,Var. en euros,Volum en euros,Capitalizacio (milions euros),Per,Rent./Div,Hora
ACERINOX,"12,38",pujada,"+0,32%","0,04","5.057.057,35","3.409,43","16,06","3,65%",15:35
ACS,"31,35",pujada,"+0,80%","0,25","7.380.518,21","9.869,45","12,37","3,85%",15:36
DIA,"4,43",pujada,"+1,37%","0,06","11.295.032,42","2.763,71","10,42","4,80%",15:36
FERROVIAL,"18,68",baixada,"-0,48%","-0,09","7.317.461,87","13.854,90","33,90","3,17%",15:34
GAMESA,"11,71",baixada,"-6,58%","-0,83","78.165.047,48","7.853,58","13,19","1,28%",15:36
INDITEX,"31,21",pujada,"+0,08%","0,03","14.756.956,21","97.036,96","28,35","2,37%",15:37
REPSOL,"15,40",baixada,"-0,29%","-0,05","14.933.088,95","23.498,99","11,03","5,18%",15:36
SANTANDER,"5,55",baixada,"-0,32%","-0,02","90.090.607,45","88.944,98","11,84","3,95%",15:36
TECNICAS REUNIDAS,"26,14",pujada,"+0,93%","0,24","6.358.019,96","1.460,00","10,63","5,40%",15:37
TELEFONICA,"9,08",baixada,"-1,34%","-0,12","43.233.170,75","45.667,70","12,63","4,35%",15:36
