Nom,Preu,Estat,Var. per cent,Var. en euros,Volum en euros,Capitalizacio (milions euros),Per,Rent./Div,Hora
A DOMINGUEZ,"5,05",pujada,"+0,20%","0,01","7.782,05","45,92","0,00","0,00%",14:24
ABENGOA,"0,03",pujada,"+3,03%","0,00","229.059,21","54,03","0,00","0,00%",15:12
ABENGOA CL.B,"0,01",pujada,"+0,00%","0,00","111.325,41","206,39","0,00","0,00%",15:23
ABERTIS,"18,59",pujada,"+0,11%","0,02","25.163.541,66","18.426,04","20,15","4,06%",15:30
ACCIONA,"71,21",pujada,"+0,14%","0,10","6.060.286,22","4.088,90","15,80","4,30%",15:30
ACERINOX,"12,73",pujada,"+3,16%","0,39","15.660.594,88","3.525,38","15,64","3,77%",15:30
ACS,"34,35",pujada,"+1,46%","0,50","10.099.761,79","10.829,18","13,54","3,68%",15:30
ADVEO,"2,78",pujada,"+1,09%","0,03","59.827,39","59,55","16,23","0,00%",13:41
AENA,"158,90",pujada,"+0,89%","1,40","9.689.411,40","23.805,00","18,89","2,68%",15:30
AIRBUS,"87,35",baixada,"-0,63%","-0,55","317.027,25","67.649,73","26,47","1,64%",14:41
ALANTRA,"12,35",baixada,"-0,08%","-0,01","1.741,35","438,88","11,54","7,61%",13:14
ALBA,"50,55",pujada,"+0,40%","0,20","177.080,30","2.935,41","6,91","2,07%",15:27
ALMIRALL,"8,11",baixada,"-2,41%","-0,20","4.982.354,37","1.402,63","0,00","2,33%",15:30
AMADEUS,"58,67",pujada,"+0,72%","0,42","11.239.883,49","25.842,26","24,59","1,84%",15:30
AMPER,"0,20",pujada,"+3,65%","0,01","2.229.655,43","169,93","0,00","0,00%",15:29
APPLUS SERVICES,"11,65",baixada,"-2,96%","-0,36","2.589.135,34","1.817,63","18,29","1,10%",15:27
ARCELORMITTAL,"25,38",pujada,"+3,05%","0,75","15.734.341,06","26.099,42","0,00","0,00%",15:30
AXIA REAL ESTATE,"16,15",pujada,"+0,31%","0,05","663.363,03","1.274,88","43,97","1,79%",15:29
AZKOYEN,"8,05",pujada,"+0,37%","0,03","27.421,34","200,86","17,41","0,00%",14:59
Atresmedia,"8,74",baixada,"-0,91%","-0,08","1.085.418,45","1.971,56","13,14","6,32%",15:30
BANKIA,"4,05",baixada,"-1,29%","-0,05","13.992.958,97","11.655,54","13,89","3,14%",15:30
BANKINTER,"8,04",baixada,"-0,73%","-0,06","6.772.648,44","7.261,94","14,94","3,28%",15:30
BARON DE LEY,"108,50",baixada,"-3,13%","-3,50","23.034,00","469,72","21,37","0,00%",14:05
BBVA,"7,47",baixada,"-0,61%","-0,05","58.148.111,60","49.882,46","11,34","3,48%",15:30
BIOSEARCH,"0,50",pujada,"+0,00%","0,00","4.455,00","28,27","0,00","0,00%",10:46
BME,"29,715",pujada,"+0,75%","0,220","1.463.670,14","2.488,82","15,15","6,32%",15:29
CAIXABANK,"4,08",pujada,"+1,57%","0,06","42.854.491,60","24.386,32","13,23","3,68%",15:31
CELLNEX TELECOM,"21,47",pujada,"+0,73%","0,16","8.712.201,90","4.988,14","70,63","0,48%",15:31
CEMENTOS PORTLAND,"5,97",pujada,"+0,00%","0,00","0,00","305,54","0,00","0,00%",23/02
CIE AUTOMOTIVE,"25,67",pujada,"+0,57%","0,15","1.551.412,52","3.310,79","14,64","2,10%",15:30
CLINICA BAVIERA,"8,21",baixada,"-0,48%","-0,04","42.509,76","138,94","23,00","2,38%",13:07
COCA-COLA EUR,"34,48",pujada,"+1,04%","0,36","17.394,62","16.876,97","16,20","2,42%",31/10
CODERE,"0,37",baixada,"-2,63%","-0,01","472.524,15","942,97","0,00","0,00%",13:44
COEMAC,"0,43",pujada,"+4,88%","0,02","198.039,48","86,90","59,43","0,00%",14:59
DEOLEO SA,"0,18",pujada,"+0,00%","0,00","516.198,83","213,62","16,09","0,00%",15:25
DIA,"4,27",pujada,"+1,74%","0,07","11.750.138,26","2.640,46","10,60","5,05%",15:30
DOGI INTL FABRICS,"3,66",baixada,"-1,74%","-0,07","86.173,28","266,42","0,00","0,00%",12:06
DURO FELGUERA,"0,55",pujada,"+3,77%","0,02","242.381,18","89,60","0,00","0,00%",15:30
EBRO FOODS,"20,67",pujada,"+0,07%","0,02","2.122.087,52","3.184,24","17,73","3,15%",15:30
EDREAMS ODIGEO REG,"2,68",pujada,"+0,79%","0,02","166.184,89","294,74","8,73","0,00%",15:29
ELECNOR,"12,13",pujada,"+0,00%","0,00","90.500,28","1.056,18","11,27","2,33%",15:26
ENAGAS,"24,43",baixada,"-1,23%","-0,31","11.005.778,04","5.846,60","12,22","6,04%",15:29
ENCE,"5,380",pujada,"+8,03%","0,400","4.945.897,98","1.329,87","14,08","3,28%",15:30
ENDESA,"19,54",baixada,"-0,56%","-0,11","11.772.755,51","20.820,36","15,02","6,96%",15:29
ERCROS,"2,80",pujada,"+0,76%","0,02","946.427,88","311,41","7,02","0,00%",15:26
EUROPAC,"9,14",pujada,"+2,47%","0,22","984.857,07","876,44","11,62","3,48%",15:30
EUSKALTEL,"6,79",baixada,"-1,25%","-0,09","1.872.537,92","1.214,61","17,00","5,29%",15:21
FAES FARMA,"2,930",pujada,"+0,69%","0,020","361.894,29","745,78","18,00","1,50%",15:22
FCC,"9,50",pujada,"+4,23%","0,39","669.961,15","3.572,70","18,40","0,00%",15:25
FERROCARRILES,"34,59",baixada,"-2,15%","-0,76","439.862,75","1.190,23","25,60","1,72%",15:27
FERSA ENERGIAS,"0,50",pujada,"+2,06%","0,01","33.407,81","71,40","91,57","0,00%",13:24
FLUIDRA,"8,73",pujada,"+0,29%","0,03","432.104,68","983,81","23,54","1,92%",15:25
GAM,"1,45",pujada,"+2,11%","0,03","48.901,97","48,27","0,00","0,00%",13:31
GAMESA,"12,50",pujada,"+0,36%","0,05","23.946.564,83","8.521,10","13,54","1,42%",15:30
