Nom,Preu,Estat,Var. per cent,Var. en euros,Volum en euros,Capitalizacio (milions euros),Per,Rent./Div,Hora
ACERINOX,"12,72",pujada,"+3,08%","0,38","15.702.302,45","3.525,38","15,64","3,77%",15:32
ACS,"34,34",pujada,"+1,42%","0,48","10.157.326,88","10.829,18","13,54","3,68%",15:32
DIA,"4,26",pujada,"+1,40%","0,06","11.791.108,47","2.640,46","10,60","5,05%",15:32
FERROVIAL,"18,57",baixada,"-0,43%","-0,08","12.372.428,55","13.806,83","33,90","3,17%",15:32
GAMESA,"12,46",pujada,"+0,08%","0,01","24.140.110,72","8.521,10","13,54","1,42%",15:33
INDITEX,"31,61",baixada,"-1,51%","-0,49","36.379.147,09","98.688,79","28,42","2,37%",15:32
REPSOL,"16,15",pujada,"+0,40%","0,07","29.266.995,56","24.797,27","11,10","5,15%",15:33
SANTANDER,"5,83",pujada,"+0,03%","0,00","95.703.002,15","93.709,03","12,30","3,85%",15:33
TECNICAS REUNIDAS,"27,31",baixada,"-1,16%","-0,32","10.190.660,62","1.536,86","10,88","5,28%",15:32
TELEFONICA,"9,01",pujada,"+0,09%","0,01","46.137.793,08","45.667,70","12,07","4,60%",15:33
